ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
363,15,363,5,336215,364
364,18,365,7,121980,366
365,100,367,22,198321,368
366,18,369,6,434029,370
367,18,371,5,419022,372
368,23,373,15,35600,374
369,18,375,7,104563,376
370,100,377,24,33637,378
371,22,379,6,302176,380
372,66,381,18,381939,382
373,14,383,5,100446,384
374,24,385,5,371820,386
375,36,387,8,390554,388
376,100,389,11,437373,390
377,21,391,10,281226,392
378,33,393,7,16934,394
379,22,395,5,300951,396
380,100,397,20,109495,398
381,18,399,5,71865,400
382,30,401,4,63118,402
383,50,403,7,302554,404
384,43,405,12,202116,406
385,51,407,9,54578,408
386,33,409,9,372981,410
387,31,411,7,102967,412
388,100,413,13,9692,414
389,15,415,5,290179,416
390,48,417,9,41295,418
391,83,367,13,198321,419
392,22,420,20,184250,421
393,31,422,13,42499,423
394,21,424,5,199168,425
395,20,426,5,199174,427
396,20,428,10,331471,429
397,30,430,0,349242,431
398,16,391,9,281226,432
399,51,433,8,340078,434
400,19,435,6,69012,436
401,25,437,7,84429,438
402,28,439,12,44592,440
403,41,441,8,17893,442
404,23,395,5,300951,443
405,29,444,7,337363,445
406,28,446,17,363964,447
407,31,448,7,365470,449
408,100,450,16,291349,451
409,24,452,10,368004,453
410,30,454,7,440044,455
411,19,456,10,63432,400
412,33,457,6,167953,458
413,27,459,5,111059,460
414,51,461,11,43562,462
415,20,463,15,39968,464
416,26,465,7,291425,466
417,19,467,7,100068,468
418,53,409,9,372981,469
419,25,470,6,426638,471
420,20,387,7,390554,472
421,38,473,7,29555,474
422,19,475,10,182720,476
423,40,477,9,2727,478
424,100,479,15,101884,480
425,78,481,11,122455,482
426,22,483,7,9691,484
427,47,444,8,337363,485
428,48,486,7,37107,487
429,18,488,6,199870,489
430,33,490,6,449561,491
431,56,492,16,40011,493
432,23,494,6,106674,495
433,11,496,6,364691,497
434,39,498,6,437371,499
435,18,500,6,44306,501
436,21,502,12,270654,503
437,18,504,6,49606,505
438,52,506,21,124696,507
439,30,450,10,291349,508
440,26,509,20,338462,510
441,13,511,5,302587,512
442,52,513,5,363082,514
443,33,515,7,319326,516
444,100,517,14,112208,518
445,21,519,5,39405,520
446,32,521,10,62291,522
447,9,523,9,58602,524
448,46,525,5,359986,526
449,19,527,7,77079,528
450,77,529,0,361770,530
451,24,531,5,107629,532
452,100,533,22,42766,534
453,100,483,15,9691,535
454,19,536,5,84588,537
455,24,538,0,372214,539
456,12,540,12,120795,541
457,26,542,10,110214,543
458,39,544,10,38155,545
459,28,459,5,111059,546
460,8,547,5,270558,548
461,76,549,7,66589,550
462,31,551,12,114077,552
463,31,553,13,38043,554
464,19,555,6,315564,556
465,40,498,6,437371,557
466,46,558,18,9025,559
467,31,560,20,208830,561
468,34,562,11,477581,563
469,24,564,11,202792,565
470,30,566,5,429489,567
471,56,568,11,457072,569
472,30,570,11,41037,571
473,25,572,6,112261,573
474,36,574,7,77403,575
475,19,576,5,451308,577
476,31,511,5,302587,578
477,10,579,5,250518,580
478,52,581,6,74406,582
479,19,583,5,74171,584
480,26,585,12,460040,586
481,81,587,16,446598,588
482,100,589,8,426595,590
483,18,391,9,281226,591
484,61,592,8,469106,593
485,26,448,7,365470,594
486,100,595,9,437355,596
487,16,597,15,22561,598
488,31,599,7,61847,600
489,100,601,17,377391,602
490,28,603,18,313289,604
491,32,605,5,243708,606
492,100,607,5,317507,608
493,59,403,7,302554,609
494,19,610,6,97302,611
495,17,511,5,302587,612
496,60,613,0,396761,614
497,17,615,6,202211,616
498,13,617,5,322836,618
499,100,619,11,333640,620
500,20,481,7,122455,621
501,16,566,5,429489,622
502,36,623,5,112554,624
503,30,625,5,334604,626
504,24,627,8,465504,628
505,22,629,17,42653,630
506,37,631,8,340548,632
507,21,409,9,372981,633
508,17,634,4,41958,635
509,15,490,6,449561,636
510,20,637,21,41509,638
511,16,639,5,438597,640
512,63,641,7,383416,642
513,21,643,5,116919,644
514,14,645,15,434068,646
515,13,647,6,466507,648
516,16,649,12,112108,650
517,34,651,10,470879,652
518,59,653,19,42938,654
519,28,422,13,42499,655
520,82,589,8,426595,656
521,39,417,7,41295,657
522,31,658,15,74712,659
523,40,660,5,292746,661
524,47,662,8,8064,663
525,25,664,8,466736,665
526,27,531,5,107629,666
527,28,667,7,9689,668
528,100,669,9,102832,670
529,7,671,25,37184,672
530,30,673,7,324700,674
531,100,675,12,437667,676
532,63,677,10,304583,678
533,12,679,5,439980,680
534,23,681,5,252371,682
535,28,683,5,358031,684
536,14,685,8,131492,686
537,49,687,7,63659,688
538,8,689,11,124732,507
539,28,690,6,204347,691
540,23,692,7,49412,693
541,23,625,5,334604,694
542,67,695,14,186713,696
543,21,697,11,428015,698
544,21,504,6,49606,699
545,16,700,15,38141,701
546,27,570,11,41037,702
547,31,692,7,49412,703
548,40,704,11,345292,705
549,10,706,6,269184,707
550,13,708,5,428674,709
551,50,601,14,377391,710
552,25,711,16,245844,712
553,34,713,5,383444,714
554,49,715,7,363272,716
555,7,717,7,453959,718
556,18,719,10,313762,720
557,36,721,5,100451,722
558,21,723,6,38571,546
559,22,724,6,44451,725
560,36,726,14,463583,727
561,56,728,0,342962,729
562,43,730,6,61422,731
563,11,695,8,186713,732
564,18,733,6,105642,734
565,24,413,7,9692,735
566,18,736,9,396202,737
567,52,738,9,105239,739
568,22,740,6,302084,741
569,24,742,10,481146,743
570,12,363,5,336215,744
571,39,745,9,469836,746
572,31,747,11,316862,748
573,28,504,6,49606,749
574,34,750,5,131171,751
575,23,752,14,427907,753
576,32,736,11,396202,754
577,13,755,5,64552,756
578,38,757,9,467222,758
579,19,531,5,107629,429
580,21,428,9,331471,759
581,100,760,15,479159,761
582,73,762,5,380850,763
583,45,764,8,443900,765
584,63,766,10,292423,767
585,18,768,7,319336,769
586,17,770,9,472677,771
587,26,463,15,39968,772
588,17,773,10,457533,774
589,32,775,7,246625,776
590,14,695,9,186713,777
591,24,778,8,13108,779
592,14,780,5,476498,781
593,24,782,9,37242,783
594,32,498,6,437371,784
595,22,785,7,363554,786
596,36,787,13,448029,788
597,39,773,14,457533,789
598,29,790,8,261428,791
599,23,706,8,269184,792
600,54,793,12,315667,794
601,28,490,6,449561,795
602,19,796,8,321369,797
603,100,798,14,459958,799
604,29,726,11,463583,800
605,30,801,6,363246,802
606,28,697,12,428015,803
607,36,804,6,363086,805
608,28,806,6,456606,807
609,52,724,7,44451,808
610,27,809,8,74824,810
611,100,811,20,256274,812
612,20,813,6,113288,814
613,43,815,5,358292,816
614,70,817,11,443926,818
615,51,819,8,199489,820
616,11,821,5,349365,822
617,24,667,7,9689,823
618,33,824,8,30678,825
619,34,826,7,426919,827
620,21,615,5,202211,828
621,44,829,13,5921,830
622,23,551,11,114077,831
623,20,832,9,41019,833
624,53,834,8,418897,835
625,100,379,11,302176,836
626,44,834,8,418897,837
627,37,838,9,38205,839
628,8,840,5,121384,841
629,28,842,7,40680,843
630,27,844,8,473243,845
631,20,846,5,312115,545
632,100,367,18,198321,847
633,100,848,17,38208,849
634,21,782,7,37242,850
635,28,851,11,37894,852
636,27,853,5,244911,854
637,100,855,10,338082,856
638,100,857,0,428634,858
639,11,859,4,397400,860
640,50,446,17,363964,861
641,36,862,14,343875,863
642,20,864,7,104709,865
643,32,562,12,477581,866
644,100,409,14,372981,867
645,16,868,5,38611,869
646,22,870,9,63066,871
647,100,872,20,38592,873
648,40,874,7,432862,875
649,27,504,6,49606,876
650,34,877,7,39080,878
651,42,879,6,393846,880
652,93,881,21,433914,882
653,27,883,18,99015,884
654,20,778,7,13108,885
655,59,886,6,84054,887
656,15,673,6,324700,888
657,29,492,16,40011,889
658,19,715,7,363272,890
659,40,673,7,324700,891
660,100,892,13,302576,893
661,20,641,7,383416,894
662,22,895,7,45714,896
663,27,897,9,390524,898
664,43,899,0,380847,900
665,45,901,9,119957,847
666,36,570,12,41037,902
667,60,903,8,302580,904
668,28,905,6,393726,906
669,25,907,5,287371,725
670,28,467,8,100068,908
671,75,909,11,448966,910
672,15,868,5,38611,911
673,76,437,7,84429,912
674,11,913,7,198209,914
675,72,915,17,44579,916
676,51,595,6,437355,917
677,100,918,23,296927,919
678,20,796,8,321369,920
679,12,921,5,186388,922
680,16,923,6,37108,924
681,49,925,7,124526,926
682,79,927,12,329469,928
683,23,929,9,39620,930
684,10,931,9,468786,932
685,42,463,15,39968,933
686,34,555,7,315564,934
687,23,446,17,363964,935
688,15,936,5,339541,937
689,55,938,9,286525,939
690,25,940,7,439718,941
691,19,942,11,29708,943
692,44,944,9,40156,945
693,50,946,7,458506,947
694,27,617,7,322836,948
695,18,949,5,42891,950
696,43,951,11,18406,952
697,8,953,5,72306,954
698,15,955,9,474630,956
699,24,740,7,302084,957
700,28,658,15,74712,958
701,21,959,7,39360,960
702,23,961,9,84018,962
703,39,377,19,33637,963
704,11,801,5,363246,964
705,34,923,6,37108,965
706,56,966,10,244771,967
707,7,968,0,345335,969
708,20,970,4,100443,971
709,45,972,9,394655,973
710,7,407,5,54578,974
711,7,689,12,124732,975
712,100,976,20,5812,977
713,100,923,9,37108,978
714,26,979,7,73417,980
715,54,641,7,383416,981
716,83,982,20,101503,983
717,16,984,8,452157,985
718,24,986,5,352242,987
719,26,401,4,63118,988
720,68,989,10,32188,990
721,100,367,22,198321,368
722,55,721,5,100451,991
723,30,992,5,358605,993
724,21,667,7,9689,994
725,28,995,13,324098,996
726,13,587,9,446598,997
727,21,998,7,284777,999
728,100,940,11,439718,1000
729,19,778,10,13108,1001
730,22,1002,6,382980,1003
731,22,645,16,434068,1004
732,100,1005,18,245236,646
733,82,1006,12,125278,1007
734,39,872,15,38592,1008
735,61,542,12,110214,1009
736,38,1010,9,464492,1011
737,31,986,5,352242,1012
738,22,1013,5,302316,1014
739,31,826,6,426919,1015
740,33,574,7,77403,1016
741,91,1017,18,39896,1018
742,15,872,15,38592,1019
743,29,1017,14,39896,526
744,22,490,6,449561,1020
745,37,1021,8,112968,1022
746,42,1023,6,298606,1024
747,20,1025,8,390402,1026
748,25,1027,6,430852,1028
749,37,773,14,457533,1029
