ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
422,24,422,7,9703,423
423,10,424,12,23450,425
424,33,426,38,24271,427
425,12,428,13,25445,429
426,37,430,7,11663,431
427,26,432,10,2534,433
428,100,434,5,12766,435
429,25,436,20,19746,437
430,49,438,9,14950,439
431,11,440,7,23409,441
432,38,442,17,32553,443
433,46,444,21,5754,445
434,14,446,15,2337,447
435,18,435,5,12839,448
436,14,449,12,2384,450
437,46,451,16,30986,452
438,33,453,37,34777,454
439,24,455,23,22727,456
440,54,435,5,12766,457
441,23,458,13,34344,459
442,76,460,5,13756,461
443,58,462,5,11415,463
444,17,464,19,35664,465
445,20,466,19,20459,467
446,22,468,11,22646,469
447,22,470,16,22717,471
448,43,472,10,2629,473
449,13,472,10,2629,474
450,21,475,22,19783,476
451,17,477,22,2305,478
452,20,479,23,10375,480
453,18,481,11,10294,482
454,18,483,8,8584,484
455,18,485,19,18544,486
456,66,487,19,25591,488
457,27,477,29,2305,489
458,20,479,18,10375,490
459,12,491,11,2358,492
460,41,436,20,19746,493
461,14,494,5,11872,495
462,27,479,19,10375,496
463,26,497,6,21796,498
464,77,499,20,8508,500
465,12,501,10,2416,502
466,49,503,12,3639,504
467,33,453,37,34777,505
468,33,506,12,2752,507
469,15,442,12,32553,508
470,30,509,19,23152,510
471,16,511,14,29819,512
472,31,513,13,25298,514
473,17,515,11,16204,516
474,61,517,18,23157,518
475,62,519,43,3336,520
476,100,521,47,34005,522
477,29,477,23,2305,523
478,22,524,10,2382,525
479,15,526,10,18117,527
480,13,446,15,2337,528
481,15,462,5,11415,529
482,62,530,16,18609,531
483,13,532,20,10748,533
484,35,534,19,2314,535
485,21,460,5,13756,536
486,22,475,19,19783,537
487,61,477,19,2305,538
488,13,539,12,25441,540
489,12,477,25,2305,541
490,11,542,13,2394,543
491,20,544,34,3321,545
492,13,546,10,2705,547
493,27,548,15,34061,549
494,17,550,18,10114,551
495,19,552,9,4740,553
496,19,554,20,38559,555
497,28,435,5,12839,556
498,56,557,26,2297,558
499,13,559,14,28123,560
500,12,561,15,19484,562
501,38,563,10,3328,564
502,99,565,16,3556,566
503,17,567,9,25292,568
504,46,569,17,22719,570
505,13,449,15,2384,571
506,32,542,13,2394,572
507,34,542,13,2394,573
508,23,444,22,5754,574
509,50,575,12,2986,576
510,19,563,8,3328,577
511,12,578,53,28574,579
512,100,580,5,11872,494
513,18,479,18,10375,581
514,23,470,18,22717,582
515,50,583,6,18614,584
516,55,585,17,21466,586
517,26,587,28,3482,588
518,12,589,15,3557,590
519,23,563,11,3328,591
520,14,592,12,2420,593
521,17,594,12,2403,595
522,63,596,22,3036,597
523,73,598,5,13313,599
524,43,470,18,22717,600
525,20,544,42,3321,601
526,19,602,10,2476,603
527,14,477,28,2305,604
528,19,605,18,24348,606
529,16,607,11,12655,608
530,16,609,10,2953,610
531,62,611,14,13193,612
532,80,613,33,2931,614
533,7,428,14,25445,615
534,33,563,11,3328,616
535,58,444,25,5754,617
536,94,509,19,23152,618
537,14,619,16,25357,620
538,19,462,5,11415,621
539,13,446,17,2337,622
540,40,497,6,21796,623
541,22,624,13,3001,625
542,37,575,12,2986,626
543,9,544,31,3321,627
544,7,628,13,28121,629
545,14,630,16,3531,631
546,25,513,12,25298,632
547,24,479,19,10375,633
548,57,634,17,23164,635
549,13,472,10,2629,636
550,16,637,11,2963,638
551,12,446,17,2337,639
552,15,640,8,33359,641
553,20,642,10,25926,643
554,32,644,10,11216,645
555,39,435,5,12766,646
556,21,532,19,3003,647
557,23,648,28,34504,649
558,26,449,13,2384,650
559,12,483,4,8577,651
560,13,652,17,2332,653
561,65,613,31,2931,654
562,17,424,12,23450,655
563,46,521,46,34005,656
564,48,470,20,22717,657
565,42,544,34,3321,658
566,7,477,17,2305,659
567,100,660,19,2973,661
568,13,662,9,32079,663
569,55,542,13,2394,664
570,100,665,5,13804,460
571,20,563,8,3328,666
572,13,477,21,2305,667
573,45,668,21,2383,669
574,17,513,11,25298,670
575,17,671,9,2301,672
576,12,428,14,25445,673
577,15,674,5,13868,675
578,54,569,18,22719,676
579,13,462,5,11415,677
580,16,449,13,2384,678
581,19,594,11,2403,679
582,38,680,5,23527,681
583,20,682,9,3120,683
584,38,684,22,5256,685
585,11,424,12,23450,686
586,20,544,46,3321,687
587,19,611,12,13193,688
588,21,487,15,25591,689
589,20,690,23,3429,691
590,43,449,14,2384,692
591,17,534,18,2314,693
592,16,694,14,28270,695
593,48,696,18,25406,697
594,30,598,5,13313,698
595,39,699,45,27923,700
596,19,701,13,2411,702
597,19,703,13,2393,704
598,24,705,11,3122,706
599,13,707,8,29386,708
600,57,701,13,2411,709
601,20,613,27,2931,710
602,11,711,16,21874,712
603,13,435,5,12766,713
604,21,671,10,2301,714
605,41,436,20,19746,715
606,29,716,18,29979,717
607,57,718,23,2936,719
608,16,563,8,3328,720
609,12,578,52,28574,721
610,14,442,14,32553,722
611,22,532,16,10748,723
612,30,724,25,14956,725
613,28,515,13,16204,726
614,40,727,22,9867,728
615,18,609,10,2953,729
616,100,494,5,11873,730
617,20,731,16,18295,732
618,37,506,12,2752,733
619,65,684,27,5256,734
620,25,735,5,23495,736
621,41,602,10,2476,737
622,62,738,19,2570,739
623,22,684,20,5256,740
624,23,462,5,11417,741
625,25,742,11,3474,743
626,20,479,21,10375,744
627,32,745,36,4062,746
628,17,446,17,2337,747
629,51,716,20,29979,748
630,10,444,20,5754,749
631,22,435,5,12838,750
632,26,751,15,11395,752
633,12,513,9,25298,753
634,20,690,24,3429,754
635,20,755,42,23266,756
636,36,757,17,25689,758
637,20,544,33,3321,759
638,19,628,16,28121,760
639,26,761,12,2395,762
640,85,763,27,33478,764
641,92,765,13,8673,766
642,18,428,13,25445,767
643,23,768,7,24878,769
644,33,770,19,28126,771
645,59,542,13,2394,772
646,23,773,21,2662,774
647,13,652,14,2332,775
648,19,776,12,3385,777
649,19,778,8,26106,779
650,59,634,19,23164,780
651,23,497,6,21796,781
652,12,707,8,29386,782
653,23,783,20,35658,784
654,61,509,19,23152,785
655,57,521,49,2964,786
656,20,501,12,2416,787
657,17,435,5,12838,788
658,57,613,30,2931,789
659,34,790,18,37349,791
660,12,792,17,30764,793
661,15,435,5,12766,794
662,30,634,16,23164,795
663,33,668,20,2383,796
664,21,485,19,18544,797
665,25,435,5,12766,798
666,48,513,15,25298,799
667,24,800,6,18538,801
668,8,674,5,13868,802
669,40,521,44,34005,803
670,26,703,13,2393,804
671,27,668,18,2383,805
672,23,477,23,2305,806
673,46,807,14,25423,808
674,18,809,9,3081,810
675,47,470,20,22717,811
676,27,812,44,27141,813
677,29,652,15,2332,814
678,14,483,4,8577,815
679,17,816,10,24346,817
680,33,818,9,31300,819
681,42,818,9,31300,820
682,37,462,5,11416,821
683,21,624,13,3001,822
684,14,823,11,14675,824
685,26,671,12,2301,825
686,58,542,13,2394,826
687,16,460,5,13756,827
688,21,828,10,12440,829
689,24,462,5,11415,830
690,8,831,8,34751,832
691,21,833,24,28671,834
692,31,671,13,2301,835
