ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
609,6,609,9,184187,610
610,7,611,7,93232,612
611,17,613,13,193283,614
612,7,615,14,183739,616
613,100,617,7,17137,618
614,6,619,6,1227,620
615,12,621,17,192128,622
616,25,623,22,128031,624
617,11,625,12,26898,626
618,12,627,14,29476,628
619,23,629,25,38398,630
620,5,631,10,192424,632
621,17,633,14,126857,634
622,3,635,6,175286,636
623,17,637,7,152059,638
624,10,639,16,168276,640
625,100,641,30,190356,642
626,17,629,25,38398,643
627,13,644,16,142420,645
628,1,629,22,38398,646
629,15,647,15,172966,648
630,31,649,21,172451,650
631,15,651,9,179639,652
632,51,617,6,17137,653
633,49,654,39,167020,655
634,8,434,5,155950,656
635,25,657,10,183091,658
636,20,659,7,42772,660
637,100,661,30,164557,662
638,2,663,12,13101,664
639,22,665,22,182997,666
640,16,667,11,14805,668
641,6,669,11,167832,670
642,9,671,12,12768,672
643,9,673,8,150181,674
644,51,675,10,19096,676
645,11,677,17,127242,678
646,14,679,20,127200,680
647,8,681,6,2752,682
648,19,683,18,134060,684
649,46,685,25,169286,686
650,8,687,11,33911,688
651,45,667,16,14805,689
652,100,690,4,100846,691
653,5,692,5,7151,693
654,9,649,18,172451,694
655,13,617,6,17137,695
656,6,635,7,175286,696
657,8,675,7,19096,697
658,6,615,13,183739,698
659,12,699,16,115292,700
660,6,701,10,175058,702
661,37,690,5,100846,703
662,15,704,7,181191,705
663,6,706,11,40416,707
664,11,708,15,117410,709
665,10,710,9,39851,711
666,11,712,16,161927,626
667,4,609,8,184187,713
668,13,629,21,38398,714
669,1,715,12,173879,716
670,9,717,16,129613,718
671,5,719,11,36272,720
672,30,721,20,98412,722
673,26,723,18,122412,724
674,16,725,11,176805,726
675,11,649,19,172451,727
676,42,617,5,17137,728
677,100,617,7,17137,618
678,7,729,7,151142,730
679,22,731,16,161442,732
680,9,657,8,183091,733
681,1,734,10,41567,735
682,100,661,30,164557,662
683,7,736,9,173892,737
684,14,671,13,12768,738
685,8,739,12,152694,740
686,26,639,19,168276,741
687,1,742,26,183175,743
688,12,744,18,114599,745
689,100,617,6,17137,746
690,17,747,15,90450,748
691,8,749,9,34539,750
692,100,751,3,16237,752
693,1,753,9,190978,754
694,1,755,9,35175,756
695,11,717,17,129613,757
696,19,758,9,28619,759
697,13,760,13,4877,761
698,20,762,24,189153,763
699,60,764,22,15124,765
700,7,766,10,42014,767
701,70,617,3,17137,768
702,8,769,15,34408,770
703,7,771,13,150408,772
704,27,773,16,27531,774
705,6,775,16,121874,776
706,5,777,5,174887,778
707,13,779,13,4823,780
708,10,781,16,181535,782
709,20,783,23,182787,784
710,9,785,8,163815,786
711,15,708,16,117410,787
712,7,788,5,133305,789
713,10,617,6,17137,790
714,6,791,5,170280,792
715,7,793,16,147717,794
716,11,665,22,182997,795
717,5,796,5,162977,797
718,12,798,11,108236,799
719,5,800,5,156014,801
720,11,802,18,122768,803
721,12,804,15,125054,805
722,14,806,12,168899,807
723,11,808,13,125796,809
724,7,810,11,185749,811
725,29,751,4,16237,812
726,21,813,4,15741,814
727,52,815,19,164495,816
728,8,817,14,92752,818
729,28,690,8,100846,819
730,100,690,4,100846,820
731,10,719,10,36230,821
732,5,822,11,36037,823
733,13,623,19,128031,824
734,3,804,11,125054,825
735,5,753,14,175175,826
736,100,641,26,190356,827
737,9,828,14,153203,829
738,8,830,7,171028,831
739,100,690,4,100846,820
740,18,832,13,107571,833
741,23,834,20,188723,835
742,7,836,7,151421,837
743,6,838,10,177793,839
744,11,840,16,190755,841
745,8,671,12,12768,842
746,10,843,7,179226,844
747,7,845,18,19030,846
748,24,798,13,108236,847
749,24,848,15,176616,849
750,10,800,7,156014,850
751,27,617,3,17137,851
752,47,852,18,355,853
753,4,854,9,101645,855
754,4,856,6,40919,857
755,21,751,3,16237,858
756,5,859,10,13700,860
757,1,861,8,34362,862
758,11,863,10,179305,864
759,10,865,10,150486,866
760,6,747,12,90450,867
761,100,751,3,16237,868
762,11,783,23,165014,869
763,9,615,14,183739,870
764,16,871,20,184726,872
765,12,873,13,30159,874
766,7,875,6,37389,876
767,5,830,10,186475,877
768,17,663,17,13101,878
769,100,661,30,164557,662
770,10,879,14,162410,880
771,8,881,15,40113,882
772,11,883,4,173084,884
773,11,717,16,129613,885
774,44,617,4,17137,886
775,9,671,12,12768,811
776,16,773,16,27531,887
777,1,888,8,123852,889
778,22,890,12,156183,891
779,25,671,13,3920,892
780,6,744,15,114599,893
781,17,894,13,123457,895
782,29,896,12,166097,897
783,11,898,14,126374,899
784,10,900,13,93311,901
785,9,902,10,5983,903
786,16,904,19,177691,905
787,4,854,10,101645,906
788,12,907,11,145657,908
789,67,690,4,100846,909
790,7,773,13,27531,910
791,5,865,8,150486,911
792,8,817,14,94304,912
793,100,751,3,16237,752
794,8,751,4,16237,913
795,26,914,10,174471,915
796,14,916,18,37741,917
797,100,654,39,167020,918
798,100,690,4,100846,919
799,1,888,8,123852,920
800,18,661,22,164557,921
801,8,922,16,4884,923
802,9,777,5,174887,829
803,13,924,14,174153,925
804,56,690,4,100846,926
805,100,927,2,128927,928
806,12,929,11,168653,930
807,100,617,7,17137,618
808,7,931,9,168458,932
809,38,933,5,132998,934
810,17,935,13,191926,936
811,100,654,39,167020,937
812,31,798,15,108236,799
813,10,938,9,39867,939
814,8,940,7,142526,941
815,8,699,15,115292,942
816,15,671,13,12768,943
817,13,739,14,152694,944
818,7,755,11,35175,945
819,10,946,9,36161,947
820,16,683,18,134060,948
821,100,641,30,190356,642
822,1,949,10,13560,950
823,16,951,12,1225,952
824,100,617,7,17137,618
825,5,953,14,140405,954
826,6,955,5,157444,956
827,100,627,20,29476,957
828,100,958,10,146246,959
829,45,617,8,17137,960
830,41,641,25,190356,961
831,25,962,19,126194,963
832,9,671,13,24754,964
833,32,965,17,113593,966
834,13,967,11,91258,968
835,36,617,2,17137,969
836,21,970,14,108592,971
837,12,751,3,16237,972
838,100,661,19,164557,973
839,17,974,13,93840,975
840,6,747,12,90450,976
841,27,977,21,189654,978
842,6,979,8,177810,980
843,16,981,15,14455,982
844,22,690,4,100846,983
845,50,984,24,158679,985
846,10,755,12,35175,986
847,19,663,16,13101,987
848,8,988,16,179181,989
849,12,990,18,190807,991
850,8,988,16,179181,992
851,22,637,8,152059,993
852,17,994,10,143037,995
853,100,798,15,108236,996
854,100,617,7,17137,618
855,10,997,13,117342,998
856,100,641,29,190356,999
857,72,1000,18,28617,1001
858,10,938,9,39867,1002
859,18,747,14,90450,1003
860,5,1004,19,120160,1005
861,6,434,5,155950,1006
862,11,1007,12,394,1008
863,8,675,6,19096,1009
864,6,1010,14,163180,1011
865,19,663,16,13101,1012
866,15,615,17,183739,1013
867,11,1014,14,4441,1015
868,100,661,30,164557,1016
869,10,744,17,114599,1017
870,32,929,14,168653,1018
871,11,1019,13,144098,1020
872,2,1021,14,39988,1022
873,5,962,13,126194,1023
874,100,673,30,150181,1024
875,13,1025,14,54,1026
876,100,617,6,17137,746
877,28,798,15,108236,1027
878,21,1028,15,172683,1029
879,29,690,4,100846,1030
880,1,1031,9,37300,1032
881,100,617,2,17137,1033
882,3,1034,12,162660,1035
883,75,617,5,17137,1036
884,10,1037,15,90684,1038
885,31,1039,9,124817,1040
886,9,671,13,12768,1041
887,11,931,10,168458,1042
888,1,1043,6,162105,1044
889,29,1045,21,173358,1046
890,11,1047,11,91400,947
891,4,1048,7,159751,1049
892,9,1050,5,158490,1051
893,8,1052,12,42196,1053
894,11,1054,17,19027,1055
895,27,751,3,16237,1056
896,6,1057,6,101941,1049
897,51,690,4,100846,1058
898,5,629,23,38398,1059
899,1,1060,9,1721,1061
900,26,617,5,17137,1062
901,8,1063,17,159040,1064
902,13,810,12,185749,1065
903,100,661,30,164557,662
904,23,1066,17,177662,1067
905,10,1068,14,94064,1069
906,100,1070,10,146246,958
907,16,898,14,126374,1071
908,18,1072,18,95809,1073
909,24,1074,16,550,1075
910,17,747,15,90450,1076
911,20,1050,7,158490,1077
912,13,1078,14,124345,1079
913,3,1080,9,121875,1081
914,12,1082,10,16529,1083
915,17,679,20,127200,1084
916,41,1085,16,180390,1086
917,10,773,15,27531,1087
918,18,667,12,14805,1088
