ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
796,5,796,12,206790,797
797,7,798,9,13720,799
798,8,800,9,55919,801
799,7,802,19,40222,803
800,2,804,5,62189,805
801,22,806,12,112991,807
802,6,808,14,213995,809
803,6,810,9,137402,811
804,11,812,30,205412,813
805,3,814,8,149455,815
806,3,816,10,198729,817
807,15,818,11,215460,819
808,12,820,22,186993,821
809,9,806,12,112991,822
810,7,808,11,206947,823
811,13,824,35,192515,825
812,6,826,16,17714,827
813,6,828,16,26695,829
814,20,830,21,11512,831
815,100,832,10,113566,833
816,6,834,11,51261,835
817,9,836,22,80065,837
818,6,838,12,155066,839
819,19,840,27,177584,841
820,16,842,7,167048,843
821,100,806,9,113531,844
822,5,845,10,213791,846
823,33,847,16,167198,848
824,6,849,5,183944,850
825,7,838,13,155066,851
826,16,810,8,137402,852
827,17,853,17,13290,854
828,14,855,15,178514,856
829,13,824,34,192515,857
830,8,858,9,27787,859
831,12,860,18,51204,861
832,7,840,26,177584,862
833,12,863,13,41284,864
834,6,865,5,113793,866
835,5,867,12,14938,868
836,8,849,5,183944,869
837,6,808,7,213995,870
838,19,812,34,205412,871
839,14,812,34,205412,872
840,4,873,30,16628,874
841,12,860,18,51204,875
842,29,876,23,13305,877
843,7,878,9,113559,879
844,2,880,5,184912,881
845,46,806,12,112991,882
846,19,883,25,62999,884
847,11,885,6,195913,886
848,5,887,12,153013,888
849,8,889,22,207310,890
850,15,806,11,112991,891
851,9,892,10,80903,893
852,35,894,23,15750,895
853,3,896,12,208102,897
854,11,898,9,188147,899
855,3,900,5,77597,901
856,13,867,15,14938,902
857,3,903,5,198603,904
858,18,905,12,174118,906
859,31,832,7,113566,907
860,15,908,16,167194,909
861,14,910,11,61574,911
862,20,912,24,205238,913
863,12,914,18,31546,915
864,9,838,13,155066,916
865,1,806,9,113531,917
866,8,918,11,15828,919
867,18,838,16,155066,920
868,8,921,10,189841,922
869,9,923,7,79371,924
870,19,810,10,137402,925
871,13,926,5,140940,927
872,13,928,14,157902,929
873,18,930,15,205326,931
874,6,867,15,14938,932
875,12,826,17,17714,933
876,17,934,7,84020,935
877,12,936,6,181891,937
878,9,938,14,60187,939
879,21,806,12,112991,940
880,13,838,15,155066,941
881,15,942,6,19427,943
882,1,944,5,175185,945
883,27,806,9,113531,946
884,28,947,19,208683,948
885,6,806,8,113531,949
886,2,900,5,77597,950
887,14,951,19,212606,952
888,15,892,12,80903,953
