ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
171,16,171,13,59568,172
172,1,173,10,73453,174
173,25,175,26,60090,176
174,1,177,5,75125,178
175,61,179,8,12397,180
176,15,181,5,64678,182
177,28,183,15,75131,184
178,26,185,13,52897,186
179,92,187,17,52556,188
180,31,189,16,93351,190
181,21,191,12,60409,192
182,100,193,22,4785,194
183,31,195,5,61989,196
184,12,197,15,129777,198
185,24,199,15,109418,200
186,22,201,5,119566,202
187,29,203,40,79032,182
188,18,204,14,92440,205
189,31,206,11,5488,207
190,65,208,31,18333,209
191,17,210,5,78808,211
192,29,212,16,9363,213
193,7,214,5,45285,215
194,34,216,6,18062,217
195,21,218,5,75640,219
196,16,220,17,52429,221
197,14,222,9,124580,223
198,36,224,20,46336,225
199,17,212,16,9363,226
200,35,227,5,31571,228
201,19,204,15,92440,229
202,48,230,6,38194,231
203,46,232,13,100033,233
204,39,234,21,62484,235
205,10,236,5,99869,237
206,45,238,17,62158,239
207,18,240,8,40306,241
208,28,242,5,2906,243
209,21,244,5,81071,245
210,37,204,15,92440,246
211,64,247,19,57135,248
212,14,218,5,75640,249
213,27,250,16,109476,251
214,33,224,20,46336,252
215,36,240,8,40306,253
216,21,254,12,10434,255
217,31,256,8,106250,257
218,27,258,6,7376,259
219,16,260,11,4002,261
220,56,262,16,1927,263
221,39,264,23,4833,265
222,36,266,14,122382,267
223,16,268,15,31100,269
224,28,218,5,75640,270
225,34,271,5,110081,272
226,32,273,5,74677,274
227,22,275,14,48689,276
228,40,277,25,12268,278
229,32,279,16,9323,280
230,63,281,19,61161,282
231,48,283,8,4939,284
232,34,285,19,47857,286
233,25,242,5,2906,287
234,28,240,8,40306,288
235,32,224,20,46336,289
236,35,290,17,40707,291
237,15,262,13,1927,292
238,25,242,5,2906,293
239,32,279,16,9323,294
240,24,240,8,40306,295
241,35,296,5,17409,297
242,40,212,16,9363,298
243,38,299,20,7012,300
244,34,301,13,49324,302
245,36,189,16,93351,303
246,11,304,26,58613,305
247,25,179,6,12397,306
248,48,264,22,4833,307
249,19,308,9,34681,202
250,13,181,5,64678,309
251,30,247,16,57135,310
252,28,242,5,2906,311
253,43,304,28,58613,312
254,84,304,31,58613,313
255,26,262,12,1927,314
256,64,315,16,52581,316
257,100,208,35,18333,317
258,52,242,5,2906,318
259,32,220,19,52429,319
260,24,315,13,52581,320
261,21,321,7,119940,322
262,66,323,14,99503,324
263,26,325,16,126341,326
264,39,266,14,122382,327
265,14,328,5,17220,329
266,24,214,5,45285,330
267,49,331,11,19215,332
268,14,333,15,33713,334
269,40,240,8,40306,335
270,23,212,16,9363,336
271,37,337,20,54024,338
272,39,250,16,109476,339
273,28,254,12,10434,340
274,59,341,9,7315,342
275,33,203,40,79032,343
276,30,204,15,92440,344
277,42,212,16,9363,345
278,13,346,10,70529,305
279,36,347,12,95122,348
280,26,240,8,40306,349
281,59,350,8,1939,351
282,12,218,5,75640,352
283,83,230,8,38194,353
284,35,240,8,40306,354
285,33,355,13,47401,356
286,51,262,14,1927,357
287,18,358,18,130845,359
288,26,218,5,75640,360
289,32,361,5,81884,362
290,13,222,9,124580,363
291,44,256,7,106250,364
292,55,365,17,16716,366
293,46,350,9,1939,367
294,25,179,6,12397,368
295,65,369,11,15897,370
296,90,371,19,4616,372
297,50,230,6,38194,373
298,38,374,19,9632,375
299,19,240,8,40306,376
300,43,224,20,46336,377
301,24,262,14,1927,378
302,21,379,6,36207,380
303,14,271,5,110081,381
304,15,240,8,40306,382
305,16,301,11,49324,336
306,29,240,8,40306,383
307,23,384,7,9501,385
308,26,275,12,48689,386
309,52,203,40,79032,387
310,49,388,14,65556,389
311,44,350,8,1939,390
312,9,391,5,56745,392
313,38,393,16,130200,394
314,33,395,37,94593,396
315,21,397,20,20160,398
316,26,399,5,69271,400
317,42,218,5,75640,401
318,28,402,5,9059,403
319,50,393,16,130200,404
320,17,405,5,12153,406
321,21,262,13,1927,407
322,14,262,11,1927,408
323,20,409,5,73488,410
324,16,240,8,40306,411
325,18,256,8,106250,412
326,53,350,9,1939,413
