ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
305,29,305,5,105638,306
306,25,307,11,394488,308
307,100,309,0,381711,310
308,21,311,14,184878,312
309,48,313,16,81897,314
310,32,315,7,80137,316
311,30,317,10,81447,318
312,28,319,6,250243,320
313,18,321,17,182719,322
314,20,323,5,337312,324
315,24,325,8,83889,326
316,17,317,10,81447,327
317,36,328,14,435144,329
318,29,330,14,40299,331
319,31,332,17,367852,333
320,36,334,15,38030,335
321,19,336,22,82803,337
322,11,338,5,382823,339
323,64,340,14,371977,341
324,42,342,17,76010,343
325,24,344,9,47564,345
326,21,321,19,182719,346
327,18,347,0,345335,348
328,86,349,0,396777,350
329,100,351,17,438743,352
330,60,353,7,382996,354
331,25,355,4,317029,356
332,33,357,27,101800,358
333,21,357,25,101800,359
334,100,360,19,53921,361
335,64,362,6,104627,363
336,19,364,12,118691,365
337,28,366,9,398384,367
338,19,368,13,36972,369
339,43,370,16,80503,371
340,44,372,16,361805,373
341,23,374,10,453748,375
342,22,376,11,83081,377
343,36,378,8,307648,379
344,16,313,13,81897,380
345,41,374,9,453748,381
346,15,382,5,202320,383
347,16,384,13,15315,385
348,23,386,8,382842,387
349,24,388,9,48572,389
350,55,390,16,435046,391
351,23,392,9,4621,393
352,60,394,11,362443,395
353,26,396,10,469253,397
354,25,398,9,360260,399
355,24,388,9,48572,400
356,24,401,12,478784,402
357,49,403,5,448484,404
358,24,405,16,345071,406
359,50,407,0,361489,408
360,100,409,9,426560,410
361,27,411,9,76120,412
362,25,413,7,393415,414
363,21,415,10,185755,416
364,44,417,7,9693,418
365,36,419,15,46454,420
366,37,421,8,18815,422
367,44,351,13,438743,423
368,21,424,9,431874,425
369,51,426,15,313318,427
370,100,428,17,438572,429
371,51,374,10,453748,430
372,31,431,12,72939,432
373,11,433,5,46079,434
374,99,435,20,470070,436
375,19,437,7,204369,438
376,23,439,16,123335,440
377,17,441,13,26525,442
378,10,443,6,243858,326
379,30,444,28,197955,445
380,21,437,8,204369,446
381,100,447,24,292458,448
382,23,449,10,310629,450
383,56,451,16,343403,452
384,34,453,6,302103,454
385,100,449,14,310629,455
386,37,456,5,100353,457
387,29,458,11,102588,459
388,22,460,5,337877,461
389,19,462,7,445620,463
390,16,336,22,82803,464
391,21,372,15,361805,465
392,16,466,5,42410,467
393,20,468,10,451189,469
394,39,334,16,38030,470
395,29,336,24,82803,471
396,46,472,7,362464,473
397,59,366,9,398384,474
398,12,388,8,48572,475
399,66,476,7,80140,477
400,48,478,14,37677,479
401,18,480,13,62769,481
402,20,482,12,42624,483
403,49,484,0,372196,485
404,71,486,5,356899,487
405,85,484,7,80914,488
406,21,437,8,204369,489
407,20,490,5,327553,491
408,48,451,15,343403,492
409,100,309,0,381711,310
410,39,419,15,46454,493
411,100,494,19,131933,495
412,47,496,19,98617,497
413,24,498,7,290437,499
414,44,500,11,73997,501
415,28,502,11,391783,503
416,45,504,15,99632,505
417,38,506,10,49230,507
418,67,508,11,75403,509
419,11,510,10,259023,511
420,20,512,13,443701,513
421,18,313,12,81897,514
422,34,515,12,27213,516
423,26,444,28,197955,517
424,18,466,6,42410,518
425,28,519,13,283078,520
426,24,462,9,445620,521
427,21,321,19,182719,522
428,29,523,9,45808,524
429,50,525,7,19872,526
430,30,443,9,243858,527
431,20,528,9,273389,529
432,54,362,6,104627,530
433,25,531,14,73727,532
434,25,533,5,283744,534
435,51,357,26,101800,535
436,44,366,9,398384,536
437,70,537,13,474790,538
438,12,372,14,361805,539
439,49,537,13,474790,540
440,30,484,7,80914,541
441,45,531,12,73727,542
442,13,444,28,197955,543
443,24,544,5,105466,545
444,19,462,7,445620,546
445,26,468,12,451189,547
446,14,313,12,81897,548
447,24,549,9,444578,550
448,44,551,9,118027,552
449,48,528,13,273389,553
450,41,444,28,197955,554
451,24,555,7,184963,556
452,13,557,6,123569,558
453,51,559,9,3048,560
454,53,561,31,26788,562
455,10,444,28,197955,563
456,45,564,10,265003,565
457,18,566,18,202523,567
458,31,357,27,101800,568
459,32,569,8,3426,570
460,18,571,5,166436,572
461,13,573,7,104496,574
462,23,575,11,317767,576
463,16,577,8,478259,556
464,23,384,14,15315,578
465,18,311,14,184878,579
466,35,580,14,74834,581
467,30,582,5,393972,583
468,27,584,11,122589,585
469,80,586,12,38455,587
470,100,588,24,372234,589
471,31,405,18,345071,590
472,43,591,10,197753,592
473,19,593,5,7362,594
474,18,595,5,400959,596
475,21,323,5,337312,597
476,62,551,8,118027,598
477,100,599,22,37186,600
478,51,315,7,80137,601
479,41,602,14,328669,603
480,13,604,8,297125,605
481,30,336,26,82803,606
482,48,607,7,326957,608
483,38,609,14,16354,610
484,40,531,15,73727,611
485,33,612,8,268804,613
486,42,614,9,123587,615
487,14,421,6,18815,616
488,41,617,15,39185,618
489,69,351,13,438743,619
490,57,620,8,37013,621
491,70,315,7,80137,622
492,40,623,0,257719,624
493,24,460,5,337877,625
494,39,569,8,3426,626
495,20,627,9,118116,628
496,47,629,13,110533,630
497,37,631,13,49036,632
498,14,609,10,16354,633
499,16,634,7,391798,635
500,53,386,9,382842,636
501,34,637,9,252539,638
502,21,366,9,398384,639
503,21,531,10,73727,640
504,31,641,7,80147,642
505,20,419,15,46454,643
506,49,644,6,383226,645
507,41,405,17,345071,646
508,32,591,10,197753,647
509,38,390,16,435046,391
510,45,374,10,453748,648
511,31,649,7,78865,650
512,28,651,6,260415,652
513,59,653,10,340905,654
514,27,655,7,80244,656
515,16,657,8,474607,658
516,53,659,7,80764,660
517,23,504,11,99632,661
518,37,357,25,101800,662
519,9,663,7,407098,664
520,25,415,11,185755,665
521,22,357,25,101800,666
522,31,667,19,120808,668
523,15,631,10,49036,669
524,33,362,6,104627,670
525,26,617,15,39185,671
526,55,672,11,116057,673
527,21,480,12,62769,674
528,18,675,15,436019,676
529,54,334,14,38030,677
530,26,366,9,398384,678
531,22,679,7,291162,680
532,30,388,10,48572,681
533,26,682,7,50974,683
534,22,595,5,400959,684
535,19,685,25,15326,686
536,66,484,0,372196,687
537,66,688,14,27840,689
538,65,690,11,82271,691
539,24,692,9,412557,693
540,43,694,5,381794,695
541,42,696,12,460122,697
542,35,698,14,264502,699
543,23,700,5,305466,701
544,43,315,7,80137,702
545,22,392,8,4621,703
546,41,566,21,202523,704
547,55,705,14,102805,706
548,29,444,26,197955,707
549,23,708,5,389269,709
550,29,368,13,36972,710
551,19,444,28,197955,711
552,20,712,9,99737,713
553,33,307,15,394488,714
554,45,715,19,50354,716
555,20,411,9,76120,717
556,16,718,10,69587,719
557,25,593,5,7362,720
558,21,721,7,186178,722
559,23,362,5,104627,723
560,49,724,9,102560,725
561,31,528,11,273389,726
562,31,727,5,283036,728
563,10,729,5,296773,730
564,51,731,14,438404,732
565,23,357,25,101800,733
566,39,734,13,115441,735
567,36,736,9,40550,737
568,27,504,9,99632,738
569,20,739,7,42114,740
570,18,444,28,197955,741
571,30,357,25,101800,742
572,18,743,15,47501,744
573,25,313,14,81897,745
574,18,444,28,197955,746
575,27,376,9,83081,747
576,16,736,7,40550,748
577,100,531,16,73727,749
578,35,468,11,451189,750
579,36,468,13,451189,751
580,18,631,7,49036,752
581,62,753,8,446874,754
582,50,755,7,291148,756
583,32,531,13,73727,757
584,100,758,25,2073,759
585,20,760,8,79947,761
586,20,449,7,310629,762
587,33,763,15,166512,764
588,21,449,10,310629,765
589,31,766,10,453730,767
590,23,768,8,458311,769
591,40,770,6,375514,771
592,24,362,5,104627,772
593,19,773,6,321127,774
594,62,775,20,347777,776
595,32,777,11,109987,778
596,23,779,8,302040,780
597,30,453,6,302103,781
598,12,372,13,361805,782
599,22,564,8,265003,783
600,40,351,11,438743,784
601,22,785,12,83352,786
602,44,787,9,396407,788
603,51,319,7,250243,789
604,15,557,6,123569,790
605,24,657,9,474607,791
606,30,508,9,75403,792
607,100,793,31,69161,794
608,21,338,7,382823,795
609,23,330,14,40299,796
610,22,797,14,457175,798
611,12,799,5,317021,800
612,32,801,13,463658,802
613,56,504,16,99632,803
614,28,372,16,361805,804
615,100,805,25,296912,806
616,40,807,5,380722,808
617,22,809,5,46713,810
618,20,811,7,357655,812
619,46,357,26,101800,813
620,15,814,18,43893,815
621,57,384,15,15315,816
622,69,512,18,443701,817
623,54,818,13,472002,819
624,31,537,12,474790,820
625,65,821,11,79472,822
626,35,823,10,345385,824
627,46,825,8,72571,826
628,36,827,6,437603,741
629,61,374,10,453748,828
630,19,317,10,81447,829
631,12,830,8,469873,831
632,24,739,8,42114,832
633,38,528,14,273389,833
634,54,531,16,73727,834
635,22,835,12,385412,836
636,28,551,7,118027,837
637,48,830,13,469873,838
638,12,839,10,475353,840
639,24,841,8,455543,842
640,100,843,7,101184,844
641,34,845,16,440529,846
642,35,847,6,55772,848
643,100,582,8,393972,849
644,43,334,14,38030,850
645,50,851,12,364788,852
646,21,460,5,337877,853
647,100,551,16,118027,854
648,23,357,25,101800,855
649,41,856,12,474140,857
650,77,858,18,130655,859
651,100,860,0,380777,861
652,27,453,6,302103,862
653,37,863,0,347324,864
654,74,865,6,360728,866
655,81,867,12,63985,868
656,59,869,0,372172,870
657,20,871,13,198995,872
658,44,573,11,104496,873
659,19,874,5,2034,875
660,27,623,0,257719,876
661,41,766,11,453730,877
662,30,878,5,13432,879
663,19,453,6,302103,880
664,46,763,15,166512,881
665,32,882,0,347321,883
666,100,884,9,120388,885
667,24,685,26,15326,886
668,40,531,16,73727,887
669,100,869,0,372172,888
670,74,317,5,81447,889
671,32,419,15,46454,890
672,43,510,12,259023,891
673,20,892,8,98110,893
674,36,374,11,453748,894
675,58,895,6,317073,896
676,39,755,6,291148,897
677,100,898,20,82073,899
678,41,839,15,475353,900
679,93,901,0,342814,902
680,20,444,24,197955,903
681,35,604,10,297125,904
682,28,905,6,37614,906
683,36,907,8,105236,771
684,50,317,10,81447,524
685,55,319,7,250243,908
686,49,909,12,41136,910
687,23,528,11,273389,911
688,21,504,11,99632,912
689,22,913,5,64191,914
690,20,915,5,117668,916
691,17,462,9,445620,917
692,12,918,5,83770,919
693,100,920,15,431095,921
694,24,922,11,377073,923
695,58,924,6,78945,925
696,100,845,27,440529,926
697,55,927,12,99449,928
698,20,918,5,83770,929
699,68,490,8,327553,930
700,22,931,6,382990,932
701,82,392,12,4621,933
702,20,374,11,453748,934
703,48,935,14,439140,936
704,19,366,9,398384,937
705,23,449,10,310629,938
706,22,821,8,79472,939
707,56,940,11,474940,941
708,17,528,9,273389,942
709,11,871,10,198995,943
710,30,321,19,182719,944
711,44,867,10,63985,945
712,26,946,7,80989,947
713,20,948,7,367128,949
714,42,950,5,367918,951
715,22,952,5,318797,953
716,43,954,6,418945,955
717,12,956,7,280979,957
718,50,958,0,278830,959
719,38,960,9,45620,961
720,36,962,13,473840,963
721,50,964,6,199479,965
722,26,659,7,80764,966
723,82,490,10,327553,967
724,100,734,18,115441,968
725,47,468,14,451189,969
726,37,315,7,80137,970
727,18,405,14,345071,971
728,76,972,7,99499,973
729,52,974,0,380833,975
730,61,976,22,83589,977
731,18,978,7,388183,979
732,50,417,7,9693,980
733,100,595,7,400959,981
734,64,405,18,345071,982
735,25,983,14,445230,984
736,81,736,13,40550,985
737,18,986,7,432441,987
738,25,924,4,78945,988
739,17,468,11,451189,989
740,51,593,6,7362,990
741,78,779,13,302040,991
742,23,421,8,18815,992
743,36,374,11,453748,993
744,50,994,22,434612,995
745,21,996,9,39559,997
746,36,922,14,377073,998
747,22,999,5,117151,1000
748,20,907,7,105236,1001
749,100,484,0,372196,1002
750,24,1003,8,339696,1004
