ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
576,16,576,12,841,577
577,7,578,5,237,579
578,2,580,14,181,581
579,8,582,12,12249,583
580,8,584,5,3628,585
581,3,586,6,451,587
582,1,588,16,1998,589
583,18,590,9,1669,591
584,4,592,11,589,593
585,100,594,24,793,595
586,1,596,9,11596,597
587,9,598,9,6623,599
588,10,600,16,568,601
589,12,602,13,166,603
590,10,604,17,2517,605
591,11,606,4,4598,607
592,14,608,22,5761,609
593,31,610,5,3606,611
594,12,612,15,1565,613
595,3,614,11,11417,615
596,15,616,20,10324,617
597,13,618,8,639,619
598,6,620,5,3042,621
599,6,622,5,4606,623
600,8,624,15,6768,625
601,7,626,2,5000,627
602,3,628,9,9639,629
603,23,630,30,1698,631
604,4,632,10,11646,633
605,25,634,10,9612,635
606,14,636,14,693,637
607,6,638,10,1758,639
608,16,640,6,9982,641
609,12,610,5,3606,642
610,9,643,8,7114,644
611,16,645,22,1613,646
612,4,647,15,12780,648
613,59,649,23,1836,650
614,32,651,29,2960,652
615,6,653,9,4050,654
616,5,655,15,1580,656
617,3,657,12,12713,658
618,16,659,10,283,660
619,10,661,10,770,662
620,5,663,15,7014,664
621,4,665,9,23,666
622,6,667,9,577,668
623,15,669,11,10158,670
624,13,671,12,679,672
625,5,673,5,4988,674
626,4,675,7,585,676
627,4,677,8,11414,678
628,3,679,8,1282,680
629,13,681,22,1057,682
630,8,683,11,455,684
631,8,685,6,960,686
632,20,687,18,1020,688
633,6,689,8,3541,690
634,7,691,6,10807,692
635,5,693,15,500,694
636,7,695,10,8964,696
637,4,697,8,4548,698
638,1,699,15,1998,700
639,5,701,15,286,702
640,13,703,8,4547,704
641,18,705,10,1595,706
642,18,707,29,1922,708
643,4,709,7,9248,710
644,10,610,5,3606,711
645,7,712,11,10639,713
646,3,705,8,1595,714
647,24,715,17,8019,716
648,1,717,14,1998,718
649,12,719,12,10659,720
650,10,721,8,6483,722
651,8,723,13,9181,724
652,4,725,13,110,726
653,1,727,16,1998,728
654,2,729,8,3026,730
655,12,731,14,9924,732
656,5,733,10,8333,734
657,16,735,9,1692,736
658,22,737,21,3781,738
659,6,739,10,66,740
660,9,681,22,1057,741
661,2,742,8,3763,743
662,6,744,7,284,745
663,9,746,8,428,747
664,4,748,14,1697,749
665,3,750,13,3612,751
666,3,752,6,6981,753
667,4,754,9,11638,755
668,5,756,6,2598,757
669,16,651,29,2960,758
670,3,759,12,289,760
671,5,761,6,1755,762
672,9,643,8,7114,763
673,16,764,25,790,765
674,7,746,7,428,766
675,6,767,13,2617,768
676,8,769,27,1658,770
677,4,771,8,9319,772
678,11,673,5,4988,773
679,4,774,10,1564,775
680,6,776,15,7104,777
681,6,620,5,3042,778
682,6,748,12,1697,779
683,20,679,13,1282,680
684,9,780,6,8108,781
685,34,782,12,629,783
686,15,784,28,1907,785
687,3,786,5,1474,787
688,4,788,10,1497,789
689,3,790,18,5087,791
690,5,632,12,11646,792
691,21,584,5,3628,793
692,3,794,7,6195,795
693,1,796,8,9106,797
694,8,798,16,10036,799
695,23,800,21,1582,801
696,28,673,5,4988,802
697,5,695,9,8964,803
698,3,804,13,10376,805
699,6,806,8,10658,807
700,6,808,8,3954,809
701,8,810,8,3266,811
702,13,620,5,3042,812
703,7,665,13,23,813
704,4,814,6,10207,815
705,3,816,24,6593,817
706,4,665,9,23,818
707,4,819,13,12830,820
708,20,821,21,357,822
709,7,823,9,10403,824
710,4,825,6,130,826
711,6,827,6,89,828
712,10,829,17,2022,830
713,3,831,12,4311,832
714,9,610,5,3606,833
715,23,834,14,54,835
716,7,836,23,7917,837
717,3,838,8,1676,839
718,36,840,14,8064,841
719,9,842,9,1496,843
720,8,816,23,6593,844
721,5,845,7,9491,846
722,14,584,5,3628,847
723,3,848,6,1622,849
724,9,850,16,905,851
725,7,673,5,4988,852
726,5,636,14,693,853
727,5,854,9,5047,855
728,13,856,6,10326,857
729,2,858,11,182,859
730,17,782,9,629,860
731,10,861,15,5386,862
732,21,863,21,2023,864
733,9,865,14,123,866
734,10,867,28,9054,868
735,7,869,6,2764,870
736,10,871,13,305,872
737,4,873,11,7003,874
738,6,875,10,4891,876
739,4,877,15,7002,878
740,7,848,6,1622,879
741,14,673,5,4988,880
742,27,881,15,304,870
743,3,882,8,448,883
744,11,884,7,141,885
745,3,886,14,12702,887
746,49,888,18,336,889
747,12,890,15,12820,891
748,9,892,6,5577,893
749,11,894,17,221,895
750,5,896,14,1823,897
751,5,898,26,3993,899
752,6,900,6,752,901
753,14,902,16,10854,903
754,4,904,10,416,905
755,3,906,8,926,907
756,4,908,13,4654,909
757,8,910,12,12680,911
758,5,912,8,197,913
759,4,914,6,264,915
760,19,916,8,2736,917
761,13,806,9,10658,918
762,7,919,17,2637,920
763,10,764,25,790,921
764,22,610,5,3606,922
765,14,923,13,8799,924
766,11,746,8,428,925
767,3,926,8,956,927
768,6,928,13,6594,929
769,5,620,5,3042,930
770,15,931,16,868,932
771,10,782,9,629,933
772,18,934,14,12693,935
773,19,936,13,296,937
774,11,630,30,1698,938
775,6,939,15,6592,940
776,27,941,26,3985,942
777,3,910,11,12680,943
778,9,673,5,4988,944
779,37,630,30,1698,945
780,11,854,10,5047,946
781,12,947,16,1819,948
782,14,949,6,1561,950
783,12,594,25,793,951
784,11,952,26,3988,953
785,8,954,2,4000,955
786,17,956,10,1678,957
787,6,958,9,9405,959
788,8,960,16,517,961
789,3,794,7,6195,962
790,18,630,30,1698,963
791,9,964,15,6808,965
792,5,867,28,9054,966
793,1,967,15,1998,968
794,25,769,27,1658,969
795,10,970,16,2041,971
796,26,972,15,1214,973
797,9,974,10,447,975
798,4,976,5,6537,977
799,19,978,23,840,979
800,4,980,19,11117,981
801,6,673,5,4988,982
802,12,983,27,3210,984
803,5,985,13,5164,986
804,3,928,10,6594,987
805,10,970,15,2041,988
806,6,989,18,918,990
807,10,991,6,317,992
808,10,993,25,1080,994
809,11,632,12,11646,995
810,5,996,12,4955,997
811,14,998,16,9232,999
812,7,1000,14,8490,1001
813,24,1002,17,1254,1003
814,4,1004,7,1767,1005
815,18,681,22,1057,1006
816,3,845,6,12098,1007
817,4,677,8,11414,1008
818,2,1009,13,11549,1010
819,22,630,30,1698,1011
820,70,769,27,1658,1012
821,22,1013,9,281,1014
822,6,1015,14,914,1016
823,7,1017,8,169,1018
824,5,695,9,8964,1019
825,13,1020,13,142,1021
826,7,1022,6,7082,1023
827,11,1024,16,11154,1025
828,23,771,12,9319,1026
829,7,604,17,2517,1027
830,8,1028,17,1168,1029
831,6,638,10,1758,1030
832,38,584,5,3628,1031
833,4,858,11,182,1032
834,4,1033,6,508,1034
835,6,1035,14,3659,1036
836,9,1037,8,1691,911
837,42,1038,11,4417,1039
838,15,1040,6,1725,1041
839,100,594,24,793,595
840,12,1042,25,1097,1043
841,11,610,5,3606,1044
842,5,1045,9,206,1046
843,14,1047,17,1696,1048
844,3,816,23,6593,1049
845,3,1050,6,9921,1051
846,1,1052,18,1998,1053
847,4,865,14,123,1054
848,10,655,17,1580,1055
849,4,748,14,1697,1056
850,6,1057,8,22,1058
851,3,1059,11,8574,1060
852,6,1061,13,11204,1062
853,8,1063,10,922,1064
854,13,737,18,3781,1065
855,37,769,27,1658,1066
856,6,980,18,11117,1067
857,6,1068,12,11122,1069
858,23,993,25,1080,1070
859,3,1071,13,2222,1072
860,13,1073,11,404,1074
861,17,630,30,1698,1075
862,8,1076,12,687,1077
863,23,1078,12,627,1079
864,7,1080,11,2043,1081
