ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
250,27,250,16,10354,251
251,100,252,23,9652,253
252,16,254,8,256,255
253,80,256,33,11976,257
254,34,258,22,8612,259
255,1,260,16,11430,261
256,54,262,25,1046,263
257,34,264,17,11846,265
258,30,266,21,4916,267
259,19,268,19,10917,269
260,23,270,14,9466,271
261,14,272,13,5377,273
262,65,274,15,8751,275
263,100,276,20,11522,277
264,29,278,15,11438,279
265,53,280,15,7162,281
266,52,282,23,11837,283
267,26,280,15,7162,284
268,41,285,19,8764,286
269,25,280,15,7162,287
270,100,266,26,4916,288
271,49,285,24,8764,289
272,15,290,6,3326,291
273,22,292,26,1174,293
274,31,294,23,9945,295
275,57,296,24,9836,297
276,22,262,23,1046,298
277,36,296,22,9836,299
278,29,300,14,2451,301
279,32,302,19,11628,303
280,19,304,9,8779,305
281,46,306,19,9542,307
282,49,308,10,10150,309
283,41,280,15,7162,310
284,23,311,20,11759,312
285,18,313,20,11402,314
286,13,296,17,9836,315
287,24,316,19,12475,317
288,27,276,12,11522,318
289,28,319,15,11760,320
290,19,321,15,5047,322
291,76,323,18,3601,324
292,27,296,22,9836,325
293,20,280,15,7162,326
294,51,327,14,9498,328
295,90,329,15,7158,330
296,100,280,15,7162,331
297,23,332,11,4286,333
298,50,334,23,1561,335
299,21,336,11,11096,337
300,40,338,16,790,339
301,56,340,22,9835,341
302,27,342,16,3337,343
303,18,344,12,9063,345
304,14,346,14,11752,347
305,26,348,25,5143,349
306,20,256,28,11976,350
307,78,351,18,11055,352
308,45,353,12,11464,354
309,26,355,11,10749,356
310,19,357,20,11849,358
311,31,274,12,8751,359
312,23,360,9,8129,361
313,12,334,23,1561,362
314,15,280,15,7162,363
315,35,364,8,7353,365
316,1,366,3,1271,367
317,32,368,36,4520,369
318,41,370,16,155,371
319,62,372,15,3077,373
320,39,374,12,12474,375
321,41,338,19,790,376
322,22,377,7,5621,378
323,19,272,18,5377,379
324,48,380,10,7728,381
325,28,382,14,8588,383
326,21,384,22,646,385
327,29,386,37,3665,387
328,20,388,13,705,389
329,30,390,22,12215,391
330,53,280,15,7162,392
331,26,338,14,790,393
332,14,282,18,11837,394
333,7,395,5,6534,396
334,32,386,37,3665,397
335,18,334,21,1561,398
336,23,399,13,9533,400
337,31,401,12,269,402
338,22,395,5,6534,403
339,45,404,21,8358,405
340,18,406,12,3856,407
341,72,408,14,8716,409
342,30,410,22,143,411
343,26,268,20,10917,412
344,28,413,35,445,414
345,22,280,15,7162,415
346,42,292,30,1174,416
347,19,351,13,11055,417
348,23,256,29,11976,418
349,20,419,25,8265,420
350,26,329,15,7158,421
351,1,422,6,8819,423
352,33,280,15,7162,424
353,63,258,27,8612,425
354,19,426,14,12194,427
355,28,428,11,8219,429
356,13,377,7,5621,430
357,100,285,25,8764,431
358,31,419,26,8265,432
359,33,433,30,3954,434
360,14,395,5,6534,435
361,19,342,13,3337,436
362,1,260,16,11430,437
363,8,355,8,10749,438
364,36,439,20,12195,440
365,38,304,11,8779,441
366,39,268,22,10917,442
367,40,256,28,11976,443
368,27,380,10,7728,444
369,57,413,35,445,445
370,9,329,15,7158,446
371,44,280,15,7162,447
372,39,285,24,8764,309
373,60,401,12,269,448
374,43,449,11,10409,450
375,1,451,3,1271,452
376,22,453,14,12123,454
377,47,282,23,11837,455
378,23,360,10,8129,456
379,15,457,5,5567,458
380,27,459,17,3724,460
381,78,280,15,7162,461
382,43,462,7,2098,463
383,14,464,6,12354,465
384,20,466,8,687,467
385,49,433,30,3954,468
386,17,388,10,705,469
387,26,410,16,143,470
388,24,372,14,3077,471
389,16,472,15,12149,473
390,67,474,21,9594,475
391,10,258,17,8612,476
392,28,390,27,12215,477
393,56,329,15,7158,478
394,18,428,10,8219,479
395,24,480,15,10852,481
396,35,250,17,10354,482
397,23,360,8,8129,483
398,40,410,24,143,484
399,30,321,15,5047,485
400,20,266,19,4916,486
401,22,380,8,7728,487
402,39,268,20,10917,488
403,27,266,20,4916,489
404,42,338,17,790,490
405,29,280,15,7162,491
406,22,492,33,10850,493
407,40,401,12,269,494
408,27,495,13,9568,496
409,38,497,13,12108,498
410,44,280,15,7162,499
411,59,280,15,7162,500
412,30,501,16,222,502
413,25,280,15,7162,503
414,37,504,12,4128,505
415,50,506,22,393,507
416,12,508,15,7160,509
417,43,280,15,7162,510
418,28,413,35,445,511
419,37,512,13,11165,513
420,29,285,17,8764,514
421,39,280,15,7162,515
422,42,516,13,858,517
423,34,518,16,11542,519
424,16,292,26,1174,520
425,25,521,5,8319,522
426,28,523,18,9726,524
427,37,525,17,5315,526
428,14,272,15,5377,527
429,26,374,9,12474,528
430,66,529,24,9710,530
431,16,508,15,7160,531
432,28,413,35,445,532
433,17,329,15,7158,533
434,22,262,21,1046,534
435,18,535,9,528,536
436,73,537,17,11439,538
437,28,413,35,445,539
438,36,537,14,11439,540
439,38,541,14,1939,542
440,33,543,18,8755,544
441,24,545,6,6948,546
442,86,547,29,149,548
443,49,523,21,9726,549
444,57,413,35,445,550
445,12,334,18,1561,551
