ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
342,35,342,23,166322,343
343,21,344,10,9926,345
344,30,346,5,437238,347
345,21,348,8,81603,349
346,19,350,5,41966,351
347,36,352,10,82682,353
348,36,354,5,313316,355
349,8,356,5,182037,357
350,14,358,6,17403,359
351,48,360,13,280965,361
352,23,362,7,84462,363
353,28,364,12,4062,365
354,29,366,14,51196,367
355,55,368,7,80138,369
356,28,370,5,374794,371
357,31,372,18,42195,373
358,24,374,4,186243,375
359,26,376,16,246061,377
360,24,378,11,307612,379
361,24,380,6,359432,381
362,20,382,5,37647,383
363,22,384,9,61813,385
364,15,386,7,43216,387
365,22,388,9,286782,389
366,31,390,15,106589,391
367,28,392,7,278181,393
368,24,394,11,23523,395
369,18,396,5,49169,397
370,100,398,20,201760,399
371,14,400,15,40612,401
372,18,402,9,348497,403
373,24,404,21,281133,405
374,23,406,4,78658,407
375,30,372,18,42195,408
376,18,409,5,198941,410
377,32,411,12,313654,412
378,12,413,0,342788,414
379,31,415,5,342008,416
380,14,417,7,16926,418
381,19,419,15,74794,420
382,22,421,8,40925,422
383,48,423,11,39613,424
384,42,425,0,459751,426
385,26,427,11,101319,428
386,20,429,21,55585,430
387,61,431,7,360979,432
388,20,433,10,304437,434
389,21,435,5,52371,436
390,30,437,15,11935,438
391,22,439,12,72958,440
392,25,441,5,82557,442
393,57,443,12,49385,444
394,32,445,5,347836,446
395,35,447,12,203895,448
396,38,449,13,395086,450
397,11,406,4,78658,451
398,34,342,22,166322,343
399,20,452,6,41865,453
400,44,454,10,360544,455
401,18,456,9,104898,457
402,46,458,20,202670,459
403,34,460,5,287949,461
404,18,462,6,332186,463
405,65,425,0,459751,464
406,19,465,10,294358,466
407,82,467,17,426155,468
408,39,469,7,331376,470
409,19,471,10,82530,472
410,26,473,5,105780,474
411,51,475,14,391214,476
412,30,477,6,49244,478
413,33,479,7,455204,480
414,37,481,14,118755,482
415,30,483,11,397694,484
416,100,485,15,123503,486
417,35,487,12,246292,488
418,54,489,7,289070,490
419,27,491,7,117660,492
420,35,493,7,468032,494
421,38,495,11,468372,496
422,58,497,15,481124,498
423,20,499,5,260453,500
424,32,501,10,182465,502
425,56,503,15,118555,504
426,45,505,11,378105,506
427,25,507,6,9793,508
428,18,509,9,343556,510
429,26,511,7,280492,512
430,69,513,7,39234,514
431,17,515,10,377215,516
432,30,404,20,281133,517
433,18,518,9,370221,519
434,29,429,21,55585,520
435,11,521,8,185924,522
436,30,523,19,37054,524
437,48,525,11,123985,526
438,11,527,7,389267,528
439,34,529,5,109461,530
440,37,513,7,39234,531
441,27,532,7,450773,533
442,10,534,6,440795,535
443,30,449,12,395086,536
444,19,537,5,295031,538
445,14,539,6,186058,540
446,22,541,11,49270,542
447,46,543,13,61652,544
448,100,545,16,434620,546
449,32,547,15,58678,548
450,22,549,5,56165,550
451,71,551,17,209821,552
452,15,553,7,447011,554
453,24,555,14,50186,556
454,26,557,15,435446,558
455,37,559,13,436370,560
456,36,561,7,274026,562
457,29,475,12,391214,563
458,50,564,9,23492,565
459,18,566,11,16315,567
460,31,568,19,391443,569
461,59,570,7,39585,571
462,15,525,7,123985,572
463,56,573,26,287323,574
464,28,575,10,60566,576
465,51,577,7,340216,578
466,25,579,14,318804,580
467,13,581,6,203561,582
468,42,583,5,12693,584
469,49,374,6,186243,585
470,100,586,0,342873,587
471,28,588,8,334105,589
472,100,590,7,301676,591
473,30,592,15,283196,453
474,28,593,9,115674,594
475,9,595,5,83138,596
476,13,597,5,364007,598
477,90,599,5,177931,600
478,51,601,16,166020,602
479,14,603,5,50622,604
480,38,605,10,8317,606
481,35,607,12,123984,608
482,30,609,6,50364,610
483,50,611,18,258925,612
484,51,613,20,384106,614
485,48,615,0,381786,616
486,60,617,17,398339,618
