ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
801,100,800,8,10189,801
802,6,802,14,4950,803
803,21,804,15,2208,805
804,38,806,17,66,807
805,41,808,23,13646,809
806,45,810,13,14102,811
807,18,812,10,11282,813
808,8,814,15,14456,815
809,43,816,27,148,817
810,18,818,13,3358,819
811,10,820,11,12403,821
812,14,822,30,9970,823
813,16,824,11,14,825
814,38,826,20,3934,827
815,13,828,12,7017,829
816,30,830,27,13067,831
817,19,832,13,3670,833
818,13,834,8,24,835
819,30,836,35,13066,837
820,24,838,10,10197,839
821,12,840,5,12196,841
822,8,842,9,10969,843
823,23,844,16,9394,845
824,22,846,8,3843,847
825,9,848,8,53,849
826,10,850,10,9762,851
827,44,852,19,432,853
828,9,854,7,2311,855
829,16,856,18,3989,857
830,19,858,18,14916,859
831,35,860,16,1888,861
832,13,862,16,4282,863
833,11,864,16,1792,865
834,29,866,18,10617,867
835,24,868,16,13919,869
836,41,870,14,1823,871
837,27,872,20,14922,873
838,9,874,10,2389,875
839,10,876,25,1360,877
840,14,852,11,432,878
841,9,879,11,3976,880
842,14,881,12,43,882
843,18,883,13,3784,884
844,21,885,12,13398,886
845,17,887,17,6437,888
846,19,889,14,13569,890
847,27,891,15,12,892
848,22,893,9,15,894
849,23,895,10,2636,896
850,18,897,19,5431,898
851,42,868,20,13919,899
852,37,900,17,946,901
853,7,902,18,8969,903
854,37,904,25,13072,905
855,46,830,27,13067,906
856,41,907,16,1872,908
857,26,909,10,51,910
858,10,911,9,2220,912
859,14,913,17,12555,914
860,17,915,15,6118,916
861,33,917,15,14025,918
862,11,919,8,10488,920
863,15,921,18,14918,922
864,15,923,9,263,924
865,31,806,15,66,925
866,7,926,7,12986,927
867,11,928,7,5,929
868,26,915,13,6118,930
869,19,931,13,14300,932
870,9,933,19,8980,934
871,18,935,5,192,936
872,27,937,32,2280,938
873,14,909,8,51,939
874,9,940,7,1660,941
875,40,942,19,809,943
876,35,944,18,9170,945
877,6,946,7,11329,947
878,28,948,7,513,949
879,32,950,16,1701,951
880,15,952,9,4021,953
881,40,891,16,12,954
882,15,955,11,14945,956
883,18,957,26,13065,958
884,21,959,14,3795,960
885,22,961,11,1138,962
886,9,963,15,13609,964
887,23,965,19,13730,966
888,10,967,16,1695,968
889,36,969,13,10333,970
890,18,800,10,10189,971
891,11,972,7,5774,973
892,17,974,10,5036,975
893,21,976,23,1054,977
894,15,828,13,7017,978
895,9,979,16,2333,980
896,10,981,6,46,982
897,40,983,11,8214,984
898,32,985,10,3668,986
899,8,987,16,1350,988
900,33,989,14,2242,990
901,10,818,8,3358,991
902,14,992,13,6596,993
903,19,893,9,15,994
904,23,995,6,3137,996
905,9,981,5,46,997
906,18,836,35,13066,998
907,50,999,16,10812,1000
