ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
169,15,169,9,37926,170
170,54,171,13,392307,172
171,19,173,8,382795,174
172,20,175,8,25925,176
173,6,177,7,70344,178
174,18,179,7,123495,180
175,60,181,13,322868,182
176,19,175,9,25925,183
177,34,184,7,47163,185
178,14,186,7,336057,187
179,26,188,10,32975,189
180,24,190,7,38567,191
181,64,179,8,123495,192
182,25,193,5,267590,194
183,13,195,9,335831,196
184,21,197,10,482006,198
185,13,199,15,448697,200
186,19,201,5,121942,202
187,23,179,7,123495,203
188,19,204,11,123197,205
189,36,206,14,429277,207
190,12,208,17,310933,209
191,44,206,18,429277,210
192,21,211,7,281046,212
193,20,213,7,397772,214
194,80,215,6,297641,216
195,22,217,5,99876,218
196,20,219,9,426384,220
197,22,221,6,284586,222
198,44,223,8,41269,224
199,12,225,5,370413,226
200,58,227,15,478299,228
201,25,229,12,117423,230
202,47,231,13,39270,232
203,16,233,6,184045,234
204,45,235,10,436536,236
205,23,237,18,472544,238
206,15,239,12,292166,240
207,21,241,12,268642,242
208,69,243,9,43355,244
209,14,245,5,290992,246
210,37,247,6,109922,248
211,12,249,6,63037,250
212,30,251,5,57073,252
213,23,199,16,448697,253
214,40,254,5,98785,255
215,61,256,9,122281,257
216,32,258,5,45246,259
217,18,260,5,397820,261
218,100,262,11,266272,263
219,25,264,7,276105,265
220,18,264,6,276105,266
221,98,267,9,53314,268
222,67,269,12,63473,270
223,17,271,5,60119,272
224,8,273,5,201740,274
225,71,275,10,331182,276
226,62,179,8,123495,277
227,34,278,15,99128,279
228,37,280,7,42348,281
229,27,282,6,327013,283
230,44,284,11,467700,285
231,12,286,7,118725,287
232,61,288,8,132355,289
233,20,290,10,289483,291
234,34,292,7,82275,293
235,27,294,9,58922,295
236,26,296,7,448045,297
237,18,298,9,118786,299
238,21,300,17,452473,301
239,37,184,6,47163,302
240,88,303,11,357352,304
241,51,258,6,45246,305
242,32,199,17,448697,306
243,21,307,7,107566,308
244,9,309,6,245926,310
245,72,206,21,429277,311
246,12,312,9,49467,313
247,16,314,0,362131,315
248,31,316,7,375139,317
249,15,318,6,83800,319
250,33,320,13,120175,321
251,25,322,6,461279,323
252,22,324,8,268056,325
253,19,326,8,477869,327
254,18,328,9,453992,329
255,21,330,8,43634,331
256,31,258,6,45246,332
257,38,333,9,281054,334
258,21,335,7,2812,336
259,42,337,6,101592,338
260,20,339,9,80546,340
261,18,284,12,467700,341
262,32,342,5,5090,343
263,9,344,5,315388,345
264,13,223,5,41269,346
265,20,347,7,445236,348
266,30,349,9,342210,350
267,88,223,12,41269,351
268,19,269,7,63473,352
269,10,353,5,101553,354
270,98,355,16,479242,356
271,42,357,21,365527,222
272,13,358,6,465299,359
273,30,278,15,99128,360
274,30,361,6,201829,362
275,36,363,19,185260,364
276,20,365,8,84610,366
277,20,367,11,484038,368
278,49,369,7,45921,370
279,65,371,8,184354,372
280,31,184,6,47163,373
281,18,374,14,61270,375
282,38,333,12,281054,376
283,25,330,9,43634,377
284,11,378,6,357285,379
285,11,380,5,299413,381
286,53,382,7,101588,383
287,43,384,5,363374,385
288,65,256,9,122281,386
289,14,264,7,276105,387
290,25,300,17,452473,388
291,9,389,5,165830,390
292,9,284,6,467700,391
293,26,188,9,32975,392
294,39,384,6,363374,393
295,18,394,10,16633,395
296,25,396,6,182302,397
297,20,398,8,400889,399
298,19,400,6,199502,401
299,25,284,9,467700,402
300,19,403,14,370922,404
301,43,405,10,41333,406
302,18,169,9,37926,407
303,40,211,8,281046,408
304,54,409,6,30613,410
305,38,288,7,132355,411
306,9,412,16,289467,413
307,40,179,8,123495,414
308,17,415,11,483018,416
309,21,417,7,59789,418
310,24,419,8,11041,420
311,24,421,5,430803,422
312,15,423,6,396692,424
313,26,425,8,393698,426
314,36,427,0,377808,428
315,18,429,9,370743,430
316,22,330,8,43634,431
317,14,294,9,58922,432
318,12,433,6,322995,434
319,74,435,26,448445,436
320,61,437,7,202315,438
321,9,193,5,267590,439
322,26,440,5,276135,441
323,28,442,5,383962,443
324,16,444,8,41953,445
325,10,249,5,63037,446
326,25,447,5,301912,448
327,57,449,7,202471,236
328,7,450,5,328930,451
329,49,452,7,19987,453
330,25,454,12,41614,455
331,18,328,8,453992,456
332,40,349,9,342210,457
333,33,458,14,63785,459
334,75,335,10,2812,460
335,15,249,5,63037,461
336,52,267,7,53314,317
337,63,278,15,99128,462
338,8,442,5,383962,463
339,100,450,12,328930,464
340,22,465,7,99406,466
341,10,467,9,171371,468
342,17,349,7,342210,469
343,21,417,8,59789,470
344,28,471,11,460309,472
345,36,339,11,80546,473
346,23,474,5,373194,475
347,48,476,7,356360,477
348,26,478,17,471868,479
349,21,179,7,123495,480
350,33,481,14,49178,482
351,19,483,14,393290,484
352,15,260,5,397820,485
353,31,486,6,392145,487
354,75,488,9,184278,489
355,47,490,7,380369,491
356,50,492,11,363292,493
357,19,494,6,22012,495
358,52,496,10,167803,497
359,31,188,9,32975,498
360,24,267,6,53314,499
361,56,333,10,281054,500
362,66,501,8,99912,502
363,8,249,5,63037,503
364,11,260,5,397820,504
365,17,486,5,392145,505
366,50,506,12,475224,507
367,60,206,20,429277,508
368,47,509,8,341316,510
369,20,511,7,19867,512
370,18,483,11,393290,513
371,16,514,9,166930,515
372,12,516,5,102334,517
373,43,518,9,367266,519
374,32,188,10,32975,520
375,20,521,5,52762,522
376,33,523,7,360611,524
377,10,353,5,101553,525
378,12,526,9,296118,527
379,38,353,6,101553,528
380,17,486,6,392145,529
381,30,530,5,121706,531
382,13,175,7,25925,532
383,19,282,5,327013,533
384,20,534,10,66006,535
385,15,536,9,371620,537
386,57,333,10,281054,538
387,40,199,17,448697,539
388,8,514,8,166930,540
389,28,262,5,266272,541
390,42,267,6,53314,542
391,22,543,8,27928,544
392,20,486,6,392145,545
393,10,546,8,41946,547
394,12,548,15,79121,549
395,11,284,7,467700,550
396,28,245,7,290992,551
397,21,374,14,61270,552
398,22,553,8,120688,554
399,19,333,7,281054,555
400,8,548,15,79121,556
401,13,316,5,375139,557
402,25,558,6,272065,559
403,19,303,6,357352,560
404,38,561,20,110271,562
405,63,563,11,472378,564
