ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
490,3,490,23,2426,491
491,66,492,12,1890,493
492,3,494,21,2330,495
493,50,496,21,4987,497
494,3,498,10,2323,499
495,11,500,22,2575,501
496,9,502,14,2224,503
497,23,504,20,2543,505
498,9,506,16,2337,507
499,47,508,15,2110,509
500,7,510,13,4911,511
501,3,512,12,3069,513
502,7,514,9,1783,515
503,17,516,13,1879,517
504,8,518,8,13541,519
505,3,512,13,3069,520
506,18,521,8,2120,522
507,1,523,1,5744,524
508,25,525,9,24745,526
509,11,527,18,2292,528
510,19,529,11,24430,530
511,11,531,12,4694,532
512,3,533,8,2111,534
513,25,535,4,10447,536
514,3,537,14,23858,538
515,32,531,16,4694,539
516,7,516,12,1879,513
517,35,540,10,14375,541
518,11,542,12,2405,543
519,9,544,9,24743,545
520,35,546,9,7817,547
521,11,548,12,3040,549
522,19,542,13,2405,550
523,22,551,11,3074,552
524,59,553,17,8299,554
525,3,537,12,23858,555
526,3,512,15,3069,556
527,28,557,13,2082,558
528,11,559,11,24220,560
529,26,561,19,3523,562
530,1,563,10,18367,564
531,3,498,10,2323,565
532,25,566,26,2459,567
533,1,568,10,18367,569
534,24,570,19,17563,571
535,9,572,7,22532,573
536,3,574,21,2220,575
537,32,576,9,23817,577
538,3,574,27,2220,578
539,25,496,20,4987,579
540,31,580,8,2113,581
541,3,494,21,2330,582
542,42,583,9,4692,584
543,85,585,14,1787,586
544,16,587,6,1972,588
545,3,589,22,2209,590
546,39,591,16,2238,592
547,9,593,7,2341,594
548,19,595,8,2168,596
549,3,512,18,3069,597
550,38,598,17,25022,599
551,9,600,16,2576,601
552,9,602,10,2402,603
553,3,604,7,2198,605
554,12,606,14,1907,607
555,3,490,13,2426,608
556,15,609,16,2252,610
557,15,494,21,2330,611
558,85,612,16,2307,613
559,9,614,13,2772,615
560,15,616,13,2187,617
561,3,490,26,2426,618
562,24,619,21,2773,620
563,3,574,22,2220,621
564,15,551,11,3074,622
565,23,623,15,20506,624
566,23,625,12,24804,626
567,18,627,17,2229,628
568,15,629,8,11952,630
569,19,631,8,3306,632
570,3,512,18,3069,633
571,3,634,11,2403,635
572,15,636,16,2448,637
573,32,587,7,1972,638
574,10,639,12,13327,640
575,39,514,9,1783,641
576,3,642,15,2164,643
577,26,496,22,4987,644
578,100,645,24,3071,646
579,25,647,22,2129,648
580,13,585,10,1787,649
581,32,650,10,24253,651
582,3,502,11,2224,652
583,13,653,16,2659,654
584,11,655,10,21084,656
585,15,657,27,2628,658
586,25,659,12,9776,660
587,39,661,5,14836,662
588,3,512,15,3069,663
589,12,664,12,3031,665
590,12,666,14,2328,667
591,13,514,7,1783,668
592,1,669,10,18367,670
593,3,494,21,2330,671
594,9,672,13,2247,673
595,7,674,7,22481,675
596,13,676,15,26236,677
597,15,678,10,21962,679
598,10,680,8,23168,681
599,15,682,8,1923,683
600,13,684,25,5665,685
601,7,642,20,2164,686
602,26,687,13,20505,688
603,41,689,9,1805,690
604,15,585,10,1787,691
605,23,692,11,7335,693
606,25,694,18,2114,695
607,3,512,15,3069,696
608,1,697,10,18367,698
609,47,699,19,1799,700
610,75,701,25,2160,702
611,23,703,9,1971,704
612,23,705,12,2077,706
613,3,512,18,3069,707
614,14,708,6,24144,709
615,30,710,16,16745,711
616,3,712,25,5669,713
617,3,490,22,2426,714
618,53,715,14,1931,716
619,14,687,13,20505,717
620,7,514,8,1783,718
621,1,719,10,18367,720
622,24,721,16,3564,722
623,31,723,17,7152,724
624,12,725,6,13761,726
625,8,727,9,18081,728
626,7,729,9,1785,730
627,18,731,12,1827,732
628,20,733,20,20687,734
629,9,735,14,1885,736
630,23,737,8,13869,738
631,10,642,21,2164,739
632,1,669,10,18367,740
633,3,741,8,5721,742
634,3,537,12,23858,743
635,3,490,23,2426,744
636,3,502,11,2224,745
637,8,746,48,10685,747
638,15,748,11,15250,749
639,34,750,17,3068,751
640,17,752,15,2393,753
641,1,754,1,5744,755
642,3,490,22,2426,756
643,3,490,14,2426,757
644,26,758,16,26267,759
645,25,701,21,2160,760
646,37,761,13,11181,762
647,3,763,9,4629,764
