ID,Location,Capacity
1,1,100
2,2,600
3,3,600
4,4,600
5,5,600
6,6,100
7,7,600
8,8,600
9,9,600
10,10,600
11,11,600
12,12,600
13,13,600
14,14,600
15,15,600
16,16,100
17,17,100
18,18,600
19,19,600
20,20,600
21,21,600
22,22,600
23,23,600
24,24,600
25,25,600
26,26,600
27,27,600
28,28,600
29,29,100
30,30,600
31,31,600
32,32,600
33,33,600
34,34,600
35,35,600
36,36,100
37,37,100
38,38,600
39,39,600
40,40,600
41,41,600
42,42,600
43,43,600
44,44,600
45,45,600
46,46,600
47,47,600
48,48,600
49,49,600
50,50,600
51,51,100
52,52,600
53,53,100
54,54,600
55,55,600
56,56,600
57,57,600
58,58,600
59,59,600
60,60,600
61,61,600
62,62,600
63,63,600
64,64,600
65,65,600
66,66,100
67,67,600
68,68,600
69,69,600
70,70,600
71,71,600
72,72,600
73,73,600
74,74,600
75,75,600
76,76,600
77,77,600
78,78,600
79,79,600
80,80,600
81,81,100
82,82,600
83,83,600
84,84,600
85,85,600
86,86,100
87,87,600
88,88,600
89,89,600
90,90,600
91,91,600
92,92,600
93,93,600
94,94,600
95,95,600
96,96,600
97,97,600
98,98,600
99,99,600
100,100,600
101,101,600
102,102,600
103,103,600
104,104,600
105,105,600
106,106,600
107,107,600
108,108,600
109,109,600
110,110,600
111,111,600
112,112,600
113,113,600
114,114,600
115,115,600
116,116,600
117,117,600
118,118,600
119,119,600
120,120,600
121,121,600
122,122,100
123,123,100
124,124,600
125,125,600
126,126,600
127,127,600
128,128,600
129,129,600
130,130,100
131,131,600
132,132,600
133,133,600
134,134,600
135,135,600
136,136,100
137,137,600
138,138,600
139,139,600
140,140,600
141,141,600
142,142,600
143,143,600
144,144,600
145,145,100
146,146,600
147,147,600
148,148,600
149,149,600
150,150,600
151,151,600
152,152,100
153,153,600
154,154,600
155,155,600
156,156,600
157,157,600
158,158,600
159,159,600
160,160,600
161,161,600
162,162,600
163,163,600
164,164,600
165,165,600
166,166,600
167,167,600
168,168,600
169,169,100
170,170,100
171,171,600
172,172,600
173,173,600
174,174,600
175,175,100
176,176,600
177,177,600
178,178,600
179,179,600
180,180,600
181,181,600
182,182,100
183,183,100
184,184,600
185,185,600
186,186,600
187,187,600
188,188,600
189,189,600
190,190,600
191,191,600
192,192,600
193,193,600
194,194,600
195,195,600
196,196,600
197,197,600
198,198,600
199,199,600
200,200,600
201,201,600
202,202,100
203,203,600
204,204,100
205,205,100
206,206,600
207,207,100
208,208,600
209,209,600
210,210,600
211,211,600
212,212,600
213,213,600
214,214,600
215,215,600
216,216,600
217,217,600
218,218,600
219,219,600
220,220,600
221,221,600
222,222,600
223,223,600
224,224,600
225,225,600
226,226,600
227,227,600
228,228,600
229,229,600
230,230,100
231,231,600
232,232,100
233,233,600
234,234,600
235,235,600
236,236,600
237,237,600
238,238,600
239,239,600
240,240,600
241,241,600
242,242,100
243,243,600
244,244,600
245,245,600
246,246,100
247,247,100
248,248,600
