ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
323,28,323,13,13808,324
324,17,325,10,105486,326
325,20,327,8,433240,328
326,23,329,12,444421,330
327,26,331,11,450647,332
328,18,333,5,21946,334
329,15,335,18,243716,336
330,19,337,8,385788,338
331,43,339,20,296870,340
332,28,341,11,364028,342
333,18,343,5,348327,344
334,20,345,6,244638,346
335,47,347,19,54433,348
336,9,349,15,69663,350
337,24,351,9,359415,352
338,27,353,11,300307,354
339,28,355,22,430188,356
340,32,357,18,112079,358
341,22,359,11,95878,360
342,26,361,31,245065,362
343,30,363,20,369295,364
344,25,365,6,317137,366
345,21,367,8,65768,368
346,34,369,5,41380,370
347,13,371,10,56683,372
348,21,373,5,297108,374
349,31,375,5,45736,376
350,38,377,19,342530,378
351,19,379,9,45628,380
352,9,381,5,106623,382
353,7,383,5,377013,384
354,20,385,13,345723,386
355,21,387,5,371652,388
356,28,389,8,103727,390
357,23,391,17,289598,392
358,49,393,15,170016,394
359,10,395,5,296761,396
360,20,397,11,56432,398
361,16,399,8,345974,400
362,36,401,7,109463,402
363,18,403,11,471891,404
364,73,405,8,313242,406
365,27,407,17,454287,408
366,22,409,7,29677,410
367,14,411,6,98649,412
368,17,413,9,378993,414
369,11,415,6,52372,416
370,23,417,5,114190,418
371,30,419,9,37653,420
372,21,421,8,33084,422
373,16,421,6,33084,423
374,46,424,6,370875,425
375,20,426,6,449708,427
376,34,428,10,477323,429
377,36,430,7,29598,431
378,12,432,6,288288,433
379,39,434,15,105578,435
380,16,436,10,183540,437
381,54,438,15,110424,439
382,43,440,15,75200,441
383,27,442,13,47875,443
384,9,444,9,477543,445
385,23,446,7,167330,447
386,19,448,5,274811,449
387,11,450,7,24555,451
388,22,452,23,1791,453
389,15,454,10,102743,455
390,17,456,5,110445,457
391,13,458,5,54488,459
392,25,460,22,70330,461
393,28,462,10,273216,463
394,18,464,6,109278,465
395,15,369,5,41380,466
396,15,467,12,38673,468
397,26,469,10,382439,470
398,19,471,14,122756,472
399,23,473,7,319766,474
400,43,475,11,397920,476
401,24,477,6,372618,478
402,33,479,8,253578,480
403,24,481,7,84529,482
404,36,483,8,320881,484
405,19,485,5,103590,486
406,23,469,8,382439,487
407,12,488,13,60552,489
408,17,490,6,98672,491
409,19,409,7,29677,492
410,35,493,16,393976,494
411,11,495,19,299867,496
412,20,497,17,268392,498
413,19,488,14,60552,499
414,39,500,9,183198,501
415,28,502,9,356243,503
416,24,415,6,52372,504
417,18,505,9,442083,506
418,7,444,11,477543,507
419,37,508,7,29578,509
420,21,510,22,383876,511
421,29,512,15,112454,513
422,13,401,7,109463,514
423,15,515,21,101993,516
424,36,517,11,474795,518
425,20,519,5,114215,520
426,18,521,12,47807,422
427,13,522,7,110380,523
428,13,524,16,313855,525
429,25,526,8,79338,527
430,19,528,16,44505,529
431,12,530,6,317721,531
432,31,532,11,440545,533
433,21,534,7,115408,535
434,37,536,5,68830,537
435,20,347,17,54433,538
436,18,510,22,383876,539
437,29,540,15,363974,541
438,27,345,8,244638,542
439,21,543,6,81965,544
440,53,545,22,26235,546
441,21,500,9,183198,547
442,100,548,8,176829,549
443,11,515,21,101993,550
444,18,551,7,457291,552
445,28,553,19,105803,554
446,7,555,5,124727,556
447,26,557,22,41675,558
448,21,430,7,29598,559
449,24,373,5,297108,560
450,12,561,16,38806,529
451,12,562,5,253677,563
452,11,564,6,79649,565
453,16,566,8,166181,567
454,32,385,14,345723,568
455,30,545,20,26235,569
456,16,488,15,60552,570
457,27,571,11,3892,572
458,24,573,11,280602,574
459,53,575,13,44142,576
460,31,517,10,474795,577
461,23,578,7,385780,579
462,41,521,15,47807,580
463,50,581,17,198070,582
464,23,583,14,346168,584
465,25,377,19,342530,585
466,22,586,7,110447,587
467,21,588,7,251840,589
468,32,371,12,56683,590
469,6,591,5,374769,592
470,22,593,11,434874,594
471,20,540,15,363974,595
472,18,596,11,270746,597
473,22,598,10,427035,599
474,19,600,17,78992,601
475,42,602,10,437206,603
476,31,604,8,47826,605
477,50,606,12,265525,607
478,41,608,7,29609,609
479,19,610,9,433511,611
480,28,612,9,109182,613
481,9,614,8,447355,615
482,46,616,6,114186,617
483,22,618,10,336868,619
484,24,620,10,406991,621
485,18,622,7,16938,623
486,17,428,9,477323,624
487,38,625,10,390270,626
488,39,627,7,29635,628
489,22,629,7,75714,630
490,26,604,7,47826,631
491,58,632,7,301351,633
492,36,540,15,363974,634
493,41,635,13,72671,636
494,21,637,8,51817,638
495,22,639,17,23236,640
496,35,641,18,181481,642
497,38,643,7,29689,644
498,18,645,7,316999,646
499,19,647,7,29604,648
500,11,649,7,30453,650
501,13,515,19,101993,651
502,49,645,9,316999,652
503,9,653,5,115968,654
504,19,497,17,268392,655
505,21,656,8,452016,657
506,52,658,11,18968,659
507,84,660,11,429317,661
508,39,399,9,345974,662
509,10,663,27,470682,664
510,61,665,18,355284,666
511,15,667,12,406843,668
512,27,669,12,383293,670
513,9,671,5,71434,672
514,11,673,5,28311,674
515,46,675,22,111822,676
516,35,677,7,40732,678
517,13,679,7,29647,680
518,45,681,8,202934,682
519,15,683,5,107516,684
520,18,333,5,21946,685
521,12,686,5,117380,687
522,16,369,5,41380,688
523,37,689,23,111119,690
524,22,691,5,278633,692
525,16,693,14,280327,694
526,18,695,6,109710,696
527,55,697,16,371592,698
528,20,699,13,18626,700
529,64,483,10,320881,701
530,25,702,7,84479,703
531,9,704,16,378666,705
532,15,706,6,389379,707
533,14,512,14,112454,708
534,61,709,10,32200,710
535,65,711,10,348049,712
536,28,327,9,433240,713
537,47,714,13,181633,715
538,31,716,14,94105,717
539,43,718,11,245608,719
540,10,720,5,443139,721
541,18,581,18,198070,722
542,30,723,11,111787,724
543,21,725,13,123874,726
544,22,727,9,448388,728
545,30,510,23,383876,729
546,100,730,16,480609,731
547,19,375,5,45736,732
548,19,426,7,449708,733
549,19,734,6,168311,735
550,27,736,11,369178,737
551,37,679,7,29647,738
552,7,739,5,54232,740
553,24,741,5,314982,742
554,21,602,9,437206,743
555,40,744,14,479020,745
556,78,746,13,207739,747
557,9,748,6,42754,749
558,16,750,8,445506,751
559,25,667,15,406843,752
560,27,679,7,29647,753
561,36,596,13,270746,754
562,18,357,16,112079,755
563,19,756,6,283794,757
564,48,637,9,51817,758
