ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
743,14,743,5,396914,744
744,28,745,5,28321,746
745,17,747,9,49026,748
746,19,749,6,321047,750
747,14,751,7,186210,752
748,23,753,5,345869,754
749,20,755,5,278942,756
750,10,757,5,202254,758
751,12,759,6,347309,760
752,82,761,7,383065,762
753,31,763,7,100727,764
754,14,765,8,28989,766
755,24,767,21,124903,768
756,21,769,7,84514,770
757,6,771,5,105489,772
758,32,773,8,267266,774
759,6,775,10,247949,776
760,14,777,5,385165,778
761,18,779,6,430983,780
762,32,781,17,461537,782
763,23,783,6,109457,784
764,36,785,13,75362,786
765,23,787,17,446472,788
766,16,789,5,428549,790
767,41,791,14,125256,792
768,31,793,15,299736,794
769,45,795,11,468665,796
770,12,797,11,47875,798
771,17,799,6,29656,800
772,31,801,8,479119,802
773,11,803,6,377763,804
774,20,805,10,203377,806
775,27,807,11,106324,808
776,33,809,7,84410,810
777,19,811,6,247354,812
778,30,813,7,61063,814
779,24,815,9,342639,816
780,23,817,0,381484,818
781,78,819,7,430283,820
782,19,821,5,81444,822
783,17,823,5,471896,824
784,11,825,6,78419,826
785,19,827,5,446434,828
786,24,829,5,412513,830
787,36,831,18,26756,832
788,16,833,4,120976,834
789,31,835,5,290171,836
790,21,837,11,48336,838
791,11,839,5,114218,840
792,15,841,6,468808,842
793,30,843,7,393494,844
794,30,845,5,206826,846
795,29,847,6,332782,848
796,44,849,10,324931,850
797,39,851,8,459295,852
798,42,853,4,112747,854
799,22,855,5,295168,856
800,13,857,8,31673,858
801,28,859,11,475477,860
802,11,861,5,37400,862
803,20,837,10,48336,863
804,61,864,11,204405,865
805,21,866,8,280031,867
806,16,868,5,371605,869
807,100,870,15,34554,871
808,10,872,5,294585,764
809,31,873,8,412087,874
810,50,875,9,313084,876
811,28,877,6,121336,878
812,11,879,5,337123,880
813,10,881,5,131169,882
814,21,883,5,23448,884
815,78,885,11,121338,886
816,23,887,11,450589,888
817,20,889,9,70507,890
818,21,891,6,442075,892
819,25,893,8,198174,894
820,25,895,5,366002,896
821,13,897,5,13818,898
822,26,899,5,369228,900
823,19,901,22,20157,902
824,100,903,13,124608,904
825,11,905,6,165875,906
826,15,907,9,103507,908
827,18,909,5,103077,910
828,43,911,9,324718,912
829,18,913,5,302842,914
830,19,915,9,333225,916
831,55,917,7,317137,918
832,27,919,7,98660,920
833,37,921,5,199807,922
834,12,923,5,294583,924
835,50,925,6,118420,926
836,32,927,6,118419,928
837,32,929,5,444389,930
838,17,931,5,370988,932
839,12,933,9,476359,934
840,10,829,5,412513,935
841,18,936,5,22143,937
842,9,938,5,5459,939
843,39,940,10,436035,941
844,19,942,7,287417,943
845,43,944,5,121316,945
846,28,946,9,478280,947
847,34,783,6,109457,948
848,27,949,8,48777,950
849,27,951,9,360233,952
850,14,953,9,446953,954
851,29,955,22,347543,956
852,30,957,10,328441,958
853,8,959,5,385927,960
854,19,961,7,253473,962
855,23,963,8,335439,964
856,17,965,8,294677,966
857,36,967,8,290203,968
858,10,969,5,467302,970
859,28,971,7,106681,972
860,24,973,9,116849,974
861,18,975,7,462984,976
862,21,977,9,165817,978
863,50,979,8,113828,980
864,52,981,10,362972,982
865,26,983,15,373703,984
866,35,985,7,84439,986
867,27,987,5,341673,988
868,54,989,7,301627,990
869,31,773,9,267266,991
870,11,889,9,70507,992
871,27,993,16,446498,994
872,41,995,5,368594,996
873,16,997,7,164977,998
874,16,999,13,173925,1000
875,22,1001,8,102861,1002
876,16,1003,9,296884,1004
877,31,1005,5,393756,1006
878,18,1007,5,166185,1008
879,40,775,14,247949,1009
880,46,1010,9,401151,1011
881,100,1012,15,48987,1013
882,38,833,4,120976,1014
883,19,1015,9,246063,1016
884,28,1017,6,101990,1018
885,43,1019,7,59441,1020
886,50,1021,8,357740,1022
887,28,1023,8,71003,1024
888,9,1025,5,198592,920
889,19,1026,7,387087,1027
890,16,1028,6,109449,1029
891,10,1030,5,463483,1031
892,51,1032,6,46565,1033
893,26,1034,6,305969,1035
894,100,1036,12,305623,1037
895,33,1021,10,357740,1038
896,27,903,8,124608,1039
897,27,1040,11,480051,1041
898,54,1042,25,170382,1043
899,13,1044,5,104089,1045
900,18,1046,9,298767,1047
901,21,1048,6,79649,1049
902,28,1050,6,386755,1051
903,20,1052,5,363457,1053
904,15,1054,7,268374,1055
905,23,963,9,335439,1056
906,27,743,6,396914,1057
907,14,1058,6,391610,1059
908,36,1060,8,115552,1061
909,100,1062,21,167484,1063
910,57,1064,10,32201,1065
911,16,1066,9,109272,1067
912,18,1068,6,264394,1069
913,15,1070,8,49965,1071
914,30,1072,10,320765,1073
915,40,1074,7,457618,1075
916,27,1076,10,386751,1077
917,13,1078,5,447578,1079
918,64,1080,10,12264,1081
919,16,1082,6,294551,1053
920,22,1083,6,102405,1084
921,11,1085,8,475003,1086
922,29,1087,15,74723,1088
923,19,1089,7,106562,1090
924,25,1030,6,463483,1091
925,23,1092,6,449152,1093
926,100,1021,19,357740,1094
927,18,1095,15,74833,1096
928,19,949,7,48777,1097
929,41,1098,10,50945,1099
930,18,1100,9,48566,1101
931,18,1102,8,450195,1103
932,11,1104,7,48344,1105
933,31,1106,8,467839,1107
934,34,1108,5,315355,1109
935,39,1110,6,267426,1111
936,32,1112,12,181473,1113
937,59,1114,10,199673,1115
938,30,1116,11,56986,1117
939,28,1118,7,18987,1119
940,27,1120,5,112671,1121
941,15,1122,6,24547,1123
942,72,1124,11,394645,1125
943,16,1126,8,62890,1127
944,20,1128,7,101672,1129
945,53,1130,7,393728,1131
946,32,1132,6,440571,1133
947,29,1134,8,441823,1135
948,20,1136,10,68134,1137
949,25,1138,7,324559,1139
950,32,1140,7,409273,1141
951,20,1142,9,208787,1143
952,22,1144,19,369267,1145
953,24,1146,5,46325,1147
954,13,1148,6,102888,1149
955,30,843,7,393494,1150
956,19,1042,23,170382,1151
957,13,1152,6,73896,1153
958,40,1154,15,286292,1155
959,22,1156,6,360688,1157
960,26,1158,5,412452,1159
961,100,833,8,120976,1160
962,32,773,10,267266,774
963,20,1001,8,102861,1161
964,8,1162,5,121359,1163
965,12,1164,7,166583,1165
966,20,1166,8,365339,1167
967,22,1168,12,328018,1169
968,7,1170,12,392736,1171
969,41,1172,7,19815,1173
970,49,1174,9,159726,1175
971,70,1176,7,84488,1177
972,20,1178,11,198799,1179
973,13,1180,11,367858,1181
974,39,1182,7,41488,1183
975,28,1184,14,370831,1185
976,7,1186,5,374707,1187
977,30,931,6,370988,1188
978,20,1189,10,435487,1190
979,20,1191,9,80197,1192
980,24,1193,9,18208,1194
981,19,1195,5,243682,1196
982,17,1197,6,111417,1198
983,34,1199,8,49976,1200
984,19,1201,7,294507,1202
985,7,1070,7,49965,1203
986,7,1204,5,39219,1205
987,24,979,6,113828,1206
988,31,1207,8,301103,1208
989,24,783,6,109457,1209
