ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
266,30,266,17,343015,267
267,33,268,8,37943,269
268,81,270,19,39636,271
269,31,272,7,106613,273
270,18,274,8,243920,275
271,63,276,21,84772,277
272,100,278,13,367032,279
273,47,280,7,302019,281
274,22,282,7,253558,283
275,26,284,9,436331,285
276,35,286,9,81498,287
277,23,288,8,44015,277
278,96,289,18,251421,290
279,34,291,14,463771,292
280,18,293,10,41528,294
281,54,295,15,40638,296
282,55,297,0,463792,298
283,40,299,12,397547,300
284,64,270,18,39636,301
285,31,302,9,52838,303
286,38,304,7,10560,305
287,21,306,8,122691,307
288,29,308,7,80156,309
289,31,310,15,11246,311
290,47,312,0,342951,313
291,18,314,10,123590,315
292,32,316,0,144912,317
293,31,318,12,82937,319
294,38,320,6,344691,321
295,66,322,14,391451,323
296,49,324,7,16924,325
297,31,326,11,6404,327
298,21,328,5,10113,329
299,42,330,14,108502,331
300,34,332,7,38139,333
301,26,334,7,440563,335
302,32,336,9,295522,337
303,92,338,0,409416,339
304,39,340,16,108082,341
305,52,342,11,26806,343
306,100,344,17,75129,345
307,44,306,8,122691,346
308,53,347,9,38799,348
309,56,349,10,372315,350
310,52,351,9,302050,352
311,25,326,9,6404,353
312,33,354,5,449079,355
313,34,356,17,167072,357
314,100,358,23,253946,359
315,45,266,18,343015,360
316,22,361,14,269144,362
317,59,363,12,303740,364
318,21,365,7,38371,285
319,49,366,19,345209,367
320,19,368,8,44687,369
321,20,370,15,396529,371
322,43,372,12,71851,373
323,53,374,13,357557,375
324,73,376,7,29680,377
325,39,378,10,31126,379
326,100,344,17,75129,380
327,29,381,5,61033,382
328,89,383,12,425899,384
329,40,385,9,17153,386
330,41,387,11,418975,388
331,37,389,22,74891,390
332,24,391,10,394178,392
333,28,393,6,368532,394
334,72,395,15,397529,396
335,18,397,11,32822,398
336,24,399,5,341182,400
337,41,401,15,262327,402
338,13,403,5,267103,404
339,31,405,7,98197,406
340,49,407,11,481761,408
341,100,270,22,39636,409
342,79,295,15,40638,410
343,49,295,15,40638,411
344,18,412,5,204080,413
345,24,414,8,373999,415
346,19,416,7,39758,417
347,100,418,0,342884,419
348,100,420,22,341042,421
349,53,422,12,107909,423
350,22,424,7,273086,425
351,7,426,7,432989,427
352,44,428,7,182033,429
353,48,430,16,457807,431
354,23,432,15,20241,433
355,27,430,14,457807,434
356,62,435,0,447968,436
357,75,437,14,43254,438
358,24,439,6,204064,440
359,89,363,14,303740,441
360,95,387,16,418975,442
361,84,342,14,26806,443
362,100,444,27,84264,445
363,58,446,19,117868,447
364,30,448,5,38061,449
365,37,450,12,23260,451
366,33,374,11,357557,452
367,75,453,14,132193,454
368,43,455,9,50859,456
369,79,430,21,457807,457
370,40,308,7,80156,458
371,24,459,24,204159,460
372,41,461,13,185606,462
373,46,463,10,101870,464
374,27,274,8,243920,465
375,41,466,18,41725,467
376,28,468,7,301359,469
377,78,470,19,392002,471
