ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
536,24,535,18,129435,536
537,7,537,11,576144,538
538,15,539,10,12747,540
539,19,541,11,208647,542
540,15,543,12,403107,544
541,18,545,11,114179,546
542,15,103,12,57895,547
543,19,548,13,63446,549
544,16,550,9,575675,551
545,17,552,11,127995,553
546,6,554,6,99037,555
547,5,556,10,91031,557
548,15,103,11,57895,558
549,14,559,7,39073,560
550,14,561,22,549078,562
551,17,563,11,553048,564
552,5,565,6,42544,566
553,6,567,6,604934,568
554,5,569,11,114935,570
555,18,571,14,487749,572
556,7,573,5,136592,574
557,19,575,9,441623,576
558,15,577,12,89530,578
559,18,575,9,441623,579
560,4,580,16,14282,581
561,12,582,6,508761,583
562,16,584,11,27860,585
563,16,586,14,34577,587
564,5,588,8,586489,589
565,16,590,8,90666,591
566,11,592,9,225914,593
567,35,594,5,518296,595
568,16,580,16,14282,596
569,17,597,7,354330,598
570,12,599,17,138568,600
571,23,601,18,33720,602
572,9,603,9,36257,604
573,85,605,32,494156,606
574,31,607,13,519659,608
575,23,609,10,513591,610
576,10,611,10,106276,612
577,35,613,12,306995,614
578,17,615,12,107720,616
579,15,617,7,393815,618
580,22,619,11,447641,620
581,5,621,13,38211,622
582,34,597,9,354330,623
583,6,624,8,149435,625
584,12,626,7,429659,627
585,13,628,11,617695,629
586,15,103,10,57895,630
587,6,631,12,65750,632
588,31,633,12,445743,634
589,16,635,11,526524,568
590,6,636,9,149855,637
591,7,638,6,476594,639
592,35,640,21,429785,641
593,76,642,3,303160,643
594,23,644,19,583860,645
595,7,646,14,33915,647
596,2,648,1,485591,649
597,13,650,7,44435,651
598,17,652,17,147739,653
599,52,654,22,544974,655
600,12,656,8,611079,657
601,58,658,10,341076,659
602,46,660,17,537967,661
603,7,662,10,567303,663
604,7,664,9,72511,665
605,6,666,17,88537,667
606,4,668,9,32193,669
607,7,670,7,477202,671
608,19,672,9,311565,673
609,31,674,8,28646,675
610,5,559,6,39073,676
611,40,642,4,303160,677
612,8,678,10,416656,679
613,5,680,9,490896,681
614,34,682,17,441851,683
615,18,684,18,51884,685
616,49,686,12,453324,687
617,36,561,26,549078,688
618,6,689,12,135689,690
619,50,691,18,624060,692
620,12,693,9,36552,694
621,15,695,8,523715,696
622,100,697,40,112289,698
623,9,699,7,28874,700
624,26,571,15,487749,701
625,12,702,6,463719,703
