ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
625,9,625,23,40361,626
626,17,627,6,39865,628
627,21,629,11,1809,630
628,33,631,23,38870,632
629,5,633,13,322,634
630,19,635,15,499,636
631,22,637,15,36218,638
632,6,639,8,21198,640
633,7,641,5,36278,642
634,7,643,8,7967,644
635,14,645,8,40776,646
636,16,647,16,1810,648
637,5,649,5,2300,650
638,17,651,15,636,652
639,6,653,6,40272,654
640,7,639,8,21198,655
641,11,656,12,1574,657
642,100,658,7,34654,659
643,1,660,13,339,661
644,5,662,11,39870,663
645,77,664,13,4280,665
646,5,666,16,7234,667
647,2,668,5,3970,669
648,10,670,20,40552,671
649,32,672,14,4395,673
650,13,674,12,154,675
651,5,676,6,40197,677
652,9,678,12,32552,679
653,18,680,7,6554,681
654,100,664,13,4280,682
655,9,639,8,21198,683
656,1,684,10,2409,685
657,26,686,19,398,687
658,20,672,17,4395,688
659,25,689,10,34049,690
660,16,691,9,2290,692
661,96,693,13,6111,694
662,10,662,11,39870,695
663,31,696,13,7968,697
664,17,698,12,27573,699
665,19,700,15,37072,701
666,16,702,14,5844,703
667,1,704,5,7558,705
668,1,706,7,36150,707
669,9,684,15,2409,708
670,1,709,12,40275,710
671,35,711,15,2522,712
672,10,713,14,2520,714
673,11,715,14,336,716
674,17,717,23,35587,718
675,28,719,12,40555,720
676,57,721,20,780,722
677,32,723,9,30488,724
678,21,725,4,181,726
679,6,639,8,21198,727
680,11,728,11,33862,729
681,1,730,7,528,731
682,4,732,6,492,733
683,4,660,13,339,734
684,1,735,14,38087,736
685,13,737,15,30275,738
686,24,739,14,5958,740
687,40,741,15,40328,742
688,30,693,13,6111,743
689,25,744,5,7753,745
690,32,672,19,4395,746
691,1,747,18,1931,748
692,20,749,18,1174,750
693,9,751,13,33008,752
694,3,676,6,40197,753
695,16,754,7,534,755
696,12,756,9,34641,757
697,1,758,21,31431,759
698,15,760,11,7536,761
699,89,672,19,4395,762
700,3,763,11,6075,764
701,8,765,5,6177,766
702,13,767,5,41161,768
703,20,769,6,2135,770
704,91,672,17,4395,771
705,1,772,13,2,773
706,8,774,4,39963,775
707,1,776,11,268,777
708,10,702,13,5844,778
709,6,779,7,745,780
710,2,704,5,7558,781
711,9,782,13,2410,783
712,7,784,15,30210,785
713,17,786,7,5912,787
714,1,788,8,1456,789
715,98,693,13,6111,790
716,8,791,12,36722,792
717,15,793,9,2617,794
718,6,795,5,40848,796
719,14,797,13,40256,798
720,4,799,6,739,800
721,33,801,12,1337,802
722,18,803,19,32940,804
723,8,805,11,40941,806
724,10,799,8,739,807
725,25,808,5,37736,809
726,46,693,13,6111,810
727,14,811,16,40395,812
728,22,672,19,4395,813
729,1,660,12,339,814
730,39,815,17,39917,816
731,34,643,13,7967,817
732,1,818,14,7663,819
733,26,820,23,5956,821
734,30,822,6,758,823
735,16,824,19,31965,825
736,2,826,4,39470,827
737,1,788,7,1456,828
738,3,829,5,40145,830
739,7,831,19,909,832
740,3,833,6,866,834
741,10,835,15,40719,836
742,18,837,13,36774,838
743,1,758,21,31431,839
744,19,723,8,30488,840
745,1,645,6,40776,841
746,14,842,10,7428,843
747,41,672,17,4395,844
748,14,845,10,35230,846
749,23,664,14,4280,847
750,9,672,19,4395,848
751,10,633,15,322,634
752,8,797,11,40256,849
753,40,850,17,33916,851
754,21,852,18,5877,853
755,3,854,5,6416,855
756,10,856,14,34580,857
757,21,693,13,6111,858
758,1,769,4,2135,859
759,7,860,7,40267,861
760,1,788,8,1456,862
761,1,863,14,40928,864
762,14,852,16,5877,865
763,1,866,5,348,867
764,16,868,8,35326,869
765,6,870,12,1844,871
766,6,872,11,39967,873
767,15,874,8,39913,875
768,33,876,27,6565,877
769,12,672,14,4395,878
770,9,822,5,758,879
771,76,872,20,39967,880
772,13,881,12,37363,882
773,1,883,5,3846,884
774,2,885,7,40234,886
775,20,887,5,32872,888
776,28,811,19,40395,889
777,18,890,5,1630,891
778,45,664,17,4280,892
779,7,893,8,38330,894
780,50,895,18,231,896
781,8,776,15,268,897
782,35,898,17,40385,899
783,10,900,21,40497,901
784,7,902,12,38,903
785,37,904,9,6418,905
786,10,906,18,40209,907
787,10,908,16,982,909
788,16,645,8,40776,910
789,10,911,16,2564,912
790,18,913,8,30901,914
791,22,915,15,37611,916
792,7,917,7,30240,918
793,7,919,9,2740,920
794,27,921,17,38527,922
795,13,923,15,5013,924
796,11,925,13,2997,926
797,10,713,14,2520,927
798,13,693,13,6111,928
799,1,929,5,34309,930
800,19,931,15,36073,932
801,1,933,11,39199,934
802,9,693,12,6111,935
803,100,936,23,1811,937
804,48,938,18,33105,939
805,22,940,22,36221,941
806,30,664,13,4280,942
807,19,943,8,1847,944
808,13,672,17,4395,945
809,6,946,4,40017,947
810,27,948,17,638,949
811,100,693,13,6111,950
812,1,951,13,41025,952
813,8,953,10,2376,954
814,49,693,13,6111,955
815,1,956,4,1377,957
816,7,958,5,38082,959
817,11,960,5,35881,961
818,8,805,11,40941,962
819,10,856,14,34580,963
820,33,664,17,4280,964
821,1,965,7,37299,966
822,1,967,6,6409,968
823,6,917,7,30240,969
824,6,970,4,40007,971
825,16,972,19,34970,973
826,11,974,6,36548,975
827,9,791,12,36722,976
828,19,719,10,40555,977
829,15,978,6,4779,979
830,3,980,21,358,981
831,7,982,9,39997,983
832,3,984,7,2309,985
833,9,986,16,4003,987
834,16,672,14,4395,988
835,8,662,11,39870,989
836,10,990,18,30213,991
837,11,739,14,5958,992
838,83,672,19,4395,993
839,76,936,23,1811,994
840,76,995,12,36032,996
841,23,893,11,38330,997
842,19,998,9,572,999
843,1,1000,11,7167,1001
844,7,779,6,745,1002
845,1,951,12,41025,1003
846,53,890,7,1630,1004
847,1,1005,8,38264,1006
848,1,883,5,3846,1007
849,1,1008,4,2832,1009
850,31,872,14,39967,1010
851,100,693,13,6111,1011
852,7,1012,8,690,1013
853,1,666,14,7234,1014
854,9,938,13,33105,1015
855,27,693,13,6111,1016
856,8,1017,7,40225,1018
857,10,1019,15,30208,1020
858,64,765,9,6177,1021
859,6,776,12,268,1022
860,48,1023,4,33833,1024
861,7,1025,8,36591,1026
862,7,1027,20,1861,1028
863,12,1029,17,41001,1030
864,33,1027,23,1861,1031
865,28,1032,9,40801,1033
866,11,666,17,7234,1034
867,56,986,16,4003,1035
868,11,1036,11,34349,1037
869,13,1038,5,228,1039
870,15,791,12,36722,1040
871,100,647,20,1810,1041
872,33,1042,22,1589,1043
873,29,1044,11,7177,1045
874,36,1046,25,32462,1047
875,10,893,9,38330,1048
876,26,1049,24,40115,1050
877,6,1051,6,40462,1052
878,10,1053,9,34936,1054
879,82,693,12,6111,1055
880,8,643,10,7967,1056
881,9,1057,12,33538,1058
882,21,686,19,398,1059
883,7,639,7,21198,1060
884,23,1061,20,40840,1062
885,28,1063,14,38276,1064
886,28,822,6,758,1065
887,1,709,12,40275,1066
888,77,672,19,4395,1067
889,42,870,18,1844,1068
890,22,974,8,36548,1069
891,13,1070,4,33425,1071
892,13,1072,10,31140,1073
893,22,1074,19,36476,1075
894,1,666,15,7234,1076
895,43,1077,8,34467,1078
896,18,890,5,1630,1079
897,10,723,7,30488,1080
898,58,1081,20,40546,1082
899,41,691,13,2290,1083
900,7,831,19,909,1084
901,12,1085,9,30604,1086
902,27,693,13,6111,1087
903,100,672,19,4395,1088
904,1,758,20,31431,1089
905,1,1090,5,1451,1091
906,47,693,12,6111,1092
907,81,936,25,1811,1093
908,18,938,14,33105,1094
909,7,1095,15,7183,1096
910,10,1097,18,2908,1098
911,5,1099,6,7342,1100
912,16,1101,18,41069,1102
913,21,1103,16,41124,1104
914,12,1077,8,34467,1105
915,22,693,12,6111,1106
916,5,1107,19,40342,1108
917,10,643,10,7967,1109
918,1,684,12,2409,1110
919,5,908,16,982,1111
920,7,1112,9,33943,1113
921,9,1114,17,169,1115
922,15,1116,21,34982,1117
923,6,668,6,3970,1118
924,100,693,12,6111,1119
925,20,1120,7,6251,1121
926,24,664,13,4280,1122
927,1,666,15,7234,1123
928,16,1124,13,3003,1125
929,1,1126,9,40029,1127
930,1,788,7,1456,1128
931,18,872,15,39967,1129
932,14,696,12,7968,1130
933,5,902,12,38,1131
934,100,664,6,4280,1132
935,6,1133,13,6398,1134
936,22,672,17,4395,1135
937,26,1136,12,33497,1137
938,11,791,12,36722,1138
939,6,1139,24,33815,1140
940,6,1141,14,1846,1142
941,6,1143,15,38283,1144
942,8,1019,14,30208,1145
943,32,639,12,21198,1146
944,13,1147,13,2631,1148
945,20,1149,11,38117,1150
946,11,647,16,1810,1151
947,12,1152,8,40764,1153
948,74,1154,5,34194,1155
949,1,1156,4,2126,1157
950,20,842,10,7428,1158
951,1,980,19,358,1159
952,10,1160,9,40415,1161
953,9,911,16,2564,1162
954,39,651,19,636,1163
955,11,1164,9,31406,1165
956,18,1166,12,41224,1167
957,10,672,19,4395,1168
958,6,784,15,30210,1169
959,25,1170,23,37385,1171
960,1,1172,4,7548,1173
961,6,978,5,4779,1174
962,12,1085,10,30604,1175
963,1,908,16,982,1176
964,1,784,14,30210,1177
965,33,1178,12,35479,1179
966,14,822,5,758,1180
967,30,717,23,35587,1181
968,6,1182,10,30487,1183
969,1,1184,5,37465,1185
970,10,1186,15,39569,1187
971,7,791,12,36722,1188
972,5,1189,12,41022,1190
973,34,629,15,1809,1191
974,1,1192,4,40164,1193
975,11,1194,22,6742,1195
976,1,715,11,336,1196
977,33,1197,20,30162,1198
978,13,1199,4,35741,1200
979,12,900,21,40497,1201
980,41,1202,6,2487,1203
981,6,643,9,7967,1204
982,9,1085,8,30604,1205
983,10,1206,8,38026,1207
984,1,984,6,2309,1208
985,13,1044,9,7177,1209
986,20,672,14,4395,1210
987,1,684,12,2409,1211
988,15,850,13,33916,1212
989,17,1213,7,654,1214
990,1,929,5,34309,1215
991,3,1216,10,3181,1217
992,49,672,19,4395,1218
993,1,1219,5,537,1220
994,31,666,21,7234,1221
995,43,651,19,636,1222
996,3,1223,4,2341,1224
997,3,917,8,30240,1225
998,1,1172,4,7548,1226
999,83,672,19,4395,1227
1000,45,1228,6,3786,1229
1001,10,1230,14,634,1231
1002,1,1232,11,6374,1233
1003,8,1234,14,33,1235
1004,11,811,15,40395,1236
1005,17,1237,6,37176,1238
1006,26,1239,10,32206,1240
1007,12,1019,16,30208,1241
1008,9,1242,12,34264,1243
1009,32,852,20,5877,1244
1010,12,715,15,336,1245
1011,10,696,10,7968,1246
1012,63,1178,14,35479,1247
1013,17,856,14,34580,1248
1014,10,1249,11,33877,1250
1015,14,1251,8,34287,1252
1016,6,1253,16,2755,1254
1017,1,788,8,1456,1255
1018,14,672,19,4395,1151
1019,95,664,13,4280,1256
1020,13,1257,9,7977,1258
1021,20,1259,13,389,1260
1022,1,730,7,528,1261
1023,5,1197,20,30162,1262
1024,5,908,16,982,1263
1025,8,1152,7,40764,1264
1026,100,664,13,4280,1265
1027,16,741,15,40328,1266
1028,23,1267,7,32933,1268
1029,6,633,15,322,1269
1030,22,1270,5,40271,1271
1031,14,1251,8,34287,1272
1032,11,672,17,4395,1273
1033,5,1274,8,219,1275
1034,11,1164,9,31406,1276
1035,7,791,12,36722,1277
1036,100,664,17,4280,1278
1037,1,788,7,1456,1279
1038,1,1186,11,39569,1280
1039,16,1281,13,635,1282
1040,25,776,19,268,1283
1041,12,1097,18,2908,1284
1042,100,1285,19,2022,1286
1043,1,772,13,2,1287
1044,6,1288,8,40616,1289
1045,1,1290,8,5172,1291
1046,53,1292,17,38772,1293
1047,37,872,16,39967,1294
1048,1,1295,14,2317,1296
1049,42,664,14,4280,1297
1050,6,1274,8,219,1298
1051,9,647,14,1810,1299
1052,100,1300,24,2178,1301
1053,19,725,4,181,1302
