ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
382,41,381,31,197784,382
383,28,383,17,40866,384
384,27,385,12,122783,386
385,28,387,9,455227,388
386,45,389,13,198321,390
387,26,391,19,43818,392
388,33,383,17,40866,393
389,19,394,9,272790,395
390,21,396,6,426919,397
391,10,398,6,480599,399
392,13,400,6,395686,401
393,13,402,8,71790,403
394,36,404,6,105330,405
395,13,406,5,354379,407
396,37,408,11,461024,409
397,10,410,5,44934,411
398,20,412,5,452002,413
399,21,414,12,375888,415
400,29,416,16,40224,417
401,35,418,7,9688,419
402,24,420,17,122693,421
403,22,422,14,42138,423
404,28,424,15,75303,425
405,21,426,11,343875,427
406,21,428,9,470872,429
407,22,430,4,41958,431
408,42,432,6,361665,433
409,44,434,14,284009,435
410,33,436,13,44592,437
411,23,438,15,262511,439
412,34,440,4,102268,441
413,23,442,7,45195,443
414,28,444,12,397909,445
415,31,446,16,95151,447
416,50,448,8,298331,449
417,30,450,8,46551,451
418,31,452,8,431087,453
419,24,454,7,357163,455
420,100,456,5,170880,457
421,57,458,7,38197,459
422,52,460,11,7488,461
423,36,462,6,198928,463
424,31,460,10,7488,464
425,27,465,9,75332,466
426,16,467,6,122455,468
427,20,469,6,300327,470
428,18,471,6,108663,472
429,100,473,22,39360,474
430,19,475,5,105213,476
431,28,477,5,272657,478
432,25,479,12,466044,480
433,23,481,8,115539,482
434,31,483,10,366014,484
435,56,485,8,363272,486
436,7,487,5,450049,488
437,9,454,5,357163,489
438,20,490,5,433138,491
439,18,492,6,469598,493
440,100,494,30,98963,495
441,43,496,8,39102,497
442,16,498,9,110214,499
443,21,500,14,123687,501
444,100,502,21,340190,503
445,31,504,8,373686,505
446,8,506,5,107629,507
447,27,458,7,38197,508
448,37,509,15,310986,510
449,35,511,8,354389,512
450,35,513,5,346343,514
451,15,515,5,429427,516
452,10,517,6,47931,518
453,32,519,10,466736,520
454,15,521,5,272687,522
455,23,523,19,346909,524
456,53,525,9,37345,526
457,31,527,6,382744,528
458,25,529,7,16934,530
459,21,531,9,396112,532
460,100,533,20,132149,534
461,18,535,7,327524,536
462,30,537,8,384439,538
463,31,529,7,16934,539
464,24,540,5,101291,541
465,36,542,7,84499,543
466,41,544,19,458491,545
467,28,546,7,452184,547
468,27,548,6,381846,549
469,18,550,15,74784,551
470,36,552,15,250652,553
471,12,554,5,121595,555
472,12,556,6,8434,557
473,35,485,7,363272,558
474,42,559,9,40156,560
475,20,561,16,198124,562
476,56,563,8,118552,564
477,21,565,7,9692,566
478,19,567,7,73317,568
479,100,569,16,390402,570
480,16,529,7,16934,571
481,24,572,11,39620,573
482,29,574,11,479365,575
483,35,576,7,9691,577
484,13,578,6,475673,579
485,49,580,5,358605,581
486,32,582,7,198856,583
487,24,584,8,458151,585
488,20,586,5,202211,587
489,33,588,15,475891,589
490,15,590,6,449561,591
491,30,592,31,121040,593
492,56,594,6,101380,595
493,20,596,10,463583,597
494,100,456,5,170880,457
495,44,598,16,112651,599
496,53,600,7,79017,601
497,18,602,6,167334,603
498,100,604,16,343077,605
499,54,606,15,256274,607
500,36,608,18,284257,609
501,17,610,9,30057,611
502,17,612,6,244590,613
503,60,614,11,42824,615
504,18,616,7,29588,617
505,16,618,5,270558,619
506,9,620,5,40992,621
507,43,622,5,66940,623
508,13,624,4,63118,625
509,18,576,7,9691,626
510,19,627,16,18675,628
511,29,523,19,346909,629
512,12,630,7,359783,631
513,27,632,6,55908,633
514,40,634,8,363554,635
515,17,636,5,428217,637
516,23,638,7,458506,639
517,27,640,14,202194,641
518,16,642,11,63432,643
519,23,644,11,379088,645
520,56,646,11,315305,647
521,15,648,5,394621,649
522,38,650,10,116370,651
523,23,652,15,39968,653
524,60,654,11,74788,655
525,18,656,16,280240,657
526,24,658,9,82560,659
527,42,660,7,16925,661
528,31,529,7,16934,662
529,100,663,14,371296,664
530,34,665,6,84703,666
531,35,667,5,308825,668
532,61,669,5,61193,670
533,19,671,8,394879,672
534,15,673,7,302310,674
535,20,675,6,385570,676
536,16,677,11,107501,678
537,100,679,20,39896,680
538,8,681,5,324700,682
539,37,418,7,9688,683
540,28,527,6,382744,684
541,15,685,6,339541,686
542,23,687,6,100304,688
543,24,689,5,182532,690
544,19,691,20,287065,692
545,40,693,11,321369,694
546,59,695,5,302988,696
547,34,426,13,343875,697
548,41,698,7,310443,699
549,25,700,5,73526,701
550,22,702,9,45714,425
551,100,703,12,437355,704
552,40,705,7,43133,706
553,14,492,6,469598,707
554,100,708,20,35497,709
555,53,710,10,12613,711
556,35,712,8,475733,713
557,28,565,7,9692,714
558,30,715,9,477911,716
559,20,640,15,202194,717
560,24,718,11,454374,719
561,25,720,7,115387,721
562,40,722,8,460580,723
563,33,724,12,117765,725
564,33,726,6,122035,727
565,17,728,13,457598,729
566,32,422,15,42138,730
567,22,731,5,184847,732
568,27,733,8,326173,493
569,46,734,7,84429,735
570,38,736,7,84424,737
571,16,738,7,470336,739
572,31,740,12,406577,741
573,21,742,6,289606,743
574,52,744,20,185307,745
575,37,746,23,46595,747
576,100,748,24,33637,749
577,36,750,7,427193,751
578,13,620,5,40992,752
579,43,753,8,381933,754
580,24,487,6,450049,755
581,100,756,11,333494,757
582,35,758,9,446375,759
583,27,760,30,458141,761
584,50,420,17,122693,762
585,37,763,6,131754,764
586,78,394,14,272790,765
587,32,766,9,472677,767
588,9,768,14,450423,769
589,16,770,7,23741,771
590,78,772,13,333347,773
591,100,774,23,43071,775
592,13,748,19,33637,776
593,100,748,24,33637,749
594,7,777,5,97302,778
595,18,779,14,74781,780
596,58,781,15,250651,782
597,37,616,7,29588,783
598,21,736,7,84424,784
599,35,785,17,19155,786
600,37,504,8,373686,787
601,48,788,7,477140,789
602,62,790,10,359992,791
603,26,559,8,40156,792
604,15,793,6,253647,794
605,19,795,18,341988,796
606,23,797,7,397506,798
607,100,799,10,74406,800
608,18,801,9,473764,802
609,8,803,6,395930,804
610,26,805,10,15588,806
611,20,807,7,32188,808
612,20,550,15,74784,809
613,13,810,11,386951,811
614,32,781,15,250651,812
615,34,813,10,475427,814
616,14,462,5,198928,815
617,21,816,8,366543,817
618,21,389,10,198321,818
619,19,819,5,312195,820
620,100,821,5,381698,822
621,10,823,5,57365,824
622,20,594,5,101380,825
623,27,826,9,444854,827
624,35,535,8,327524,828
625,16,829,5,119969,830
626,24,831,12,101599,832
627,57,385,14,122783,833
628,19,834,7,37257,835
629,22,644,12,379088,836
630,17,837,6,426595,838
631,20,839,7,40350,840
632,63,841,8,478008,842
633,19,843,18,327650,844
634,29,837,6,426595,845
635,14,561,16,198124,846
636,31,708,11,35497,847
637,53,848,7,302580,849
638,30,850,7,426743,851
639,100,748,24,33637,852
640,35,529,7,16934,853
641,31,854,5,383926,855
642,20,856,7,17962,857
643,22,858,9,430327,859
644,49,860,0,380885,861
645,25,862,5,327042,863
646,22,477,5,272657,864
647,39,865,9,41636,866
648,31,867,20,203907,868
649,11,869,6,120188,870
650,32,871,8,100078,872
651,56,873,10,327676,874
652,13,875,5,111183,876
653,23,869,6,120188,877
654,43,627,18,18675,878
655,62,606,15,256274,879
656,19,880,6,43506,881
657,26,882,10,466291,883
658,40,850,8,426743,884
659,70,885,7,292746,886
660,20,887,8,38830,888
661,100,889,0,315306,890
662,11,891,7,474075,892
663,19,893,5,100815,894
664,35,720,7,115387,895
665,18,896,15,332284,897
666,25,898,12,435857,899
667,34,660,7,16925,900
668,25,901,6,333640,902
669,31,406,7,354379,903
670,24,904,7,315564,905
671,15,458,7,38197,906
672,100,456,5,170880,457
673,42,907,13,340124,908
674,27,909,5,246009,910
675,40,911,31,41550,912
676,35,913,14,117864,914
677,45,915,12,14614,916
678,69,816,13,366543,917
679,47,918,12,79508,919
680,21,383,17,40866,920
681,23,542,7,84499,921
682,26,922,9,409739,923
683,27,924,6,278740,925
684,24,926,11,325241,927
685,7,928,5,334604,929
686,22,930,7,363910,931
687,15,932,13,429797,933
688,6,934,5,167455,935
689,59,936,9,333467,937
690,25,416,15,40224,938
691,36,939,22,41681,940
692,44,941,11,311588,942
693,37,943,8,323185,944
694,24,945,7,371820,946
695,22,640,15,202194,947
696,38,807,8,32188,948
697,40,949,0,136580,950
698,18,951,5,112403,952
699,31,953,20,53257,954
700,46,955,0,342962,956
701,16,957,6,182232,958
702,23,959,13,288993,960
703,19,934,6,167455,961
704,11,726,5,122035,962
705,31,963,7,44243,964
706,23,965,10,453175,966
707,18,492,6,469598,967
708,73,968,7,84412,969
709,35,970,8,300329,971
710,52,904,8,315564,972
711,30,973,10,479929,974
712,28,975,11,332882,976
713,27,504,7,373686,977
714,36,978,10,387446,713
715,20,979,6,131310,980
716,21,509,12,310986,981
717,71,982,8,42184,983
718,26,984,5,39730,985
719,36,986,12,123532,987
720,30,531,9,396112,988
721,19,989,7,468792,990
722,100,991,22,71491,992
723,37,993,7,453634,994
724,22,995,9,100144,996
725,56,997,5,441325,516
726,51,998,21,453428,999
727,58,1000,0,444366,1001
728,32,945,8,371820,1002
729,11,1003,5,277203,759
730,18,450,7,46551,1004
731,40,385,13,122783,664
732,16,1005,9,104373,1006
733,14,1007,5,260867,558
734,59,1008,8,167953,1009
735,26,580,5,358605,1010
736,13,1011,6,473243,940
737,45,1012,8,451059,1013
738,22,887,8,38830,1014
739,20,1015,5,182225,1016
740,62,1017,22,18004,1018
741,23,675,7,385570,1019
742,100,1020,25,445323,1021
743,18,1022,5,165990,1023
744,20,1024,20,99015,1025
745,45,1026,0,447994,1027
746,28,1028,7,383416,1029
747,11,1030,5,72769,1031
748,42,1032,0,381801,1033
749,56,1034,0,381813,1035
750,100,1036,13,286435,1037
751,23,1038,10,468612,1039
752,22,720,7,115387,1040
753,26,1041,5,42891,1042
754,22,710,7,12613,1043
755,22,1044,5,419022,1045
756,46,1046,5,359986,1047
757,19,867,19,203907,1048
758,26,750,7,427193,1049
759,20,1050,5,53039,1051
760,17,1052,6,41295,1053
761,82,813,13,475427,1054
762,30,590,6,449561,1055
763,18,1056,5,41198,1057
764,29,1058,15,74712,1059
765,21,1060,5,84588,1061
766,18,1062,7,339399,1063
767,26,620,6,40992,1064
768,77,1065,18,296927,1066
769,67,521,10,272687,1067
770,16,1068,6,38611,1069
771,53,1070,7,446690,1071
772,31,1072,5,43809,1073
773,18,1074,11,436435,1075
774,22,424,15,75303,1076
775,12,1077,5,199716,1078
776,31,485,7,363272,1079
777,27,1060,5,84588,1080
778,34,1028,7,383416,1081
779,25,1082,6,115259,1083
780,18,1084,10,451407,1085
781,27,1086,8,250620,1087
782,20,1088,11,104355,1089
783,56,837,7,426595,670
784,35,856,8,17962,1090
785,60,869,9,120188,713
786,31,572,10,39620,1091
787,43,569,10,390402,1092
788,27,1093,7,119882,1094
789,100,1095,0,380906,1096
790,100,1097,16,303276,1098
791,56,1099,13,45390,1100
792,24,398,7,480599,1101
793,64,1102,20,35640,1103
794,23,1104,13,40011,1105
795,21,1106,8,47246,1107
796,23,1108,5,447072,1109
797,32,1062,7,339399,1110
798,35,1111,6,113288,1112
799,20,1113,7,31399,1114
800,66,531,11,396112,1115
801,25,1116,7,456575,1117
802,30,481,8,115539,1118
803,28,1119,5,292825,1120
804,38,1121,16,437421,1122
805,41,1123,9,437714,1124
806,27,1125,6,298345,1126
807,21,1127,5,406921,1128
808,57,733,10,326173,1129
809,19,1130,7,450464,1131
810,33,1070,7,446690,1132
811,47,785,17,19155,1133
812,37,525,11,37345,1134
813,11,1135,5,39014,1136
814,31,673,8,302310,1137
815,34,1138,11,482735,1139
816,38,1140,8,474832,1141
817,31,1142,7,29653,1143
818,20,1144,16,245844,1145
819,39,1146,17,74515,1147
820,28,572,11,39620,1148
821,32,1149,9,463971,1150
822,25,1151,5,372767,1134
823,24,1152,15,358795,399
824,26,1153,8,429223,1154
825,60,1155,18,22561,1156
826,42,1157,5,380863,1158
827,43,602,7,167334,1159
828,34,1060,5,84588,1160
829,29,572,10,39620,1161
830,56,998,22,453428,1162
831,16,1163,6,246242,1164
832,18,640,14,202194,1165
833,57,1166,20,393899,1167
834,32,519,10,466736,1168
835,24,698,5,310443,1169
836,56,1170,11,101671,1171
837,24,1070,7,446690,1172
838,49,1173,21,479005,1174
839,38,1175,7,455300,1176
840,24,893,5,100815,1177
841,39,1178,14,11946,1179
842,18,642,10,63432,1180
843,31,646,9,315305,1181
844,13,995,8,100144,1182
845,23,945,7,371820,1183
846,30,1184,8,327669,1185
847,29,1186,15,23115,1187
848,23,858,8,430327,1188
849,32,1189,6,448557,1190
850,22,1191,16,480573,1192
851,33,1193,10,450305,1194
852,18,1195,8,105239,1196
853,52,572,12,39620,1197
854,37,1198,7,16941,1199
855,31,1200,8,18628,1201
856,19,1202,6,166602,1203
857,26,1204,5,312197,1205
858,28,1206,7,335322,1207
859,23,736,7,84424,1208
860,39,1116,8,456575,1209
861,19,446,16,95151,1210
862,50,955,0,342962,1211
863,29,426,11,343875,1212
864,94,955,0,342962,1213
865,23,1214,17,363964,1215
866,22,1216,8,287217,1217
867,22,1218,6,182793,1219
868,100,1220,22,390422,1221
869,18,1222,9,337641,1223
870,14,1056,4,41198,1224
871,28,660,7,16925,1225
872,18,1226,10,480033,1227
873,56,1228,5,383408,1229
874,84,389,15,198321,1230
875,56,1231,19,9025,1232
876,30,1231,15,9025,1233
877,52,1234,17,37201,1235
878,18,1236,6,298433,1237
879,72,1238,13,479227,1239
880,19,1240,9,392742,1241
881,20,1242,9,62291,1243
882,23,1244,6,447686,1245
883,26,634,8,363554,1246
884,22,511,7,354389,1247
885,14,1248,8,470319,1249
886,15,1250,9,41839,1251
887,100,799,9,74406,1252
888,38,677,15,107501,1253
889,34,1254,10,38652,1255
890,17,1191,14,184937,1256
891,46,1257,11,125271,1258
892,67,1259,15,18640,1260
893,17,1261,10,364816,1262
894,80,799,8,74406,800
895,21,1263,13,290031,1264
896,20,1265,9,98997,1266
897,98,529,7,16934,1267
898,22,1268,6,302084,1269
899,70,483,12,366014,1270
900,76,1271,9,316280,1272
901,67,529,7,16934,1273
902,61,677,17,107501,1274
903,37,1052,7,41295,1275
904,50,1276,23,19657,1277
905,20,1278,5,7002,1279
906,48,529,7,16934,1280
907,21,1281,15,38141,1282
908,19,1276,20,19657,817
909,10,1259,10,18640,1283
910,16,1284,6,448490,1285
911,25,774,12,43071,1286
912,25,1265,9,98997,1287
913,34,561,18,198124,1288
914,24,1289,5,406837,1290
915,20,1291,11,468656,1292
916,62,1293,12,6318,1294
917,66,1295,20,57508,1296
918,19,1297,6,432948,1298
919,59,1299,10,131929,1300
920,43,529,7,16934,1301
921,25,1302,6,34814,516
922,12,1303,9,448029,1304
923,17,1305,5,31500,1306
924,24,891,10,474075,1241
925,21,1307,5,12675,1308
926,80,1309,16,390783,1310
927,33,843,20,327650,1311
928,23,1312,7,427285,1313
929,32,1314,5,55888,1315
930,33,1316,8,296385,1317
931,30,1318,6,335815,1319
932,23,542,7,84499,1320
933,16,542,7,84499,1321
934,48,1322,6,475398,1323
935,23,843,18,327650,1324
936,28,1309,12,390783,1325
937,66,542,7,84499,1326
938,85,1327,7,66589,1328
939,13,1329,8,459443,1330
940,63,843,22,327650,1331
941,62,1327,7,66589,1332
942,56,1333,9,476187,1334
943,49,1335,9,475066,1336
944,24,1337,9,462167,1338
945,46,1339,9,325943,1340
946,14,843,19,327650,1313
947,30,1322,5,475398,1341
948,43,1342,12,455658,1343
949,31,1344,15,443131,1345
950,34,926,12,325241,1346
951,47,834,7,37257,1347
952,22,1309,11,390783,1348
953,23,1339,7,325943,1349
954,9,1044,5,419022,1350
955,58,1351,20,101492,1352
956,7,1353,8,58653,1354
957,36,1355,10,181910,1356
958,11,644,9,379088,1357
959,16,926,9,325241,1358
960,22,1353,10,58653,1359
961,18,1360,9,42223,1361
962,53,1362,7,130524,1363
963,71,1327,7,66589,1364
964,21,1365,11,335140,1366
965,32,1367,6,398017,1368
966,26,1369,7,367679,1370
967,40,1371,0,380841,1372
968,25,1373,11,394454,1374
969,39,1375,7,163376,1376
970,38,1377,27,368384,1378
971,28,1379,9,44477,1380
972,57,1198,7,16941,1381
973,14,1382,5,439128,1137
974,53,1383,21,112721,1384
