ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
240,52,240,18,295460,241
241,10,242,5,30065,243
242,22,244,18,62752,245
243,24,246,9,432387,247
244,100,248,24,201773,249
245,45,250,6,436504,251
246,18,252,5,99381,253
247,43,254,11,472148,255
248,68,256,20,297622,257
249,30,258,9,39743,259
250,34,260,7,296732,261
251,44,262,6,392392,263
252,13,264,5,457846,265
253,27,266,8,116513,267
254,30,268,13,481301,269
255,31,270,6,273441,271
256,21,272,6,58647,273
257,34,274,7,83277,275
258,22,276,7,318912,277
259,15,278,5,199773,279
260,27,280,8,37886,281
261,80,282,10,470304,283
262,39,284,6,166978,285
263,18,286,13,441987,287
264,43,288,8,104946,289
265,65,290,14,58638,291
266,23,292,15,24226,293
267,14,294,16,84538,295
268,31,296,13,48533,297
269,49,298,7,458056,299
270,78,300,13,456773,301
271,26,302,11,108341,303
272,20,304,10,264504,305
273,64,306,13,479853,307
274,54,282,8,470304,308
275,26,309,6,460195,310
276,13,311,8,62821,312
277,36,313,7,107956,314
278,18,315,6,319983,316
279,15,317,6,247183,318
280,36,319,11,266602,320
281,48,321,7,29570,322
282,27,323,7,393255,324
283,38,325,14,103272,326
284,27,327,20,98540,328
285,33,329,10,433273,330
286,16,331,9,203589,332
287,20,333,10,436333,334
288,41,282,8,470304,335
289,24,336,6,73600,337
290,21,338,5,44508,339
291,27,266,9,116513,340
292,23,341,5,184991,342
293,20,343,12,467752,344
294,32,345,6,288474,346
295,16,347,11,73276,348
296,17,349,8,358916,350
297,19,300,8,456773,351
298,64,352,7,100450,353
299,46,354,14,470062,355
300,73,356,15,385260,253
301,34,357,8,203240,358
302,18,359,9,25902,360
303,10,361,7,335786,362
304,21,363,7,29558,364
305,22,274,7,83277,365
306,19,366,6,83588,367
307,12,368,8,202326,369
308,23,370,6,205870,371
309,43,372,8,121407,373
310,24,372,7,121407,374
311,30,266,9,116513,375
312,16,376,6,309191,377
313,62,378,12,122792,379
314,26,319,10,266602,380
315,21,381,13,263197,382
316,36,383,8,434838,384
317,37,385,18,26069,386
318,19,387,8,79019,388
319,19,389,5,118983,390
320,100,391,15,390558,392
321,66,393,13,479787,394
322,16,395,7,99853,396
323,17,397,7,373073,398
324,9,399,9,77408,400
325,100,359,17,25902,401
326,46,309,7,460195,402
327,36,313,8,107956,403
328,18,404,10,473872,405
329,20,378,9,122792,406
330,100,370,8,205870,407
331,25,343,12,467752,408
332,16,409,8,257276,410
333,19,240,15,295460,411
334,14,302,8,108341,412
335,54,413,11,289729,414
336,19,415,14,77249,416
337,31,417,13,77906,418
338,100,419,23,78079,420
339,21,421,8,165743,422
340,16,423,5,449444,424
341,20,425,7,458206,426
342,19,366,7,83588,427
343,60,313,9,107956,428
344,31,429,8,63097,430
345,21,431,10,118764,432
346,21,433,6,344102,434
347,26,313,8,107956,435
348,36,436,9,18846,437
349,23,438,5,394678,439
350,23,440,0,449813,441
351,57,442,16,427214,443
352,31,444,7,123588,445
353,30,446,5,448173,447
354,14,370,6,205870,448
355,18,319,8,266602,449
356,27,450,9,76648,451
357,25,256,17,297622,452
358,19,453,5,394744,454
359,18,260,6,296732,455
360,75,456,10,289986,457
361,100,419,25,78079,458
362,100,459,29,378506,460
363,40,461,10,473763,462
364,20,463,5,457502,464
365,30,370,7,205870,465
366,18,466,6,98216,467
367,25,468,6,244897,469
368,24,296,13,48533,470
369,6,471,5,51124,472
370,30,473,7,205198,474
371,31,475,6,360423,476
372,41,477,8,357186,478
373,100,479,0,361764,480
374,25,481,9,463298,482
375,33,483,7,469047,484
376,35,444,8,123588,485
377,49,486,14,33221,487
378,66,378,13,122792,488
379,17,489,10,280845,490
380,39,491,9,15394,492
381,60,493,9,272967,494
382,10,495,6,276380,427
383,10,496,6,366164,497
384,51,498,13,479602,499
385,20,500,6,72471,501
386,22,266,11,116513,502
387,28,503,8,346415,504
388,22,505,5,123364,506
389,23,507,14,450261,508
390,70,473,7,205198,509
391,25,510,6,346955,511
392,29,425,7,458206,512
393,53,513,11,477190,514
394,15,515,5,373255,516
395,44,517,5,84350,518
396,42,519,7,337446,520
397,30,521,8,21063,522
398,16,523,7,29633,524
399,16,525,5,99780,526
400,13,527,7,443778,528
401,33,438,6,394678,529
402,65,530,23,247420,531
403,39,532,13,170182,533
404,18,534,11,83147,535
405,68,536,18,431648,537
406,32,538,7,108328,539
407,8,354,11,470062,540
408,28,466,7,98216,541
409,16,385,16,26069,542
410,40,543,7,365018,544
411,18,545,7,116791,546
412,19,547,7,309139,548
413,100,505,9,123364,549
414,11,550,12,290091,551
415,21,552,6,447361,553
