ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
688,11,688,6,70291,689
689,26,690,6,121427,691
690,36,692,26,127861,693
691,80,694,6,69658,695
692,21,696,8,32553,697
693,56,698,13,8878,699
694,1,700,7,52796,701
695,16,702,8,9117,703
696,20,704,6,120084,705
697,86,706,24,89702,707
698,77,708,8,38288,709
699,38,710,13,54100,711
700,59,712,25,88650,713
701,13,714,9,76547,715
702,60,716,23,44245,717
703,62,718,7,106979,719
704,26,720,5,112829,721
705,67,722,10,98184,723
706,11,724,9,105408,725
707,28,726,8,68621,727
708,63,722,11,98184,728
709,49,729,12,44019,730
710,26,731,11,117165,732
711,24,726,8,68621,733
712,58,734,6,45508,735
713,76,696,8,32553,736
714,18,737,10,56871,738
715,19,739,8,75540,740
716,48,741,11,31426,742
717,11,743,5,29899,744
718,80,745,10,636,746
719,14,747,7,114758,748
720,61,739,8,75540,749
721,100,750,23,62747,751
722,40,708,8,38288,752
723,41,753,16,47431,754
724,33,726,8,68621,755
725,23,708,8,38288,756
726,39,757,25,106307,758
727,100,759,20,108511,760
728,30,761,19,76768,762
729,86,763,20,1514,764
730,65,765,16,24244,766
731,87,767,8,26484,768
732,26,769,7,70018,770
733,32,771,5,58501,772
734,26,773,10,108671,774
735,25,775,30,6591,776
736,43,777,19,76037,778
737,9,779,20,27425,780
738,62,781,22,51523,782
739,21,783,7,52370,784
740,60,785,15,82059,786
741,10,787,5,97051,788
742,28,726,8,68621,789
743,44,790,15,45104,791
744,18,792,11,116597,793
745,60,757,25,106307,794
746,54,795,9,6130,796
747,11,797,5,44453,798
748,31,799,13,47929,800
749,90,801,20,78243,802
750,12,803,8,111888,804
751,58,805,10,103135,806
752,20,807,10,14125,808
753,31,809,5,36078,810
754,58,811,11,96013,812
755,100,813,15,20808,814
756,18,815,37,5756,816
757,24,767,8,26484,817
758,16,818,5,74330,819
759,58,820,19,116809,821
760,16,767,8,26484,822
761,87,696,8,32553,823
762,22,696,8,32553,824
763,65,825,25,18059,826
764,16,827,5,15699,828
765,96,829,21,38481,830
766,57,831,8,73736,832
767,100,833,28,106022,834
768,98,722,12,98184,835
769,28,836,9,37436,837
770,1,838,7,69509,839
771,66,696,8,32553,840
772,76,761,23,76768,841
773,30,842,8,7935,843
774,10,844,5,110380,845
775,6,846,5,123718,847
776,68,708,8,38288,848
777,26,849,9,70878,850
778,28,739,8,75540,851
779,27,852,15,88645,853
780,6,854,8,86591,855
781,21,856,8,67193,857
782,33,858,17,126068,859
783,25,860,6,758,861
784,12,862,6,110280,863
785,43,864,20,9322,865
786,44,866,15,73707,867
787,45,868,13,65854,869
788,33,696,8,32553,870
789,55,871,10,1008,872
790,25,873,12,50704,874
791,28,708,8,38288,875
792,83,876,11,743,877
793,27,878,8,34383,879
794,27,696,8,32553,880
795,28,881,10,123496,882
796,20,883,11,2513,884
797,28,708,8,38288,885
798,63,886,18,126791,887
799,28,888,8,3237,889
800,18,761,5,72351,890
801,100,891,35,23651,892
802,6,893,8,96286,894
803,14,895,7,43104,896
804,32,741,9,31426,897
805,36,891,27,23651,898
806,26,899,10,61722,900
807,20,708,8,38288,901
808,55,902,6,49220,903
809,28,904,22,28277,905
810,49,722,9,98184,906
811,27,907,7,122554,908
812,33,909,8,99446,910
813,25,831,8,73736,911
814,18,912,16,130002,913
815,13,761,5,72351,914
816,43,757,25,106307,915
817,11,916,9,4128,917
818,53,918,8,31088,919
819,30,920,12,5985,921
820,30,813,9,20808,922
821,33,923,5,1105,924
822,57,708,8,38288,925
823,47,926,5,101907,927
824,14,928,5,74979,929
825,36,930,12,76738,931
826,49,932,5,6965,933
827,44,934,6,34016,935
828,26,936,20,123162,937
829,19,938,5,5569,939
830,17,940,33,109630,941
831,26,769,7,70018,942
832,22,831,8,73736,943
833,23,944,6,88431,945
834,21,739,8,75540,946
835,19,831,8,73736,947
836,34,948,7,8970,949
837,29,856,8,67193,950
838,41,951,7,95407,952
839,45,953,5,20957,954
840,100,795,12,6130,955
841,24,956,10,12221,957
842,83,958,19,97783,959
843,17,960,5,61704,961
844,13,856,8,67193,962
845,32,963,13,111347,964
846,51,761,5,72351,965
847,26,966,12,58566,967
848,32,920,12,5985,968
849,100,969,16,37483,970
850,19,971,5,23838,972
851,15,973,18,8006,974
852,31,775,30,6591,975
853,47,976,16,125318,977
854,13,978,6,8857,979
855,24,757,25,106307,980
856,38,981,5,73709,982
857,8,983,5,89274,984
858,20,708,6,51081,985
859,32,831,8,73736,986
860,14,987,5,10696,988
861,31,989,11,93592,990
862,22,696,8,32553,991
863,31,767,8,26484,992
864,33,769,8,70018,993
865,29,994,8,103154,995
866,7,996,6,86592,997
867,13,998,33,99271,999
868,33,831,8,73736,1000
869,17,886,15,126791,1001
870,74,1002,11,77833,1003
871,47,1004,12,87355,1005
872,24,809,5,36078,1006
873,35,831,8,73736,1007
874,66,1008,6,1686,1009
875,1,700,6,52796,1010
876,18,1011,8,75206,1012
877,12,871,8,1008,1013
878,29,1014,11,83172,1015
879,86,753,19,47431,1016
880,63,1017,12,89583,1018
881,47,708,8,38288,1019
882,24,936,20,123162,1020
883,40,1021,8,7359,1022
884,17,1023,17,9383,1024
885,56,1025,9,1545,1026
886,68,1027,20,107277,1028
887,16,1029,7,8247,1030
888,1,700,7,52796,1031
889,36,1032,9,1143,1033
890,34,1034,15,73726,1035
891,23,1036,31,107787,1037
892,33,1038,14,59761,1039
893,16,1040,9,53340,1041
894,59,757,25,106307,1042
895,14,1043,5,61941,1044
896,26,767,8,26484,1045
897,89,866,17,73707,1046
898,18,722,7,98184,1047
899,12,1048,6,1785,1049
900,21,1050,11,19767,1051
901,23,1052,8,26260,1053
902,39,923,5,1105,1054
903,21,862,7,110280,1055
904,15,856,8,67193,1056
905,35,708,8,38288,1057
906,56,1058,8,58429,1059
907,13,831,8,73736,1060
908,17,1061,7,111378,1062
909,29,849,10,70878,1063
910,50,860,8,758,1064
911,50,708,8,38288,1065
912,24,1066,14,41327,1067
913,44,1068,13,27216,1069
914,35,820,18,116809,1070
915,28,1071,10,50087,1072
916,24,1073,6,114820,1074
917,21,708,8,38288,1075
918,58,726,8,68621,1076
919,37,1077,9,33113,1078
920,51,1079,19,68295,1080
921,32,831,8,73736,1081
922,39,696,8,32553,1082
923,21,1083,8,89121,1084
924,8,1085,8,114332,1086
925,96,1087,15,21248,1088
926,17,1089,9,3220,1090
927,91,1091,15,29180,1092
928,100,891,31,23651,1093
929,71,739,8,75540,1094
930,41,831,8,73736,1095
931,46,1096,15,114144,1097
932,18,888,7,3237,1098
933,12,1099,5,17809,1100
934,29,696,8,32553,1101
935,25,1102,8,26984,1103
936,37,856,8,67193,1104
937,37,1105,7,60319,1106
