ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
684,24,684,5,37938,685
685,27,686,5,374794,687
686,20,688,5,182290,689
687,18,690,17,41197,691
688,24,692,8,48459,693
689,25,694,5,2355,695
690,42,696,14,107507,697
691,38,698,7,462788,699
692,12,700,15,281133,701
693,41,702,7,4832,703
694,11,704,8,433385,705
695,45,706,19,391443,707
696,100,708,4,276144,709
697,25,710,10,313654,711
698,32,712,11,183124,713
699,21,714,5,109461,715
700,33,716,9,39931,717
701,31,718,8,32461,719
702,11,720,5,322991,721
703,46,722,7,118393,723
704,22,724,8,40925,725
705,16,726,5,43951,727
706,30,728,10,383690,729
707,22,730,14,118555,731
708,34,732,6,49244,733
709,12,734,6,113728,735
710,21,736,6,446001,737
711,43,738,12,202647,739
712,17,740,8,431194,741
713,100,742,15,83348,743
714,19,744,9,74069,745
715,43,746,7,81394,747
716,10,748,4,78658,749
717,22,750,5,319060,751
718,15,752,7,467030,753
719,27,754,5,332658,755
720,14,756,7,98837,757
721,37,758,8,99081,759
722,19,760,19,8440,761
723,54,762,8,102930,763
724,22,764,8,52745,765
725,25,766,12,74107,767
726,45,768,8,297959,769
727,19,770,7,69805,771
728,50,772,7,29615,773
729,22,774,10,432142,775
730,25,776,13,37138,777
731,18,778,7,113246,779
732,27,780,7,79502,781
733,30,782,7,358211,783
734,18,784,10,50093,785
735,41,786,7,16926,787
736,28,788,5,131878,789
737,30,790,6,181560,791
738,85,792,7,84462,793
739,19,794,7,31079,795
740,21,796,8,252214,797
741,24,798,5,295031,799
742,26,800,5,305951,801
743,20,802,6,296781,803
744,22,804,10,475523,805
745,31,806,7,119388,807
746,28,808,0,172855,809
747,23,810,11,472521,811
748,26,812,20,7106,813
749,21,814,12,8286,815
750,58,816,7,97380,817
751,17,818,9,372498,819
752,33,820,6,446424,821
753,69,816,7,97380,822
754,36,823,13,113567,824
755,17,825,5,252849,826
756,15,827,12,118755,828
757,11,812,19,7106,829
758,59,830,9,45509,831
759,20,832,10,317809,833
760,14,834,13,397595,835
761,23,836,8,46236,837
762,41,838,5,348599,839
763,38,694,5,2355,840
764,28,841,5,50519,842
765,47,843,7,41006,844
766,25,845,14,435335,846
767,41,847,13,457353,848
768,30,849,6,40971,850
769,30,851,7,100069,852
770,19,853,7,39032,854
771,20,855,8,105061,856
772,24,857,11,117237,858
773,16,859,5,69619,860
774,79,861,24,337654,862
775,58,863,15,376408,864
776,100,865,6,301837,866
777,78,867,15,40228,868
778,37,869,7,371874,870
779,14,871,7,64393,872
780,23,873,10,468459,874
