ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
604,14,604,13,32167,605
605,29,606,15,40556,607
606,6,608,8,30995,609
607,12,610,9,752,611
608,7,612,7,41028,613
609,35,614,8,38540,615
610,13,616,20,30030,617
611,1,618,15,1174,619
612,10,620,6,745,621
613,6,622,19,399,623
614,1,624,12,339,625
615,3,626,17,37997,627
616,10,628,15,2395,629
617,100,630,9,1050,631
618,8,632,9,30240,633
619,13,622,20,399,634
620,7,635,10,7428,636
621,4,637,7,41055,638
622,4,639,17,38527,640
623,14,641,10,4605,642
624,8,643,15,40328,644
625,1,645,4,37228,646
626,13,647,13,6111,648
627,9,647,10,6111,649
628,26,622,22,399,650
629,6,651,17,39827,652
630,21,653,14,40923,654
631,8,655,13,5844,656
632,35,657,10,6091,658
633,6,659,14,4166,660
634,7,661,11,36998,662
635,10,663,7,3404,664
636,8,665,11,32852,666
637,1,659,14,4166,667
638,9,668,7,3707,669
639,1,670,18,31431,671
640,41,672,15,30706,673
641,1,674,4,34072,675
642,4,676,11,40776,677
643,18,655,16,5844,678
644,100,679,9,35875,680
645,1,681,4,3045,682
646,38,647,10,6111,683
647,7,684,7,7511,685
648,12,686,10,34067,687
649,7,668,6,3707,688
650,7,689,6,537,690
651,12,691,5,6633,692
652,5,693,6,32606,694
653,100,695,10,4280,696
654,96,697,17,7968,698
655,45,699,5,4279,700
656,21,701,14,37611,702
657,11,703,10,7967,704
658,1,705,15,2318,706
659,12,707,11,4869,708
660,11,709,10,40555,710
661,28,711,4,6126,712
662,13,713,13,40486,714
663,5,715,9,21198,716
664,16,717,7,36678,718
665,35,719,11,492,720
666,9,676,10,40776,721
667,40,722,23,19836,723
668,100,616,20,30030,724
669,18,616,20,30030,725
670,7,726,19,55,727
671,19,728,18,398,729
672,1,726,17,55,730
673,82,699,6,4279,731
674,65,699,4,4279,732
675,1,674,4,34072,666
676,29,657,3,6091,733
677,17,734,14,33916,735
678,11,736,4,40016,737
679,30,738,11,2229,739
680,8,717,7,36678,740
681,13,717,9,36678,741
682,13,742,5,344,743
683,1,744,20,478,745
684,4,726,18,55,746
685,30,747,9,40179,748
686,1,749,5,35792,750
687,10,751,14,5400,752
688,24,753,21,5880,754
689,7,755,4,34194,756
690,17,757,5,40271,758
691,28,647,8,6111,759
692,13,760,13,35607,761
693,1,762,13,2,763
694,1,681,4,3045,764
695,24,765,6,31172,766
696,3,659,14,4166,767
697,30,768,13,36006,769
698,54,770,21,6398,771
699,1,674,4,34072,772
700,14,773,13,2631,774
701,16,775,8,280,776
702,25,777,17,5958,778
703,3,779,10,30761,780
704,40,657,6,6091,781
705,2,782,6,1451,783
706,5,715,9,21198,784
707,12,785,14,40224,786
708,15,657,6,6091,787
709,8,788,4,34718,789
710,22,717,9,36678,790
711,17,791,10,7512,792
712,12,793,17,5845,794
713,100,795,16,37148,796
714,13,695,16,4280,797
715,10,612,8,41028,798
