ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
619,30,619,11,6,620
620,28,621,7,3441,622
621,35,623,4,3032,624
622,61,625,16,1886,626
623,9,627,9,6903,628
624,25,629,16,6209,630
625,23,631,13,6062,632
626,7,633,17,415,634
627,22,635,10,3451,636
628,12,637,15,1728,638
629,8,639,8,4763,640
630,29,641,6,8513,642
631,6,643,5,4834,644
632,12,645,10,5845,646
633,30,647,7,1685,648
634,32,649,26,8641,650
635,10,651,8,807,652
636,70,653,21,4564,654
637,19,655,10,2010,656
638,9,657,10,76,658
639,12,659,9,1015,660
640,21,661,13,1666,662
641,17,663,12,102,664
642,32,665,13,269,666
643,21,667,11,6033,668
644,9,669,5,5951,670
645,48,671,12,1995,672
646,30,673,13,1857,674
647,30,675,10,6279,676
648,28,677,8,3357,678
649,33,679,2,2192,680
650,36,681,16,793,682
651,12,683,8,6102,684
652,9,667,9,6033,685
653,22,686,10,534,687
654,14,688,3,3385,689
655,5,690,9,412,691
656,18,692,20,6030,693
657,22,694,12,1672,695
658,23,696,10,6514,697
659,30,698,16,6516,699
660,100,700,37,8850,701
661,46,702,11,2011,703
662,46,704,21,2375,705
663,11,706,10,4127,707
664,14,708,9,2000,672
665,19,709,17,4974,710
666,11,711,10,92,712
667,10,713,12,74,714
668,38,715,11,6277,716
669,14,717,16,658,718
670,16,659,11,1015,719
671,8,720,7,7372,721
672,21,722,18,919,723
673,12,724,10,3455,725
674,22,686,12,534,726
675,17,727,11,1997,728
676,1,729,5,9466,730
677,27,731,15,3538,732
678,58,733,14,7894,734
679,14,735,9,167,736
680,22,737,15,1729,738
681,18,739,14,1900,740
682,28,741,24,943,742
683,33,743,11,2367,744
684,13,745,8,6239,746
685,11,747,13,3734,748
686,15,749,9,4508,750
687,20,751,14,1999,752
688,43,753,17,1716,754
689,9,755,9,165,756
690,36,757,13,7556,758
691,11,759,9,6340,760
692,18,761,8,166,762
693,43,625,16,1886,763
694,21,764,20,6029,765
695,9,761,8,166,766
696,21,767,11,1654,768
697,11,711,10,92,769
698,100,770,22,6667,771
699,27,688,3,3385,772
700,22,645,11,5845,769
701,32,773,16,1895,774
702,70,775,13,337,758
703,43,776,17,7917,664
704,26,777,12,5848,778
705,11,779,3,2885,780
706,28,781,19,4817,782
707,28,783,11,1586,784
708,16,785,11,136,786
709,1,787,5,9466,788
710,70,789,11,6280,790
711,25,625,13,1886,791
712,40,792,14,4072,793
713,24,794,9,151,795
714,46,796,16,4216,797
715,17,777,18,5848,798
716,11,799,12,9560,800
717,22,801,19,359,802
718,13,803,10,802,804
719,28,805,12,3447,806
720,16,807,7,1673,808
721,16,809,10,6284,810
722,40,811,8,8705,812
723,11,813,9,339,814
724,16,815,9,2079,816
725,18,743,9,2367,817
726,47,818,6,6103,819
727,13,820,10,9548,821
728,28,822,10,2012,823
729,33,824,14,9439,825
