ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
364,17,364,17,3089,365
365,16,366,18,154755,367
366,18,368,12,2491,369
367,8,370,11,5533,371
368,7,372,10,29704,373
369,7,374,14,122858,375
370,20,376,16,146097,377
371,28,378,13,178526,379
372,15,380,14,188640,381
373,25,382,7,178579,383
374,13,384,22,19055,385
375,13,386,16,2026,387
376,7,388,5,155952,389
377,26,390,15,40744,391
378,20,392,16,184130,393
379,6,394,9,183211,395
380,59,396,18,64754,397
381,18,398,7,156867,399
382,5,374,15,122858,400
383,7,401,10,180418,402
384,7,366,16,154755,403
385,21,404,8,152752,405
386,1,406,13,128899,407
387,15,408,15,187099,409
388,16,410,8,97088,411
389,11,412,23,188606,413
390,12,414,9,3106,415
391,72,416,10,157277,417
392,20,392,16,183149,418
393,6,394,9,183211,419
394,100,420,30,113153,421
395,15,422,16,174443,423
396,12,424,18,144649,425
397,5,394,9,183211,426
398,1,427,7,171258,428
399,38,429,14,2493,430
400,5,431,12,171336,432
401,13,392,15,184130,433
402,10,434,12,161296,435
403,7,436,15,166708,437
404,27,438,17,7586,439
405,15,440,21,147057,441
406,12,442,15,128667,443
407,87,444,30,1134,445
408,29,446,17,188604,447
409,8,410,7,97088,448
410,7,449,4,108416,450
411,27,451,18,183278,452
412,8,453,5,93522,454
413,4,455,12,153289,456
414,21,457,12,3327,458
415,10,459,17,3033,460
416,12,384,21,19055,385
417,15,461,11,6850,462
418,14,463,16,2758,464
419,7,414,7,3106,465
420,6,466,11,182782,467
421,8,468,6,155953,469
422,14,470,15,165711,471
423,18,472,18,6597,473
424,6,474,6,177904,475
425,18,476,20,98008,477
426,100,410,7,97088,478
427,25,368,12,2491,479
428,11,406,16,128899,480
429,9,481,18,24042,482
430,7,463,15,2758,483
431,1,484,11,129544,485
432,9,364,17,3089,486
433,15,378,11,178526,487
434,9,364,15,3089,488
435,20,489,18,175329,490
436,40,410,6,97088,491
437,21,492,24,1238,493
438,15,494,19,162574,495
439,4,496,9,184827,497
440,12,498,15,171836,499
441,1,500,15,174866,501
442,8,502,15,13491,503
443,16,504,10,116855,505
444,15,506,19,188929,507
445,20,508,20,146766,509
446,6,510,5,146063,511
447,6,512,18,177690,513
448,5,388,7,155952,514
449,1,515,8,171087,516
450,6,388,8,155952,517
451,8,518,11,3418,519
452,54,520,20,41760,521
453,9,449,4,108416,522
454,92,420,30,113153,523
455,8,524,13,117216,525
456,8,526,10,6638,527
457,10,398,6,156867,528
458,21,364,19,3089,529
459,41,530,24,15295,531
460,14,408,15,187099,532
461,29,533,23,186673,534
462,8,535,14,158725,536
463,23,366,20,154755,537
464,54,538,30,146314,539
465,7,431,12,171336,540
