ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
469,22,468,5,272214,469
470,29,470,11,113690,471
471,18,472,22,283154,473
472,28,474,0,362123,475
473,15,476,8,397911,477
474,32,478,12,457318,479
475,53,480,17,463459,481
476,94,482,13,302040,483
477,21,484,5,433881,485
478,48,486,18,461215,487
479,22,488,9,473997,489
480,19,490,15,74732,491
481,58,492,6,300883,493
482,17,494,9,337103,495
483,46,496,12,300453,497
484,32,498,12,426857,499
485,21,500,9,46690,501
486,37,502,8,109458,503
487,54,504,15,250560,505
488,49,506,11,54784,507
489,20,508,7,38822,509
490,24,510,9,67689,511
491,33,512,8,481851,513
492,24,514,10,37186,515
493,54,516,11,82235,517
494,12,518,11,283222,519
495,61,520,5,309438,521
496,53,522,15,2073,523
497,63,524,19,8421,525
498,61,526,13,307580,527
499,30,528,8,451788,529
500,16,530,7,17403,531
501,32,532,16,46163,533
502,15,534,8,476898,535
503,78,536,9,168866,537
504,53,538,14,36972,539
505,52,504,15,250560,540
506,22,490,15,74732,541
507,28,542,19,43893,543
508,38,544,7,29680,545
509,25,546,8,252539,547
510,35,548,11,131059,549
511,39,550,10,452044,551
512,65,552,10,46277,553
513,22,524,17,8421,554
514,21,555,7,38765,556
515,24,557,6,118470,558
516,19,552,8,46277,559
517,100,560,20,44405,561
518,20,562,6,9019,563
519,26,564,24,8583,565
520,39,566,10,15700,567
521,40,568,9,398384,569
522,100,570,7,184259,571
523,17,572,5,202320,573
524,39,574,7,39563,575
525,47,576,13,40264,577
526,21,578,10,317767,579
527,21,580,7,11787,581
528,24,582,7,99050,583
529,38,584,0,396777,585
530,24,586,7,339348,587
531,25,588,8,117409,589
532,23,590,7,102560,591
533,44,592,9,167019,593
534,66,594,7,209930,595
535,78,596,0,342719,597
536,17,598,5,104269,599
537,23,600,7,318978,601
538,71,602,9,307985,603
539,14,604,6,380566,605
540,100,606,10,297105,607
541,50,608,9,461385,609
542,25,610,21,324620,611
543,31,612,7,29596,613
544,22,614,6,400989,615
545,16,616,6,49230,617
546,16,618,10,72691,481
547,36,619,5,468083,620
548,50,482,15,302040,621
549,26,588,7,117409,622
550,10,623,5,458023,624
551,20,625,7,10060,626
552,72,627,9,393239,628
553,29,629,14,446864,630
554,100,631,7,101184,632
555,42,633,25,376482,634
556,50,635,10,19161,636
557,47,637,7,80914,638
558,56,639,8,364419,640
559,38,641,7,78960,642
560,48,643,0,409416,644
561,30,645,15,278921,646
562,47,647,13,289672,648
563,27,552,8,46277,649
564,57,650,13,42064,651
565,26,652,13,395373,653
566,38,612,7,29596,654
567,81,655,18,465549,656
568,60,657,13,47118,658
569,20,659,11,385412,660
570,35,552,8,46277,661
571,27,468,5,272214,662
572,43,476,9,397911,663
573,15,664,7,459941,665
574,22,666,6,51776,667
575,24,668,9,393754,669
576,17,670,9,304930,671
577,21,672,6,4632,673
578,30,674,8,75403,675
579,36,676,12,38030,677
580,11,678,5,50926,679
581,57,680,16,457175,681
582,17,682,7,434493,683
583,11,684,7,434640,685
584,20,686,13,388430,687
585,32,688,15,458005,689
586,21,690,8,336430,691
587,27,692,12,471662,693
588,18,482,9,302040,694
589,62,637,0,372196,695
590,18,696,4,78945,697
591,19,698,7,76073,699
592,20,700,5,199327,701
593,57,504,15,250560,702
594,21,703,6,306465,704
595,37,705,6,123395,706
596,49,582,9,99050,707
597,30,708,6,199770,709
598,13,710,0,345335,711
599,25,712,8,38492,713
600,89,714,6,331364,715
601,60,716,22,373101,717
602,47,538,14,36972,718
603,20,719,6,367559,720
604,47,721,13,97750,722
605,53,723,15,15315,724
606,39,725,15,429431,726
607,65,498,13,426857,727
608,21,728,7,84458,729
609,34,730,6,204348,731
610,16,732,10,38628,733
611,33,734,5,41697,735
612,24,736,10,105024,737
613,90,596,0,342719,738
614,32,739,8,42284,740
615,16,741,5,3222,742
616,23,743,7,80989,744
617,24,745,10,460187,671
618,21,746,7,97377,747
619,16,748,5,170004,749
620,81,750,5,440997,751
621,56,752,6,383091,753
622,97,754,15,263484,755
623,18,756,5,395207,757
624,89,758,12,39824,759
625,19,760,19,55776,621
626,68,761,23,168650,762
627,41,763,14,111256,764
628,30,765,10,247290,766
629,46,767,8,360237,768
630,100,769,7,339684,770
631,54,771,11,467340,772
632,42,588,9,117409,773
633,100,774,15,326045,775
634,40,776,9,16161,777
635,17,778,7,457743,779
636,100,780,13,302050,781
637,21,771,8,467340,782
638,37,783,11,439383,784
639,40,785,6,37614,786
640,18,787,10,480361,788
641,27,789,11,481460,790
642,18,791,13,345209,792
643,23,793,6,5963,794
644,53,795,5,470984,796
645,20,797,8,20072,798
646,47,799,12,40413,800
647,32,801,7,382823,802
648,46,803,5,360991,804
649,26,805,6,50974,806
650,27,700,5,199327,807
651,15,808,5,163428,809
652,35,810,8,278049,811
653,49,812,9,8522,813
654,100,814,22,198904,815
655,30,816,11,431045,817
656,43,618,13,72691,818
657,30,819,9,82810,820
658,30,821,13,283078,822
659,20,823,9,40073,824
660,18,825,14,272477,826
661,21,827,15,40638,828
662,26,829,12,83564,830
663,17,831,8,11788,832
664,37,833,9,122984,834
665,20,835,9,299401,836
666,37,837,14,108958,838
667,43,839,8,273086,840
668,71,841,10,104325,842
669,46,843,0,381660,844
670,14,845,0,345335,846
671,16,732,9,38628,847
672,7,848,0,345335,849
673,28,850,9,47564,851
674,22,852,9,123590,853
675,44,854,7,382990,855
676,24,856,7,356575,857
677,21,858,6,390299,859
678,27,860,22,265834,861
679,37,862,15,69587,863
680,19,864,6,303834,865
681,61,866,12,450702,867
682,21,868,5,50152,869
683,20,657,10,47118,870
684,34,871,15,435046,872
685,36,873,7,79472,874
686,75,538,15,36972,875
687,17,876,6,369547,877
688,34,878,15,64581,879
689,20,690,6,336430,880
690,19,881,5,247487,882
691,46,647,12,289672,883
692,46,837,14,108958,884
693,23,885,7,9699,886
694,79,887,4,23906,888
695,37,641,7,78960,889
696,36,566,11,15700,890
697,33,891,6,56982,892
698,58,893,10,81447,894
699,26,676,11,38030,895
700,31,896,20,247563,897
701,17,528,7,451788,898
702,54,899,15,262724,900
703,32,739,8,42284,740
704,65,767,9,360237,901
705,10,902,8,431498,903
706,37,904,7,75139,905
707,38,906,8,42114,907
708,24,908,5,42410,909
709,34,910,15,39185,911
710,17,690,6,336430,912
711,25,670,11,304930,913
712,33,914,5,289204,915
713,71,916,7,80764,917
714,37,918,0,347324,919
715,18,664,7,459941,920
716,42,921,7,365441,922
717,19,923,8,16247,924
718,19,925,5,204064,926
719,34,927,21,371900,928
720,34,566,11,15700,929
721,13,930,7,79638,931
722,26,932,11,474956,933
723,38,930,7,79638,934
724,25,935,5,2034,936
725,20,937,5,38139,938
726,7,939,5,182770,940
727,43,584,0,396777,941
