ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
766,31,766,15,3375,767
767,17,768,10,2403,769
768,21,770,26,29043,771
769,18,772,19,30061,773
770,23,774,12,2458,775
771,1,776,10,5725,777
772,92,778,29,23154,779
773,100,780,4,8577,781
774,20,782,11,6097,783
775,30,784,14,22572,785
776,20,786,11,27037,787
777,22,788,33,27153,789
778,19,790,6,2328,791
779,11,792,13,3249,793
780,12,794,10,2332,795
781,13,796,12,2420,797
782,26,798,7,8788,799
783,1,800,10,5725,801
784,49,802,32,3768,803
785,18,804,22,2895,805
786,1,806,10,5725,807
787,66,808,14,2667,809
788,16,810,15,5256,811
789,32,812,26,23167,813
790,33,814,17,14084,815
791,60,816,22,2663,817
792,7,818,3,2985,819
793,18,820,14,3427,821
794,1,822,10,5725,823
795,1,824,10,5725,825
796,23,802,33,3768,826
797,1,827,10,5725,828
798,14,829,10,4806,830
799,1,831,5,26858,832
800,17,833,17,32797,834
801,13,835,11,19179,836
802,16,837,8,28348,838
803,13,839,9,24980,840
804,1,841,10,5725,842
805,20,843,11,2986,844
806,1,845,10,5725,846
807,40,847,9,20083,848
808,1,849,10,5725,850
809,11,851,12,3535,852
810,21,808,12,2667,853
811,7,854,6,2959,855
812,28,788,15,38562,856
813,12,857,10,2353,858
814,1,859,12,14313,860
815,25,861,9,25292,862
816,24,863,24,2992,864
817,15,865,4,11417,866
818,15,867,8,2610,868
819,22,869,10,2568,870
820,20,871,9,12749,872
821,38,873,18,12111,874
822,35,875,13,2380,876
823,13,877,6,2576,878
824,22,879,11,32488,880
825,64,881,32,28139,882
826,21,883,6,10878,884
827,16,885,5,3338,886
828,43,887,25,38055,888
829,16,889,8,26733,890
830,30,891,13,2607,892
831,43,808,15,2667,893
832,21,894,13,26190,895
833,45,859,16,32562,896
834,100,897,15,36813,898
835,8,899,17,23617,900
836,1,901,17,15138,902
837,24,903,15,2429,904
838,16,905,15,33004,906
839,20,907,11,3954,908
840,7,909,11,25356,910
841,19,911,16,4751,912
842,50,913,12,9641,914
843,22,915,11,2408,916
844,16,917,14,5220,918
845,21,919,22,31949,920
846,31,921,18,24348,922
847,19,923,15,2337,924
848,18,907,11,3954,925
849,20,926,20,3447,927
850,1,928,10,5725,929
851,40,930,14,2928,931
852,16,932,23,26164,933
853,1,934,10,5725,935
854,24,936,10,25511,937
855,22,938,16,23041,939
856,19,940,6,2325,941
857,12,942,14,25216,943
858,23,944,11,2419,945
859,25,946,11,2311,947
860,11,948,16,3422,949
861,20,950,37,18047,951
862,15,952,12,21283,953
863,16,954,10,2546,955
864,35,778,25,23154,956
865,23,957,21,3681,958
866,24,959,19,3419,960
867,40,961,29,3566,962
868,14,963,7,35671,964
869,18,965,14,3384,966
870,19,889,9,26733,967
871,13,968,12,2505,969
872,17,867,8,2610,970
873,44,971,24,23541,972
874,12,973,14,3984,974
875,50,975,33,24271,976
876,1,977,10,5725,978
877,33,930,12,2928,979
878,1,980,10,5725,981
879,37,982,39,23266,983
880,51,984,14,2901,985
881,9,986,7,32079,987
882,37,988,7,30390,989
883,1,990,10,5725,991
884,41,982,41,23266,992
885,13,993,5,13756,994
886,1,995,10,5725,996
887,17,997,23,3321,998
888,23,999,9,26106,1000
889,1,1001,10,5725,1002
890,22,907,11,3954,1003
891,15,1004,22,5454,1005
892,43,1006,11,2305,1007
893,22,1008,13,12722,1009
894,18,1010,17,36807,1011
895,11,1012,9,2428,1013
896,32,1014,7,2989,1015
897,13,1016,16,2372,1017
898,90,847,10,20083,1018
899,81,778,29,23154,1019
900,37,1020,17,37961,1021
901,1,1022,10,5725,1023
902,1,1024,10,5725,1025
903,12,1026,17,21152,1027
904,21,1028,11,2981,1029
905,1,1030,10,5725,1031
906,28,1032,11,13624,1033
907,32,1014,7,2989,1034
908,22,938,16,23041,1035
909,56,1036,30,3434,1037
910,71,1038,15,25352,1039
911,10,1040,12,21588,1041
912,16,1042,8,25298,1043
913,22,1044,24,17948,1045
914,10,1046,17,3599,1047
915,1,1048,10,5725,1049
916,17,1050,9,8673,1051
917,16,1016,17,2372,1052
918,8,1053,11,12434,779
919,48,1054,20,3027,1055
920,21,865,4,11417,1056
921,24,1057,14,9202,1058
922,14,1059,12,3352,1060
923,26,812,26,23167,1061
924,32,1062,11,32996,1063
925,21,804,23,2895,1064
926,19,1065,11,35716,1066
927,19,1067,20,2936,1068
928,16,1069,8,8900,1070
929,22,952,14,21283,1071
930,91,1072,15,38045,1073
931,14,1074,20,36748,1075
932,14,1076,12,6140,1077
933,30,1038,16,25352,1078
934,27,1079,19,10577,1080
935,11,1081,13,21282,1082
936,24,1083,11,3029,1084
937,22,1085,16,7825,1086
938,18,1087,11,2705,1088
939,16,1089,10,2301,1090
940,1,1091,10,5725,1092
941,72,1093,15,33254,1094
942,27,1014,7,2989,1095
943,15,1096,16,3463,1097
944,7,1098,13,2439,1099
945,19,1100,8,3137,1101
946,1,1102,10,5725,1103
947,91,1104,27,32003,1105
948,21,1106,14,5187,1107
949,19,1108,11,9297,1109
950,12,810,18,5256,1110
951,14,1111,20,3359,1112
952,20,1113,47,27213,1114
953,20,1115,8,19173,1116
954,16,1117,8,16204,1118
955,51,1119,5,3351,1120
956,13,1121,13,2378,1122
957,1,1123,10,5725,1124
958,36,1125,6,18614,1126
959,51,982,41,23266,1127
960,9,1128,7,10847,1129
961,100,1130,15,35578,1131
962,13,1132,27,34504,1133
963,27,940,6,2325,1134
964,10,1135,8,3187,1136
965,14,1137,8,9375,1138
966,12,1038,15,25352,1139
967,1,1140,10,5725,1141
968,1,1142,10,5725,1143
969,22,1144,18,2324,1145
970,31,1028,12,2981,1146
971,20,1147,10,30300,1148
972,21,997,24,3321,1149
973,1,1150,10,5725,1151
974,23,1152,13,3728,1153
975,1,1154,10,5725,1155
976,1,1156,1,29700,1157
977,56,1158,15,2564,1159
978,1,1160,10,5725,1161
979,17,788,23,34350,1162
980,13,1163,12,2424,1164
981,14,1121,10,2378,1165
982,17,1166,19,25745,1167
983,56,1168,17,33931,1169
984,21,1170,5,13868,1171
985,12,1172,13,2541,1173
986,28,1174,23,3264,1175
987,13,1176,11,25357,1177
988,1,1178,10,5725,1179
989,1,1180,10,5725,1181
990,1,1182,10,5725,1183
991,19,1184,22,23817,1185
992,12,857,9,2353,1186
993,25,1028,11,2981,1187
994,69,1188,5,17869,1189
995,16,1115,7,19173,1190
996,44,1191,16,17993,868
997,1,1192,10,5725,1193
998,30,1188,5,17869,1194
999,20,1195,28,3408,1164
1000,20,1196,20,26583,1197
1001,50,847,9,20083,1198
1002,1,1199,15,12336,1200
1003,1,1201,10,5725,1202
1004,31,1203,23,3396,1204
1005,13,768,12,2403,1205
1006,26,1206,14,6124,1207
1007,44,932,20,26164,1208
1008,14,1209,13,28488,1210
1009,100,1211,26,17948,1044
1010,32,1212,24,3560,1213
1011,1,1214,10,5725,1215
1012,1,1216,10,5725,1217
1013,20,1218,23,2994,1189
1014,100,1219,17,23152,1220
1015,10,1221,9,31319,1222
1016,7,1223,15,25404,1224
1017,1,901,17,15138,1225
1018,58,1226,23,17571,1227
1019,30,1228,45,27949,1229
1020,14,1230,10,37644,1231
1021,25,1232,13,15714,1233
1022,30,1234,8,32969,1235
1023,12,973,14,3984,1236
1024,15,1237,14,3381,1238
1025,33,1239,25,26998,1240
1026,14,1241,11,27283,1242
1027,36,1243,25,3519,1244
1028,17,1245,16,2746,1246
1029,10,1247,7,22672,1248
1030,8,1249,10,2563,1250
1031,16,1251,21,16565,1252
1032,50,1253,11,27302,1254
1033,11,1255,12,2571,1256
1034,50,1257,27,23153,1258
1035,1,1259,10,5725,1260
1036,26,885,5,3338,1261
1037,35,1262,18,2919,1263
1038,26,1264,18,29073,1265
1039,11,1266,13,14864,1267
1040,26,1268,14,2460,1269
1041,11,1270,4,9404,1271
1042,21,997,23,3321,1272
1043,15,1273,17,37462,1274
1044,1,1275,10,5725,1276
1045,33,1277,15,21831,1278
1046,20,1113,45,27213,1279
1047,22,1280,17,23423,1281
1048,1,1282,10,5725,1283
1049,100,1284,16,30395,1285
1050,15,1286,11,24582,1287
1051,19,788,16,38804,1288
1052,1,1289,10,5725,1290
1053,27,1291,16,3093,1292
1054,38,1293,11,11682,1294
1055,26,1295,11,38497,1296
1056,23,1172,14,2541,1297
1057,29,1298,11,21925,1299
1058,27,1300,13,3010,1301
1059,26,1302,6,32764,1303
1060,1,1304,10,5725,1305
1061,15,1306,11,2629,1307
1062,13,1040,12,21588,1308
1063,13,1309,15,9236,1310
1064,39,1311,45,27925,1312
1065,29,1313,16,2600,1314
1066,1,1315,1,18902,1316
1067,31,1317,20,3689,1318
1068,28,1319,12,3556,1320
1069,30,1321,16,23157,1322
1070,13,1323,9,2758,1324
1071,21,1106,14,5187,1325
1072,96,859,20,32562,1326
1073,1,1327,10,5725,1328
1074,1,1329,10,5725,1330
1075,28,820,16,3427,1331
1076,33,1332,11,32684,1333
1077,13,1334,14,11917,1335
1078,14,1059,13,3352,1336
1079,18,965,13,3384,1337
1080,22,1338,14,6089,1339
1081,1,1340,10,5725,1341
1082,16,1342,11,2963,1343
1083,20,1344,38,11807,1345
1084,17,810,17,5256,1346
1085,21,1347,7,2761,1348
1086,1,1349,10,5725,1350
1087,13,1351,9,2664,1352
1088,1,1353,10,5725,1354
1089,10,1042,7,25298,1355
1090,25,1356,12,2447,1357
1091,31,1358,11,30369,1359
1092,1,1360,10,5725,1361
1093,1,1362,11,11799,1363
1094,21,1364,11,9513,1365
1095,32,1366,28,3075,1367
1096,43,1368,11,13235,1369
1097,33,1016,17,2372,1370
1098,13,1371,20,20834,1372
1099,33,1373,10,38068,1374
1100,1,1375,10,5725,1376
1101,14,1377,10,3483,1378
1102,31,1379,15,3393,1380
1103,39,1381,11,15948,1382
1104,26,885,5,3338,1383
1105,29,1115,7,19173,1384
1106,33,975,32,24271,1385
1107,43,1386,4,11872,1387
1108,1,1388,10,5725,1389
1109,11,1390,15,37273,1391
1110,15,940,6,2325,1392
1111,14,1393,13,2411,1394
1112,20,1115,6,19173,1395
1113,13,1396,8,22606,1397
1114,13,1255,13,2571,1398
1115,20,1399,5,13313,958
1116,17,1400,9,2331,1401
1117,12,1402,15,2803,1403
1118,21,1404,11,6046,1405
1119,1,1406,10,5725,1407
1120,21,932,38,23588,1408
1121,20,1409,12,2827,1410
1122,15,1121,11,2378,1411
1123,1,1412,10,5725,1413
1124,1,1414,10,5725,1415
1125,19,768,10,2403,1416
1126,58,1417,20,31505,1418
1127,1,1419,10,5725,1420
1128,1,1421,10,5725,1422
1129,15,1423,6,21151,1424
1130,1,1425,10,5725,1426
1131,100,975,35,24271,1427
1132,22,1428,5,3330,1429
1133,23,1430,11,29057,1431
1134,17,1432,25,25339,1433
1135,27,1434,9,3346,1435
1136,23,1436,14,31204,1437
1137,1,1438,10,5725,1439
1138,100,1440,15,12336,1441
1139,32,1442,8,37727,1443
1140,19,1038,12,25352,1444
1141,17,1445,12,2314,1446
1142,23,1447,39,35126,1448
1143,25,1449,5,2898,1450
1144,100,1451,7,33586,1452
1145,1,1453,10,5725,1454
1146,25,1455,7,34545,1456
1147,23,1457,13,3660,1458
1148,25,1257,26,23153,1459
1149,32,1460,13,25445,1461
1150,32,993,5,13756,1462
1151,13,1463,4,12766,1464
1152,21,1465,28,24547,1466
1153,7,1176,11,25357,1467
1154,64,1468,18,38556,1469
1155,1,1470,10,5725,1471
1156,40,1472,19,22727,1473
1157,26,1474,19,3902,1475
1158,35,1476,24,38414,1477
1159,23,1176,13,25357,1478
1160,14,1479,11,13047,1480
1161,41,1481,45,3325,1482
1162,20,1483,10,3328,1484
1163,47,875,15,2380,1485
1164,10,1486,11,2370,1487
1165,15,1115,7,19173,1488
1166,1,1489,10,5725,1490
1167,17,794,11,2332,1491
1168,10,1492,10,3129,1493
1169,13,1494,10,2560,1495
1170,17,1496,14,2361,1497
1171,13,790,6,2328,1498
1172,12,869,10,2568,1499
1173,34,1074,20,36748,1500
1174,1,1501,15,24857,1502
1175,42,1503,10,33490,1504
1176,25,1038,15,25352,1505
1177,20,1506,7,11002,1507
1178,10,1508,10,14954,1509
1179,86,913,14,9641,1510
1180,84,1188,5,17869,1511
1181,20,784,12,22572,1512
1182,61,1513,21,3993,1514
1183,12,1515,7,2906,1516
1184,25,1517,7,34586,1518
1185,26,938,17,23041,1519
1186,46,1188,5,17869,1204
1187,1,1520,10,5725,1521
1188,19,1522,19,2613,1523
1189,1,1524,28,16193,1525
1190,8,1526,37,2933,1527
1191,33,802,32,3768,1528
1192,7,1529,11,8571,1530
1193,11,952,13,21283,1531
