ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
352,11,352,12,175366,353
353,12,354,17,129613,355
354,13,356,14,1856,357
355,15,358,15,184187,359
356,20,354,19,129613,360
357,6,361,11,176778,362
358,5,363,5,15137,364
359,53,365,5,18288,366
360,44,367,13,121535,368
361,12,369,13,36191,370
362,7,371,12,2666,372
363,9,373,16,126374,374
364,15,375,21,39380,376
365,63,377,21,146247,378
366,15,352,13,175366,379
367,19,380,10,39854,381
368,6,382,15,40428,383
369,4,384,15,166766,385
370,6,386,14,114599,387
371,9,388,15,152694,389
372,7,390,9,184821,391
373,6,382,14,40428,392
374,7,373,16,126374,393
375,5,394,12,122878,395
376,5,396,16,179341,397
377,4,398,13,148307,399
378,17,400,23,2516,401
379,4,402,14,34672,403
380,6,404,14,39546,405
381,9,406,15,90684,407
382,10,408,14,6988,409
383,5,354,15,129613,410
384,5,411,10,172168,412
385,6,413,11,13700,414
386,10,415,12,116096,416
387,17,417,30,146322,418
388,12,419,15,26898,420
389,13,421,20,152446,422
390,14,423,14,172007,424
391,35,425,21,183169,426
392,7,427,10,161731,428
393,11,429,18,190807,430
394,33,431,16,30110,432
395,6,402,14,34672,433
396,4,434,11,179483,435
397,17,436,23,2709,437
398,13,438,13,176616,439
399,11,440,6,117708,441
400,10,373,15,126374,442
401,34,443,8,39819,444
402,5,445,9,42182,446
403,9,447,14,36678,448
404,21,431,14,30110,449
405,10,450,14,101772,451
406,11,452,15,37562,453
407,40,406,20,90684,454
408,7,404,14,39546,455
409,9,456,15,29331,457
410,1,458,22,29778,459
411,25,460,13,27816,461
412,6,462,13,159644,463
413,10,464,6,164451,465
414,19,466,16,124200,467
415,40,468,12,157766,469
416,16,464,8,164451,470
417,15,375,21,39380,471
418,13,472,17,18493,473
419,11,474,12,36181,475
420,4,413,9,13700,476
421,19,400,23,2516,477
422,33,478,19,94062,479
423,100,480,21,8845,481
424,13,482,14,93311,483
425,10,484,7,186074,485
426,6,462,13,159644,486
427,7,487,8,7376,488
428,1,421,15,152446,489
429,11,490,19,128031,491
430,24,492,23,144304,493
431,100,494,22,113138,495
432,100,494,23,113138,496
433,9,375,18,39380,497
434,7,402,14,34672,498
435,6,499,5,29990,500
436,1,501,8,17912,502
437,41,365,3,18288,503
438,9,504,16,19015,505
439,100,506,24,36764,507
440,8,508,8,6522,509
441,6,510,10,1826,511
442,74,365,5,18288,512
443,7,513,11,36581,514
444,12,515,12,19352,516
445,12,358,13,184187,517
446,14,518,12,1723,519
447,17,520,17,37499,521
448,100,522,30,123853,523
449,16,358,15,184187,524
450,1,525,16,13947,526
451,19,527,12,14912,528
452,9,398,15,148307,399
453,4,529,5,117713,530
454,30,531,18,155249,532
455,15,533,10,161421,534
456,8,535,14,28071,536
457,9,537,10,2923,538
458,8,539,16,118664,540
459,17,400,23,2516,541
460,17,542,13,103204,543
461,11,544,14,182026,545
462,56,546,21,158000,547
463,12,382,10,116508,548
464,9,549,17,39654,550
465,4,551,11,162662,552
466,4,436,20,2709,553
467,19,447,16,36678,554
468,100,555,23,113146,556
469,25,549,19,39654,557
470,7,518,10,1723,558
471,21,375,22,39380,559
472,12,560,16,134634,561
473,8,480,19,8845,562
474,100,522,30,123853,523
475,7,373,16,126374,563
476,13,564,9,7510,565
477,4,566,3,128927,567
478,13,460,11,27816,568
479,28,569,15,15925,570
480,7,571,11,116545,572
481,100,522,30,123853,523
482,9,573,14,117342,574
483,9,551,13,162662,575
484,1,576,10,126765,577
485,27,578,18,159288,579
486,22,580,15,13987,581
487,9,582,17,172252,583
488,62,584,19,158559,585
489,1,586,22,38398,587
490,6,354,15,129613,588
491,26,589,11,183087,590
492,28,591,17,186511,592
493,7,593,12,180953,594
494,21,571,13,115948,595
495,10,596,16,27530,597
496,25,598,16,169940,599
497,5,354,15,129613,600
498,9,400,23,2516,601
499,100,506,24,36764,507
500,16,443,6,39819,602
501,10,603,16,175978,604
502,16,478,17,94062,605
503,48,606,21,184824,607
504,13,408,16,6988,608
505,11,609,6,19765,610
506,13,365,5,18288,611
507,22,612,20,169943,613
508,11,404,15,39546,614
509,72,615,27,40113,616
510,26,582,19,161656,617
511,9,413,11,13700,618
512,7,619,25,116407,620
513,14,406,17,90684,621
514,10,622,8,3104,623
515,41,478,20,94062,624
516,100,365,3,18288,625
517,1,518,8,1723,626
518,1,627,8,173423,628
519,9,629,9,187612,630
520,30,631,16,185010,632
521,24,633,7,151805,634
522,11,635,9,168868,636
523,100,494,28,113138,637
524,8,504,15,19015,638
525,7,542,11,103204,639
526,19,596,18,27530,640
527,2,402,12,34672,641
528,41,642,19,193283,643
529,11,406,14,90684,433
530,7,644,12,166733,645
531,14,646,5,13051,449
532,9,647,18,3310,648
533,8,373,16,126374,649
534,15,650,16,128955,651
535,56,539,22,118664,652
536,11,566,3,128927,653
537,12,654,16,156034,655
538,18,539,17,118664,656
539,8,380,7,39854,657
540,58,658,22,15583,659
541,21,660,21,13549,661
542,17,354,17,129613,662
543,7,373,16,126374,663
544,12,354,18,129613,664
545,100,522,30,123853,523
546,10,665,16,125493,666
547,1,667,26,183175,668
548,2,400,23,2516,669
549,22,670,18,91319,671
550,41,354,20,129613,672
551,1,673,13,181462,674
552,8,675,10,168320,676
553,4,629,8,187612,677
554,11,373,16,126374,678
555,12,429,19,190807,679
556,7,487,8,7376,680
557,3,681,11,145075,433
558,1,682,8,12175,683
559,24,684,20,4885,685
560,13,631,14,185010,686
561,7,687,10,39736,688
562,26,566,3,128927,689
563,21,670,18,91319,690
564,26,691,11,475,692
565,1,693,11,115826,694
566,1,682,8,12175,695
567,28,696,21,133593,697
568,1,698,6,17428,699
569,1,427,8,161731,700
570,14,701,13,117410,702
571,9,582,16,158944,703
572,18,369,14,36191,704
573,28,705,14,36237,706
574,10,596,15,27530,707
575,10,708,11,12585,709
576,18,710,23,158477,711
577,14,603,18,175978,712
578,3,404,13,39546,713
579,27,714,14,173892,715
580,12,533,9,161421,716
581,10,480,19,8845,717
582,9,369,12,36191,718
583,95,365,3,18288,719
584,31,365,5,18288,720
585,14,447,15,36678,721
586,5,518,11,1723,722
587,7,445,10,17797,723
588,14,724,14,184420,725
589,15,464,7,164451,726
590,8,727,15,182646,728
591,36,729,21,162437,730
592,16,596,16,27530,731
593,1,732,11,119935,733
594,7,734,15,65054,735
595,5,354,15,129613,736
596,7,388,13,152694,737
597,6,373,15,126374,738
598,15,739,15,4877,740
599,3,741,7,1439,742
600,60,743,22,117993,744
601,8,508,8,6522,745
602,19,746,10,41910,747
603,12,748,13,3933,749
604,19,750,15,6950,751
605,5,752,9,18274,753
606,4,754,5,35143,755
607,6,406,14,90684,756
608,11,757,7,153736,758
609,58,759,5,169354,760
610,2,480,16,8845,761
611,4,762,13,183739,763
612,10,764,20,40651,765
613,25,766,16,177308,767
614,18,768,12,15161,769
615,7,762,14,183739,770
616,21,400,23,2516,771
617,15,537,11,2923,772
618,13,443,5,39819,773
619,7,365,4,18288,774
620,7,775,14,159598,776
621,7,644,13,161341,777
622,6,778,5,37903,779
623,40,780,22,35781,781
624,100,365,2,18288,782
625,3,535,13,28071,783
626,18,365,3,18288,784
627,18,785,9,181635,786
628,9,787,14,188228,788
