ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
421,53,421,7,340234,422
422,20,423,8,292772,424
423,45,425,0,381478,426
424,25,427,6,41441,428
425,25,429,7,82555,430
426,59,431,8,302618,432
427,28,433,7,70912,434
428,38,435,18,37849,436
429,70,437,15,427035,438
430,24,439,6,444692,440
431,31,441,15,50967,442
432,100,443,22,5258,444
433,59,445,15,437066,446
434,22,447,7,98647,448
435,17,449,5,429423,450
436,18,451,6,364083,452
437,21,453,8,345974,454
438,49,455,12,348224,456
439,13,457,6,25055,458
440,46,459,9,401040,460
441,13,461,9,395865,462
442,37,463,10,374548,464
443,29,465,7,251716,466
444,18,467,9,447327,468
445,49,469,10,100524,470
446,15,471,5,412468,472
447,18,473,9,210588,474
448,51,475,12,274142,476
449,20,477,6,460321,478
450,34,479,7,107516,480
451,23,481,9,346566,482
452,50,483,8,341225,484
453,79,485,16,474346,486
454,18,487,25,383876,488
455,40,489,10,186222,490
456,32,491,14,448396,492
457,25,493,7,360688,494
458,14,495,8,439552,496
459,15,497,15,333794,498
460,41,499,0,435385,500
461,48,501,10,71003,502
462,24,503,13,40050,504
463,29,505,15,43149,506
464,23,507,7,123018,508
465,21,509,5,436214,510
466,85,511,20,131983,512
467,26,513,7,332232,514
468,26,515,20,303765,516
469,12,517,5,283605,518
470,24,519,6,44606,520
471,12,521,5,124727,522
472,12,523,8,442396,524
473,39,525,14,476359,526
474,51,473,10,210588,527
475,32,528,8,427232,529
476,21,530,8,19684,531
477,61,532,8,437615,533
478,17,534,7,361106,535
479,26,453,10,345974,536
480,23,537,11,433541,538
481,27,539,10,41566,540
482,7,541,5,169175,542
483,23,543,4,112747,544
484,74,545,15,98816,546
485,18,547,8,131438,548
486,67,549,18,43930,550
487,27,551,8,373817,552
488,100,553,16,186156,554
489,15,555,13,391093,556
490,11,557,6,455347,558
491,100,559,19,364931,560
492,10,561,5,431015,562
493,27,563,6,283390,564
494,15,565,7,439615,566
495,52,567,7,340239,568
496,33,569,7,132262,570
497,31,571,10,19211,572
498,65,573,14,113251,574
499,25,575,8,12264,576
500,12,577,5,385028,578
501,12,579,5,378259,580
502,39,581,15,327319,582
503,28,583,0,381376,584
504,69,585,11,37260,586
505,8,587,17,394718,588
506,20,589,17,76334,590
507,12,591,8,334901,592
508,42,461,14,395865,593
509,30,594,8,70086,595
510,18,447,8,98647,596
511,38,597,5,346786,598
512,18,599,5,37956,600
513,23,601,26,343592,602
514,19,603,12,250183,604
515,100,605,0,381461,606
516,19,607,11,109383,608
517,25,453,10,345974,609
518,35,459,8,401040,610
519,13,611,6,252515,612
520,57,613,9,251639,614
521,36,615,9,425629,616
522,27,617,17,39748,618
523,30,619,24,98370,620
524,100,621,26,263625,622
525,36,623,8,167725,624
526,31,625,13,18976,626
527,23,627,7,358525,628
528,24,629,12,464256,630
529,32,631,4,184707,632
530,53,633,15,199389,634
531,20,635,5,168598,636
532,52,637,25,299785,638
533,22,639,18,249619,640
534,35,641,12,378398,642
535,100,643,25,112251,644
536,24,645,6,249749,646
537,25,647,19,110760,648
538,11,649,5,252581,650
539,23,651,12,369418,652
540,47,653,7,431438,654
541,41,655,7,40351,656
542,18,657,8,469757,658
543,38,659,11,478491,660
544,36,661,7,124734,662
545,20,663,8,14169,664
546,38,447,8,98647,665
547,22,515,19,303765,666
548,100,667,19,74317,668
549,42,669,10,119112,670
550,25,671,12,13322,672
551,11,673,6,374707,674
552,21,675,7,47527,676
553,7,677,4,76684,678
554,17,679,8,450035,680
555,10,534,5,361106,681
556,55,682,11,454788,683
557,10,503,8,40050,684
558,31,685,11,74669,686
559,8,687,5,131324,688
560,29,689,7,31633,690
561,26,691,7,103677,692
562,37,693,15,1625,694
563,47,695,9,453720,696
564,16,697,17,37455,698
565,30,699,13,376490,700
566,28,701,19,63137,702
567,32,503,11,40050,703
568,12,704,4,83842,705
569,10,706,6,313281,707
570,18,708,9,387389,709
571,100,710,6,297108,711
572,18,712,14,42498,713
573,34,714,8,199673,715
574,19,716,14,103626,717
575,16,718,5,122840,719
576,19,720,5,292845,721
577,18,722,6,105526,723
578,14,724,7,122704,725
579,31,726,9,60635,727
580,30,728,7,244725,729
581,24,461,10,395865,730
582,16,731,5,324234,732
583,27,733,15,83010,734
584,44,530,9,19684,735
585,31,736,13,455160,737
586,6,537,11,433541,738
587,27,739,12,322090,740
588,20,741,7,252166,742
589,25,743,9,119858,744
590,25,745,11,394947,746
591,44,747,7,29677,748
592,31,749,6,115968,750
593,30,751,9,361997,752
594,14,473,8,210588,753
595,24,487,25,383876,754
596,27,755,11,473676,756
597,44,757,8,302615,758
598,21,759,5,383800,760
599,46,594,9,70086,761
600,20,762,8,253562,763
601,12,764,9,473301,765
602,32,766,7,73896,767
603,23,768,9,45853,769
604,18,447,6,98647,770
605,18,771,7,346907,772
606,17,773,6,333437,774
607,41,775,7,84497,776
608,11,777,6,385913,778
609,13,423,7,292772,779
610,16,780,7,167233,781
611,34,782,7,29610,783
612,100,784,18,34558,785
613,19,762,8,253562,786
614,72,787,15,37096,788
615,49,599,9,37956,789
616,19,790,10,130774,791
617,43,503,15,40050,792
618,10,793,5,431964,794
619,10,795,10,459724,796
620,22,797,5,439055,798
621,16,799,12,120249,800
622,33,801,7,321047,802
623,13,491,11,448396,803
624,51,804,12,450195,805
625,18,806,5,383069,807
626,24,437,11,427035,808
627,18,809,19,387945,810
628,33,811,9,290216,812
629,28,539,10,41566,813
630,46,814,16,463775,815
631,30,816,7,29604,817
632,32,818,9,371648,819
633,30,820,5,122507,821
634,13,822,6,42922,823
635,13,824,5,339030,825
636,30,826,8,68163,827
637,15,828,6,347880,829
638,16,830,12,460384,831
639,50,806,5,383069,832
640,18,833,8,253950,834
641,32,835,12,466472,836
642,10,837,5,120343,838
643,22,839,8,382439,840
644,20,841,10,471635,842
645,100,843,17,102743,844
646,22,845,21,429553,846
647,26,503,15,40050,847
648,48,669,10,119112,848
