ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
350,16,350,7,110815,351
351,14,352,11,63289,353
352,6,354,10,521236,355
353,14,356,21,556715,357
354,14,358,10,398731,359
355,20,360,12,364058,361
356,52,362,3,90665,363
357,9,354,11,521236,364
358,22,365,10,310523,366
359,1,367,8,521237,368
360,11,369,10,131133,370
361,10,371,9,592706,372
362,16,373,11,88839,374
363,24,375,13,573657,376
364,8,377,10,302221,378
365,5,379,10,10547,380
366,13,381,11,435312,382
367,13,383,9,519901,384
368,5,385,6,60378,386
369,12,360,11,364058,387
370,5,388,5,495046,389
371,13,390,12,141737,391
372,17,392,12,462528,393
373,7,394,9,409586,395
374,31,396,20,544173,397
375,17,398,12,24543,399
376,40,400,22,502128,401
377,29,402,10,117941,403
378,14,404,11,3294,405
379,13,406,11,500937,407
380,18,408,12,566545,409
381,14,410,16,9973,411
382,6,412,9,71069,413
383,23,414,13,33738,415
384,25,416,12,38191,417
385,11,418,12,605663,419
386,16,420,15,548367,421
387,13,422,15,115469,423
388,8,424,9,107690,425
389,12,426,13,32635,427
390,13,428,11,597236,429
391,50,430,21,279696,431
392,13,432,7,417343,433
393,24,434,7,397983,435
394,9,436,7,612762,437
395,18,438,11,56652,439
396,17,440,21,43312,441
397,19,442,16,34577,443
398,17,444,10,79409,445
399,14,444,10,79409,446
400,13,369,10,131133,447
401,9,448,13,12885,449
402,52,450,27,32741,451
403,13,452,12,550049,453
404,9,454,8,585133,455
405,19,456,5,65164,457
406,8,458,8,608257,459
407,47,460,24,7704,461
408,30,462,21,566679,463
409,14,464,9,33327,465
410,8,466,8,629242,467
411,18,468,9,80406,469
412,18,362,4,90665,470
413,6,471,10,448780,472
414,17,473,13,6760,474
415,13,408,13,566545,475
416,1,476,8,399836,477
417,14,478,14,598658,479
418,100,480,41,368081,481
419,14,482,10,127714,483
420,15,484,4,96987,485
421,13,486,10,403889,487
422,4,488,11,36107,489
423,10,490,18,541637,491
424,7,492,6,348931,493
425,100,362,3,90665,494
426,13,495,7,301772,496
427,11,497,8,608221,498
428,5,499,9,55228,500
429,18,501,18,553154,502
430,9,503,12,90801,504
431,16,385,8,60378,505
432,15,506,11,616713,507
433,12,508,12,26861,509
434,5,510,5,24804,511
435,34,385,12,60378,512
436,14,513,17,65720,514
437,19,462,17,566679,515
438,13,516,10,126388,517
439,11,508,12,26861,518
440,12,519,6,40999,520
441,13,521,12,11809,522
442,23,523,12,32350,524
443,36,525,19,45293,526
444,9,527,15,169291,528
445,21,529,10,302220,530
446,11,428,11,597236,531
447,21,452,13,550049,532
448,3,533,12,296392,534
449,13,535,17,583693,536
450,10,537,12,170712,538
451,38,539,5,530210,540
452,21,541,16,91678,542
453,33,543,16,418156,544
454,10,434,6,397983,545
455,8,546,10,534334,547
456,9,548,8,632825,549
457,3,550,12,31953,551
458,100,552,78,32666,553
459,22,554,12,541191,555
460,12,556,15,64766,557
461,7,558,9,601009,559
462,14,560,12,465913,561
463,22,562,16,32385,563
464,11,564,9,614046,565
465,16,566,12,1736,567
466,26,568,11,495463,569
467,34,570,22,30912,571
468,19,572,12,557626,573
469,22,574,12,98566,575
470,11,576,6,75638,577
471,26,578,5,434978,579
472,13,580,11,113816,581
473,23,582,19,104008,583
474,17,584,10,8521,585
475,18,586,22,577028,587
476,10,588,9,111868,589
477,11,590,6,55766,591
478,49,400,23,502128,592
479,15,593,23,53778,594
480,5,595,7,93955,596
481,6,597,10,33228,598
482,18,362,3,90665,599
483,11,600,8,369775,601
484,100,602,36,113468,603
485,4,604,8,33196,605
486,8,606,13,56922,607
487,8,608,17,89055,609
488,7,610,12,603471,611
489,18,612,12,346914,613
490,19,614,13,361936,615
491,18,616,9,27488,617
492,26,618,14,31980,619
493,23,620,10,593159,621
494,23,622,9,419746,623
495,4,624,13,139588,507
496,28,625,16,381115,626
497,15,627,12,105966,628
498,8,629,6,112530,630
499,23,631,16,556411,632
500,14,633,12,124337,634
501,20,635,18,437650,636
502,5,385,7,60378,637
503,11,554,10,541191,638
504,11,639,10,36414,640
505,20,641,11,453383,642
506,17,643,5,39605,644
507,20,645,19,591839,646
508,1,367,8,521237,647
509,23,648,15,459500,649
510,14,586,20,577028,650
511,56,651,41,112172,652
512,39,653,21,487433,654
513,12,588,10,111868,655
514,25,546,10,534334,656
515,22,657,19,74571,658
516,17,408,14,566545,659
517,17,660,8,629213,661
518,100,602,36,113468,603
519,6,662,12,70779,663
520,13,568,10,495463,664
521,100,362,3,90665,665
522,8,666,10,104842,667
523,25,398,13,24543,668
524,51,653,24,487433,669
525,14,608,21,89055,670
526,14,671,7,38852,672
527,5,673,10,127669,674
528,28,675,15,568042,676
529,28,448,17,12885,677
530,13,678,7,409119,679
531,17,680,5,540322,681
532,12,422,15,115469,682
533,19,683,7,54994,684
534,17,629,6,112530,685
535,25,686,20,141266,642
536,15,687,7,54035,688
537,1,689,8,622312,690
538,30,462,20,566679,691
539,9,627,11,105966,692
540,5,693,13,110186,694
541,13,606,16,56922,695
542,10,696,11,616406,697
543,12,383,9,519901,698
544,8,699,13,377997,700
545,74,701,26,515376,702
546,14,703,15,469299,704
547,10,705,11,32023,706
548,13,707,14,573417,708
549,11,709,11,494153,710
550,13,711,7,90701,712
551,10,365,8,310523,713
552,60,714,20,487866,715
553,32,716,15,32669,717
554,15,422,15,115469,718
555,37,719,30,570101,720
556,11,721,11,548557,722
557,13,414,13,33738,723
558,1,476,8,399836,724
559,5,696,9,616406,725
560,20,618,13,31980,726
561,13,727,16,387947,728
562,38,729,16,487081,730
563,16,436,9,612762,731
564,3,732,1,485591,733
565,10,503,12,90801,734
566,37,350,10,110815,735
567,14,707,16,573417,736
568,11,737,13,127267,738
569,6,570,14,30912,739
570,28,740,12,592029,741
571,3,742,10,37733,743
572,12,744,14,7258,745
573,9,746,6,54581,747
574,31,693,22,110186,748
575,21,749,14,36230,750
576,6,627,11,105966,751
577,8,749,12,36230,752
578,25,753,12,242414,754
579,15,755,12,2065,756
580,15,757,18,342191,758
581,20,759,12,79087,760
582,16,761,9,558638,762
583,49,763,21,447653,764
584,31,765,8,29003,766
585,4,767,1,485591,768
586,3,410,14,9973,769
587,15,770,16,137880,771
588,24,772,14,130732,773
589,39,774,17,1446,775
590,23,428,14,597236,776
591,26,584,13,8521,777
592,13,778,12,34831,779
593,10,780,7,39760,781
594,46,651,40,112172,782
595,23,418,14,605663,783
596,28,784,13,110208,785
597,27,786,15,529875,787
598,12,529,9,302220,788
599,7,789,9,621649,790
600,13,791,7,529992,792
601,20,793,21,566677,794
602,41,560,18,465913,795
603,27,680,5,540322,796
604,15,452,14,550049,797
605,15,798,9,29987,799
606,100,362,3,90665,800
607,5,801,8,365693,802
608,41,546,17,534334,803
609,53,804,19,616508,805
610,13,806,10,593816,807
611,14,808,6,20200,809
612,12,558,11,601009,810
613,20,716,10,32669,811
614,7,402,6,117941,812
615,7,813,11,124313,814
616,45,815,15,19003,816
617,10,772,11,130732,817
618,11,701,12,515376,818
619,7,462,17,566679,819
620,13,373,11,88839,820
621,2,821,1,485591,822
622,11,552,11,32666,823
623,12,824,8,36838,825
624,91,602,40,113468,826
625,18,827,11,120837,828
626,7,829,8,583727,830
627,11,379,12,10547,831
628,25,832,14,917,833
629,50,385,13,60378,834
630,13,835,9,92185,836
631,18,837,17,541147,838
632,11,839,12,101803,840
633,22,385,8,60378,841
634,14,554,10,541191,842
635,7,606,13,56922,843
636,19,707,17,573417,844
637,2,845,1,485591,846
638,6,847,11,564051,848
639,10,759,9,79087,849
640,5,850,6,20588,851
641,4,852,7,314448,853
642,25,854,13,590485,855
643,12,757,17,342191,856
644,8,857,9,435282,858
645,11,610,14,603471,859
646,9,860,11,28914,861
647,22,501,19,553154,862
648,11,863,11,101396,864
649,15,703,15,469299,865
650,12,866,15,17677,867
651,15,707,16,573417,868
652,13,707,16,573417,869
653,1,367,8,521237,870
654,39,871,9,120277,872
655,15,873,15,335123,874
656,7,875,9,97017,876
657,33,877,20,34890,878
658,20,879,13,32195,880
659,42,881,17,33900,882
660,10,883,9,561468,884
661,4,885,8,146194,886
662,13,426,12,32635,887
663,15,757,17,342191,888
664,4,889,12,416243,890
665,30,891,15,587029,892
666,100,893,35,159830,894
667,8,895,11,567798,896
668,35,897,25,3030,898
669,100,362,3,90665,800
670,9,899,12,39592,900
671,33,829,13,583727,901
672,18,827,11,120837,902
673,100,480,41,368081,481
674,7,903,8,33515,904
675,24,703,18,469299,905
676,17,671,7,38852,906
677,14,907,14,4909,908
678,15,701,14,515376,909
679,10,510,5,24804,910
680,23,911,12,114193,912
681,100,651,41,112172,913
682,14,570,18,30912,914
683,1,689,8,622312,915
684,22,916,12,42473,917
685,11,410,15,9973,918
686,26,919,11,109029,920
687,12,921,9,565673,922
688,54,651,41,112172,923
689,14,924,11,469742,925
690,41,484,3,96987,926
691,13,927,9,617496,928
692,19,645,18,591839,929
693,10,930,10,28761,931
694,19,369,11,131133,932
695,21,933,17,44354,934
696,14,358,9,398731,935
697,18,936,18,42883,937
698,5,938,6,491107,939
699,77,484,4,96987,940
700,8,808,6,20200,941
701,25,942,17,63967,943
702,15,944,11,241254,945
703,5,946,8,5225,947
704,21,383,11,519901,948
705,18,770,16,137880,949
706,9,950,11,548934,951
707,7,952,15,455445,953
708,14,954,12,44159,955
709,22,956,15,485139,957
710,16,877,17,34890,958
711,100,651,41,112172,913
712,22,959,13,476936,960
713,18,961,24,544161,962
714,1,367,8,521237,963
715,10,875,10,97017,964
716,18,608,21,89055,965
717,17,707,17,573417,966
718,44,651,40,112172,967
719,21,408,15,566545,968
720,12,969,11,19503,970
721,4,971,7,16004,972
722,12,973,9,35438,974
723,6,975,9,34204,976
724,33,977,19,455524,978
725,5,696,8,616406,979
726,18,350,8,110815,980
727,19,981,9,404974,982
728,18,863,12,101396,983
729,22,984,36,487425,985
730,5,847,10,564051,986
731,2,987,1,485591,988
732,44,989,20,511385,990
733,14,991,8,208473,992
734,13,993,5,323601,994
