ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
288,16,288,5,69024,289
289,27,290,14,430880,291
290,19,292,6,314371,293
291,19,294,7,244205,295
292,100,296,13,382461,297
293,35,298,6,339923,299
294,13,300,5,12246,301
295,15,302,5,287234,303
296,25,304,11,473347,305
297,26,306,8,38270,307
298,100,308,21,255922,309
299,84,310,17,444915,311
300,39,312,7,392267,313
301,33,314,9,164529,315
302,17,316,5,97624,317
303,45,318,13,476500,319
304,16,320,6,437276,321
305,37,322,5,99910,323
306,13,324,6,21763,325
307,53,326,8,118890,327
308,36,328,11,112795,329
309,22,330,7,84487,331
310,55,332,5,325631,333
311,29,334,14,131932,335
312,13,336,5,299233,337
313,40,338,0,381018,339
314,100,340,18,104795,341
315,23,342,8,371967,343
316,20,344,11,367478,345
317,100,346,24,201769,347
318,40,348,13,347630,349
319,7,350,5,130627,351
320,23,352,7,41616,353
321,48,354,9,63666,355
322,17,356,7,33942,357
323,19,358,7,25264,359
324,12,360,6,49730,361
325,21,362,5,9570,363
326,18,364,13,373740,365
327,25,294,7,244205,366
328,23,367,8,361699,368
329,67,369,12,112568,370
330,21,371,5,378768,372
331,20,373,9,70729,374
332,17,375,7,468380,376
333,31,377,6,302007,378
334,76,379,8,45096,380
335,41,381,6,246291,382
336,100,383,4,418819,384
337,30,385,8,123481,386
338,38,387,5,184512,388
339,42,389,5,36902,390
340,18,391,17,252061,392
341,18,342,8,371967,393
342,23,394,5,202590,395
343,37,396,12,302797,397
344,38,398,7,107125,399
345,34,377,6,302007,400
346,29,401,12,342302,402
347,42,403,16,51207,404
348,33,405,8,116964,406
349,26,407,10,389723,408
350,21,409,5,56092,410
351,18,411,9,116976,412
352,50,413,5,448904,414
353,49,415,8,38222,416
354,25,294,7,244205,417
355,18,418,6,41339,419
356,15,420,5,98932,421
357,27,422,12,5437,423
358,38,424,11,183973,425
359,38,426,13,50731,427
360,48,428,33,1990,429
361,48,430,5,252353,431
362,20,432,6,6911,433
363,52,434,13,473103,435
364,8,436,5,436836,437
365,13,438,5,392821,439
366,53,440,12,431766,441
367,24,394,6,202590,442
368,8,443,5,169479,444
369,24,445,5,202315,446
370,100,354,13,63666,447
371,78,448,12,2310,449
372,35,450,9,284979,451
373,13,452,5,49877,453
374,22,454,6,39713,455
375,36,456,7,110452,457
376,19,458,11,481800,459
377,34,460,9,73181,461
378,7,462,5,105513,463
379,33,464,19,297627,465
380,24,466,6,82101,467
381,9,371,5,378768,468
382,28,469,24,432065,470
383,20,471,8,78074,472
384,20,354,7,63666,473
385,48,474,9,437478,475
386,30,476,5,451122,477
387,15,396,10,302797,478
388,23,479,7,38293,480
389,12,481,5,317351,482
390,22,322,5,99910,483
391,12,484,5,99789,485
392,61,486,5,342206,487
393,37,488,7,50290,489
394,39,348,13,347630,490
395,27,491,5,58541,492
396,28,493,5,46773,494
397,6,495,5,110287,496
398,65,497,5,444144,498
399,76,499,8,387592,500
400,10,501,5,334895,502
401,29,503,5,209428,504
402,52,505,7,112620,429
403,30,506,5,99781,507
404,9,508,5,442056,509
405,22,510,12,476710,511
406,14,512,6,314872,513
407,21,514,6,8020,515
408,11,516,5,303626,517
409,27,518,9,6434,519
410,35,520,8,43243,521
411,100,522,39,76595,523
412,20,440,9,431766,524
413,9,525,5,323103,526
414,31,527,7,73635,528
415,45,326,7,118890,529
416,14,342,7,371967,530
417,42,298,7,339923,531
