ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
340,39,340,9,468682,341
341,23,342,9,61669,343
342,33,344,7,16928,345
343,34,346,9,55550,347
344,18,348,6,48387,349
345,100,350,33,31078,351
346,37,352,9,328193,353
347,46,354,10,39558,355
348,57,356,12,168039,357
349,38,358,16,354830,359
350,32,348,6,48387,360
351,24,361,11,467536,362
352,20,363,14,59886,364
353,35,365,8,428397,366
354,32,367,0,434239,368
355,45,369,14,168303,370
356,21,371,9,394591,372
357,38,373,9,118151,374
358,53,350,21,31078,375
359,20,346,9,55550,376
360,15,377,5,394514,378
361,18,379,15,395737,380
362,21,381,13,67061,382
363,24,383,22,7106,384
364,100,385,19,395106,386
365,28,387,7,80994,388
366,100,389,17,456259,390
367,28,391,9,50460,392
368,100,393,14,39944,394
369,22,395,8,440133,396
370,23,397,5,32142,398
371,18,399,10,336268,400
372,18,401,5,204228,402
373,24,385,11,395106,403
374,44,404,10,52113,405
375,57,406,12,8914,407
376,44,408,19,373915,409
377,31,410,10,347984,411
378,22,412,11,377642,413
379,24,414,6,444623,415
380,32,416,4,108552,417
381,50,418,10,443258,419
382,23,420,10,202622,421
383,32,422,7,181560,423
384,13,424,7,98837,425
385,14,381,13,67061,426
386,22,427,8,32461,428
387,29,429,7,119388,430
388,71,391,12,50460,431
389,31,432,5,72453,433
390,27,434,9,64393,435
391,42,436,15,429802,437
392,18,438,10,475792,439
393,12,440,0,381643,441
394,26,442,20,435474,443
395,30,444,10,56320,445
396,21,446,11,443465,447
397,100,448,19,442833,449
398,45,450,11,48879,451
399,39,452,5,283780,453
400,12,454,9,437136,455
401,30,456,10,131757,457
402,18,458,9,467981,459
403,28,418,9,443258,460
404,40,461,6,186384,462
405,27,463,13,113210,464
406,22,465,4,427131,466
407,20,467,12,441081,468
408,20,422,6,181560,469
409,14,383,21,7106,470
410,48,471,15,358537,472
411,40,473,12,298833,474
412,21,475,7,23737,476
413,21,477,6,39676,478
414,37,479,9,4656,480
415,38,481,6,374802,482
416,38,483,0,381622,484
417,27,485,15,262902,486
418,47,487,9,33808,488
419,39,489,9,471213,490
420,35,429,7,119388,491
421,27,492,6,121195,486
422,34,493,0,437446,494
423,22,495,4,205791,496
424,17,497,11,477982,498
425,18,499,5,409892,500
426,22,501,11,100697,502
427,66,503,9,428599,504
428,79,505,0,381764,506
429,58,507,15,99587,508
430,48,479,11,4656,509
431,13,510,6,388466,511
432,19,512,7,29666,513
433,32,514,6,26051,515
434,23,516,20,337654,517
435,64,518,16,397885,519
436,18,383,22,7106,520
437,53,521,16,42806,522
438,18,523,5,48970,524
439,28,525,8,42089,526
440,100,527,30,183821,528
441,25,529,6,305951,530
442,28,531,7,444909,532
443,100,533,13,80807,534
444,18,467,11,441081,535
445,29,446,12,443465,536
446,100,537,14,199226,538
447,45,473,11,298833,539
448,36,540,7,371478,541
449,55,542,0,372164,543
450,20,544,5,291778,545
451,45,487,10,33808,546
452,28,547,7,65357,548
453,100,549,28,458714,550
454,39,551,13,264149,552
455,45,553,7,29587,554
456,32,555,5,17905,556
457,32,557,5,118422,558
458,27,559,7,428482,560
459,18,561,9,15802,562
460,12,563,6,8152,564
461,20,555,5,17905,565
462,10,566,4,250009,567
463,53,568,13,367436,569
464,51,570,11,480040,571
465,25,572,7,365353,573
466,42,574,10,269168,575
467,26,576,15,1610,577
468,68,578,8,380783,579
