ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
953,42,953,8,27180,954
954,33,955,16,95919,956
955,26,957,8,35493,958
956,31,953,8,27180,959
957,14,960,9,4939,961
958,42,962,15,52581,963
959,30,953,8,27180,964
960,33,965,14,60803,966
961,80,953,8,27180,967
962,52,968,10,2056,969
963,55,970,17,14747,971
964,45,972,19,41733,973
965,20,974,18,2743,975
966,48,976,8,7345,977
967,14,978,9,31521,979
968,27,980,15,57772,981
969,25,982,5,67789,983
970,27,984,5,51101,985
971,39,986,18,9448,987
972,28,988,13,14293,989
973,17,957,8,35493,990
974,66,991,7,62902,992
975,28,993,11,46742,994
976,93,995,13,6432,996
977,26,970,14,14747,997
978,44,998,19,12820,999
979,34,1000,17,51876,1001
980,43,1002,13,101544,1003
981,27,1004,8,40306,1005
982,20,1006,10,40888,1007
983,36,1008,11,90364,1009
984,64,1010,19,124748,1011
985,17,1012,8,33926,1013
986,58,1014,12,93138,1015
987,30,1016,5,59350,1017
988,15,1018,8,73443,1019
989,76,957,8,35493,1020
990,40,953,8,27180,1021
991,9,1022,9,126838,1023
992,11,1024,7,15988,1025
993,25,1026,6,39471,1015
994,54,1027,6,114516,1028
995,29,1029,7,5669,1030
996,26,1031,13,129155,1032
997,49,1033,7,48072,1034
998,19,1035,7,47569,1036
999,29,1037,6,2062,1038
1000,24,1039,6,41533,1040
1001,46,953,8,27180,1041
1002,54,1033,7,48072,1042
1003,28,1043,15,13269,1044
1004,28,1045,7,20018,1046
1005,100,1047,20,47923,1048
1006,100,1049,17,105869,1050
1007,36,1024,7,15988,1051
1008,8,1024,6,15988,1052
1009,45,1053,17,7967,1054
1010,48,1055,15,129121,1056
1011,36,1057,15,87087,1058
1012,35,1027,5,114516,1059
1013,86,1060,20,39529,1061
1014,57,1062,8,7373,1063
1015,47,1064,26,89559,1065
1016,8,1066,8,71203,1067
1017,29,1024,8,15988,1068
1018,84,953,8,27180,1069
1019,12,1070,5,52503,1071
1020,19,1057,13,87087,1072
1021,36,1073,11,1927,1074
1022,23,1075,14,16001,1076
1023,54,1077,8,3047,1078
1024,29,1024,6,15988,1079
1025,16,1080,11,102231,1081
1026,30,1082,5,71563,1083
1027,34,953,8,27180,1084
1028,15,1039,6,41533,1085
1029,55,1086,6,2906,1087
1030,19,1088,5,99933,1089
1031,39,1090,5,122117,1091
1032,30,1092,10,112094,1093
1033,22,1094,24,7172,1095
1034,15,1096,11,75752,1097
1035,28,1062,7,7373,1098
1036,36,1099,33,4264,1100
1037,14,1073,8,1927,1101
1038,16,1102,18,47969,1103
1039,16,1104,9,38624,1105
1040,14,1106,15,129873,1107
1041,42,953,8,27180,1108
1042,36,1037,7,2062,1109
1043,30,1110,17,49479,1111
1044,54,1112,12,6422,1113
1045,26,1114,10,102722,1115
1046,26,1116,6,27445,1117
1047,18,1118,11,47401,1119
1048,20,1120,21,53556,1121
1049,13,1122,9,16901,1123
1050,13,1124,6,39985,1125
1051,28,1126,25,84084,1127
1052,25,1086,5,2906,1128
1053,25,991,7,62902,1129
1054,21,1130,6,84663,1131
1055,19,1132,11,12032,1133
1056,37,1126,25,84084,1134
1057,66,1135,10,15897,1136
1058,35,960,11,4939,1137
1059,9,1130,5,84663,1138
1060,26,1139,10,5656,1140
1061,15,1141,11,128114,1142
1062,7,1143,5,86408,1144
1063,37,1145,17,9363,1146
1064,25,1147,13,119864,1148
1065,30,1149,6,8864,1150
1066,26,957,8,35493,1151
1067,46,991,6,62902,1152
1068,18,1153,6,1922,1154
1069,37,1155,37,124029,1156
1070,17,960,9,4939,1157
1071,42,1158,11,79656,1159
1072,44,1160,7,7300,1161
1073,28,1162,16,31619,1163
1074,23,1164,16,66598,1165
1075,31,1166,18,16019,1167
1076,25,953,8,27180,1168
1077,31,1169,10,39966,1170
