ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
519,52,519,23,171,520
520,12,521,34,191,522
521,11,523,12,800,524
522,15,525,18,38,526
523,14,527,8,18544,528
524,7,529,2,4382,530
525,20,531,18,2860,532
526,18,533,10,149,534
527,14,527,8,18544,535
528,12,536,7,2655,537
529,9,538,14,379,539
530,4,540,5,9425,541
531,6,542,5,2550,543
532,10,544,10,1469,545
533,10,546,13,7207,547
534,29,548,16,18110,549
535,25,529,2,4382,550
536,11,551,7,988,552
537,11,553,13,13286,554
538,5,555,5,15775,556
539,10,557,11,6090,558
540,6,559,5,2608,560
541,64,561,14,14227,562
542,7,563,14,4364,564
543,31,565,18,11648,566
544,9,567,7,150,568
545,13,569,15,7032,570
546,12,571,13,14326,572
547,1,573,3,655,574
548,6,575,7,5849,576
549,10,577,19,10111,578
550,22,579,14,93,580
551,13,581,13,1402,582
552,8,583,11,859,584
553,10,585,17,10112,586
554,15,587,21,3136,588
555,17,589,7,21791,590
556,7,591,11,4333,592
557,17,593,18,67,594
558,9,595,15,4330,596
559,9,597,8,15218,598
560,9,599,23,299,600
561,6,601,7,261,602
562,12,603,8,10919,604
563,6,542,6,2550,605
564,8,606,7,949,607
565,8,608,9,14821,609
566,7,610,13,799,611
567,9,551,7,988,612
568,14,613,9,18789,614
569,17,615,22,2950,616
570,6,617,9,218,618
571,12,523,12,800,619
572,10,521,34,191,620
573,9,621,15,2488,622
574,9,623,9,15324,624
575,10,553,13,13286,625
576,6,563,12,4364,626
577,6,627,12,125,628
578,20,629,13,188,630
579,10,631,12,19993,632
580,6,633,22,4299,634
581,13,635,9,11491,636
582,13,637,9,2797,638
583,8,639,8,19667,640
584,25,631,14,19993,641
585,6,642,8,11651,643
586,9,644,13,473,645
587,12,646,9,3731,647
588,9,536,7,2655,648
589,20,649,12,8823,650
590,63,651,20,11578,652
591,12,615,20,2950,653
592,12,521,34,191,654
593,12,655,7,15005,656
594,6,629,13,188,657
595,11,658,8,132,659
596,10,544,12,1469,660
597,12,661,15,17751,662
598,6,663,5,9565,664
599,19,665,6,17089,666
600,6,667,14,1787,668
601,13,669,16,123,670
602,22,671,9,18429,672
603,6,536,7,2655,673
604,14,674,15,7786,675
605,13,658,9,132,676
606,11,677,11,227,678
607,10,615,21,2950,679
608,11,680,7,275,681
609,9,674,19,7786,682
610,15,683,5,3726,684
611,7,685,19,16956,686
612,9,687,6,10711,688
613,6,689,9,10505,690
614,9,691,10,177,692
615,11,693,7,162,694
616,11,695,8,14714,696
617,17,697,18,290,698
618,1,699,3,655,700
619,1,701,3,655,702
620,11,703,5,17555,704
621,7,646,6,3731,705
622,6,706,4,1222,707
623,9,708,6,1095,709
624,48,710,24,16009,711
625,6,712,4,2528,713
626,8,655,7,15005,714
627,9,693,6,162,715
628,16,658,9,132,716
629,7,717,12,620,718
630,12,719,23,12162,720
631,14,631,13,19993,721
632,9,722,8,144,723
633,17,525,17,38,724
634,13,553,14,13286,725
635,14,726,13,2080,727
636,1,728,3,655,729
637,13,615,19,2950,730
638,12,731,12,662,732
639,13,521,28,191,733
640,11,621,17,2488,734
641,12,655,7,15005,735
642,6,646,6,3731,736
643,16,737,5,1214,738
644,22,739,18,184,740
