ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
591,6,591,10,167106,592
592,7,593,5,163767,594
593,13,595,12,19885,596
594,18,597,22,188769,598
595,1,599,7,181146,600
596,6,601,19,3022,602
597,2,603,7,95153,604
598,7,605,8,134813,606
599,42,607,24,40016,608
600,8,609,17,1135,610
601,9,611,10,155953,612
602,13,613,10,101539,614
603,19,615,8,97088,616
604,6,597,19,188769,617
605,6,618,13,40088,619
606,9,620,19,24042,621
607,87,615,6,97088,622
608,31,615,8,97088,623
609,11,624,15,6426,625
610,8,626,6,178579,627
611,1,628,10,2758,629
612,20,615,6,97088,630
613,100,631,30,113153,632
614,1,633,6,26944,634
615,13,631,30,113153,635
616,23,636,12,15379,637
617,15,638,7,190964,639
618,11,628,16,2758,640
619,1,628,12,2758,641
620,28,642,7,182800,643
621,15,620,20,24042,644
622,20,645,3,16272,646
623,6,636,10,15379,647
624,11,628,17,2758,648
625,8,649,15,5216,650
626,8,651,22,27517,652
627,6,615,8,97088,653
628,6,654,10,1108,655
629,5,656,19,188606,657
630,100,658,23,3480,659
631,14,607,20,40016,660
632,15,661,45,171358,662
633,22,597,22,188769,663
634,9,615,6,97088,664
635,12,665,15,18964,666
636,4,667,9,184827,668
637,7,591,13,174443,669
638,5,670,5,15735,671
639,1,672,11,91070,673
640,1,674,9,39889,675
641,20,676,8,39915,677
642,7,678,6,175464,679
643,5,680,9,162982,681
644,5,682,12,167534,683
645,10,684,11,186056,685
646,1,686,11,95807,687
647,31,665,16,18964,688
648,6,689,12,7586,690
649,7,603,9,95153,691
650,1,692,11,128899,693
651,9,694,21,19509,695
652,7,696,13,41497,697
653,41,591,18,167105,698
654,21,699,16,35213,700
655,100,701,6,108416,702
656,17,703,8,155952,704
657,6,705,5,151208,706
658,12,707,9,25952,708
659,1,709,9,168128,710
660,1,711,10,29871,712
661,4,713,16,15295,714
662,100,631,30,113153,715
663,23,716,18,158256,717
664,5,718,14,107889,719
665,37,720,18,159492,721
666,21,722,10,156867,723
667,8,724,4,192817,725
668,12,726,9,162727,727
669,17,728,15,36334,729
