ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
415,35,414,7,80914,415
416,28,416,5,412038,417
417,41,418,10,306662,419
418,30,420,11,475632,421
419,12,422,17,29444,423
420,22,414,7,80914,424
421,28,425,8,439383,426
422,22,427,5,260415,428
423,17,429,5,377457,430
424,28,431,7,311990,432
425,33,433,7,109441,434
426,19,435,7,40550,436
427,24,437,6,162895,438
428,15,439,6,11788,440
429,40,441,15,44405,442
430,25,443,7,10060,444
431,75,445,12,372700,446
432,9,447,5,276946,448
433,25,449,7,457780,450
434,24,451,10,119171,452
435,12,453,8,78142,454
436,20,455,21,434612,456
437,20,457,5,337877,458
438,18,459,5,335126,460
439,69,461,0,380789,462
440,43,463,22,105473,464
441,40,465,5,2146,466
442,59,467,8,118408,468
443,35,469,10,337103,470
444,18,471,5,13744,472
445,24,473,7,9693,474
446,38,475,7,37511,476
447,24,477,6,460370,478
448,32,479,16,182719,480
449,28,481,8,376316,482
450,50,483,17,45473,484
451,16,485,5,3222,486
452,49,487,7,301336,488
453,20,489,8,466308,490
454,56,467,8,118408,491
455,19,492,8,183649,493
456,25,494,6,132331,495
457,42,496,15,38180,497
458,33,498,10,118399,499
459,22,500,9,33207,501
460,14,502,5,37084,503
461,39,498,10,118399,504
462,36,467,6,118408,505
463,18,506,6,66891,507
464,23,508,10,42884,509
465,16,510,9,110533,511
466,29,512,16,372349,513
467,38,514,6,201682,515
468,14,516,7,335829,517
469,19,518,7,472650,519
470,38,520,5,51216,521
471,22,522,5,105572,523
472,43,524,7,49860,525
473,14,457,5,337877,526
474,32,527,18,83589,528
475,21,529,6,379028,530
476,32,531,12,17432,532
477,45,533,0,381715,534
478,25,535,5,131100,536
479,15,537,7,101861,538
480,26,539,5,321236,540
481,17,541,6,458311,542
482,13,543,7,116655,544
483,11,545,5,11787,546
484,32,547,12,36972,548
485,23,549,15,117868,550
486,54,551,10,82235,552
487,27,553,5,100979,554
488,17,555,6,37751,556
489,19,557,9,327610,558
490,52,559,8,302040,560
