ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
459,11,459,11,36150,460
460,4,461,6,40776,462
461,1,463,9,40884,464
462,34,465,20,4395,466
463,21,467,4,32890,468
464,1,469,5,40164,470
465,3,471,10,32629,472
466,7,473,5,31334,474
467,7,475,8,34077,476
468,67,465,20,4395,477
469,1,478,14,38349,479
470,12,480,10,712,481
471,14,482,15,27577,483
472,7,484,14,7663,485
473,9,486,6,31052,487
474,17,488,14,39872,489
475,1,490,5,193,491
476,52,492,9,4280,493
477,7,494,13,31634,495
478,5,482,13,27577,496
479,11,497,11,40523,498
480,20,499,7,30995,500
481,6,501,4,32495,502
482,1,503,4,7045,504
483,1,505,11,268,506
484,46,507,20,6398,508
485,1,509,4,7293,510
486,9,511,19,37739,512
487,15,513,8,1977,514
488,4,515,7,39632,516
489,6,517,9,7963,518
490,17,519,19,5736,520
491,13,521,12,40197,522
492,30,523,20,6111,524
493,33,492,13,4280,525
494,7,526,5,39987,527
495,21,528,8,745,529
496,7,530,5,30893,531
497,100,465,21,4395,532
498,5,533,6,35071,534
499,11,488,11,39872,535
500,10,536,11,31609,537
501,9,538,22,3784,539
502,9,540,16,41001,541
503,62,523,21,6111,542
504,30,465,20,4395,543
505,14,544,19,909,545
506,15,530,5,30893,546
507,19,547,12,30240,548
508,13,549,10,30638,550
509,13,465,20,4395,551
510,100,465,21,4395,552
511,9,482,13,27577,553
512,7,488,11,39872,554
513,3,555,5,30588,556
514,1,557,11,322,558
515,1,559,5,30344,560
516,4,459,9,36150,561
517,58,517,17,7963,562
518,3,563,10,32891,564
519,4,484,14,7663,565
520,1,566,10,40594,567
521,86,568,12,31811,569
522,37,492,14,4280,570
523,9,486,6,31052,571
524,22,572,12,6721,573
525,1,484,14,7663,574
526,48,575,25,1861,576
527,1,577,4,38216,578
528,25,579,18,37201,580
529,8,581,13,37148,582
530,18,583,9,2290,584
531,1,585,5,2129,586
532,8,492,13,4280,587
533,39,588,11,34552,589
534,4,590,10,39466,591
535,8,592,6,34995,593
536,5,594,6,7977,595
537,12,530,6,30893,596
538,18,597,11,2986,598
539,43,538,25,3784,599
540,2,484,14,7663,600
541,8,601,11,40385,602
542,7,494,13,31634,603
543,14,492,8,4280,604
544,9,605,14,2,606
545,100,465,20,4395,607
546,1,608,15,27108,609
547,10,610,10,37494,611
548,20,612,14,39967,613
549,9,614,11,1574,615
550,1,616,8,36325,617
551,5,618,6,6204,619
552,1,463,9,40884,620
553,69,523,21,6111,621
554,6,622,5,40081,623
555,11,624,13,32071,625
556,4,626,8,5908,627
557,6,628,10,37985,629
558,3,594,5,7977,630
559,1,505,11,268,631
560,13,540,17,41001,632
561,8,633,13,2409,634
562,8,635,10,27573,636
563,37,637,7,4279,638
564,4,547,10,30240,639
565,7,480,7,712,640
566,1,641,6,7208,642
567,30,492,11,4280,643
568,4,605,11,2,644
569,7,645,5,3045,646
570,7,647,18,2415,648
571,5,494,13,31634,649
572,1,650,5,40396,651
573,4,521,9,40197,652
574,7,653,6,40160,654
575,85,655,25,5918,656
576,35,657,15,38283,658
577,9,523,21,6111,659
578,100,660,4,34072,661
579,23,610,12,37494,662
580,1,663,15,6285,664
581,6,665,9,3897,666
582,7,667,10,7428,668
583,19,669,6,1877,670
584,6,588,6,34552,671
585,1,672,14,4166,673
586,17,674,7,31074,675
587,11,676,16,31002,677
588,1,678,5,1451,679
589,52,523,21,6111,680
