ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
764,22,764,11,91844,765
765,6,766,14,41834,767
766,15,768,23,12396,769
767,12,770,7,303234,771
768,12,772,5,285976,773
769,17,774,17,287484,775
770,24,776,31,159303,777
771,23,778,10,278456,779
772,5,780,11,26530,781
773,9,782,6,12386,783
774,14,784,11,2797,785
775,14,786,7,30182,787
776,12,766,15,41834,788
777,53,789,24,24271,790
778,38,791,16,234510,792
779,17,793,9,7107,794
780,9,795,13,54436,796
781,15,797,6,2917,798
782,38,799,21,136493,800
783,16,801,13,26000,802
784,18,803,11,256790,804
785,37,805,22,6836,806
786,28,807,18,263810,808
787,4,809,10,178712,810
788,17,811,9,38428,812
789,6,813,7,15436,814
790,12,815,12,263666,816
791,9,817,8,18585,818
792,18,819,19,18377,820
793,8,821,13,28169,822
794,24,823,16,15157,824
795,27,825,15,53781,826
796,11,827,11,51929,828
797,6,829,8,4016,830
798,32,831,14,257622,832
799,13,833,8,12661,834
800,16,770,7,303234,835
801,14,836,9,16153,837
802,17,838,9,45499,839
803,33,840,12,51761,841
804,8,842,8,34674,843
805,11,844,8,278103,845
806,8,846,9,242610,847
807,9,848,7,13658,849
808,15,850,12,291051,851
809,12,852,14,39595,853
810,12,768,15,12396,854
811,40,855,18,7755,856
812,28,857,22,262948,858
813,13,829,14,4016,859
814,14,860,11,30191,861
815,55,862,1,58388,863
816,9,864,13,42476,865
817,21,866,13,170117,867
818,100,868,19,261686,869
819,12,870,8,41658,871
820,33,872,21,204125,873
821,16,874,13,15156,875
822,22,876,20,264073,877
823,9,768,17,12396,878
824,15,879,16,28207,880
825,26,881,11,23588,882
826,13,883,11,301865,884
827,100,885,20,199294,886
828,8,887,7,282410,888
829,13,889,9,222496,890
830,5,891,13,261060,892
831,15,893,5,306943,894
832,16,895,1,109899,896
833,12,897,1,111613,898
834,25,899,11,155714,900
835,6,901,10,19145,902
836,8,903,11,26148,904
837,6,768,13,12396,905
838,14,866,13,170117,906
839,45,907,24,17239,908
840,7,909,8,304481,910
841,7,911,8,28158,912
842,6,913,13,292903,914
843,19,897,1,111613,915
844,22,916,20,207941,917
845,8,918,9,34775,919
846,6,920,9,43199,921
847,5,833,6,12661,922
848,24,923,16,458,924
849,83,925,24,202467,926
850,5,927,10,58978,928
851,7,929,13,41876,930
852,10,931,7,11975,932
853,14,933,10,220905,934
854,14,935,7,199647,936
855,17,937,22,285325,938
856,16,920,8,43199,939
857,13,940,12,87961,941
858,17,942,7,12322,943
859,9,944,5,39607,945
860,26,946,6,20064,947
861,4,948,6,155505,949
862,12,950,11,4980,951
863,11,952,11,23581,953
864,22,954,10,221382,955
865,12,956,10,14010,957
866,15,958,12,4389,959
867,20,960,6,264262,961
868,12,962,8,14182,963
869,22,964,7,13092,965
870,7,966,5,77559,967
871,31,968,30,38727,969
872,15,970,14,14117,971
873,15,970,14,14117,972
874,8,973,6,51852,934
875,20,974,9,25257,975
876,8,976,11,26204,977
877,5,978,6,92691,979
878,6,980,5,11982,981
879,29,982,12,26097,983
880,24,984,11,30683,985
881,30,986,7,16470,987
882,18,988,28,17201,989
883,16,990,22,41367,991
884,45,992,17,6777,993
885,60,994,21,55130,995
886,8,996,13,23724,997
887,5,998,7,49609,999
888,9,1000,18,244338,1001
889,13,1002,10,30125,1003
890,29,923,16,458,1004
891,13,1005,11,22562,1006
892,20,1007,9,10741,1008
893,45,1009,29,7096,1010
894,6,1011,7,14556,1012
895,46,1013,4,267758,1014
896,14,1015,14,28154,1016
897,13,1017,11,28205,1018
898,29,1019,15,6436,1020
899,4,996,9,23724,1021
900,23,1022,18,68771,1023
901,27,1024,16,285252,1025
902,20,862,3,58388,1026
903,9,1027,13,14400,1028
904,13,1029,15,230350,1030
905,8,1031,14,281893,1032
906,28,1033,27,285200,1034
907,11,1035,1,109773,1036
908,21,1037,11,287582,1038
909,10,1039,15,22406,1040
910,19,1031,15,281893,1041
911,7,1000,18,244338,1042
912,17,1043,9,25349,1044
913,30,1045,7,82994,1046
914,24,1047,14,18571,1048
915,8,1049,20,41289,1050
916,25,1051,22,15439,1052
917,37,962,14,14182,1053
918,6,1054,5,17596,1055
919,15,860,9,30191,1056
920,5,1057,1,247032,1058
921,27,831,15,257622,1059
922,17,1060,8,154186,1061
923,6,1062,11,26924,1063
924,24,1064,14,3776,1065
925,6,1066,7,30685,1067
926,9,1068,10,503,1069
927,12,1070,8,27179,1071
928,41,833,13,12661,1072
929,29,1073,9,242978,1074
930,6,1075,7,14508,1076
931,6,931,6,11975,1077
932,29,1078,12,13949,1079
933,5,1080,7,13650,1081
934,10,1082,11,25187,1083
935,13,1084,16,456,1085
936,16,1068,14,503,1086
937,21,1087,19,40079,1088
938,27,1089,9,13081,1090
939,4,1091,7,30772,1092
940,20,1093,11,14853,1094
941,8,1095,12,87468,1096
942,8,891,13,261060,1097
943,14,1098,9,25479,1099
944,13,768,20,12396,1100
945,22,1031,18,281893,1101
946,12,1102,11,91949,1103
947,5,1104,7,44001,1105
948,7,1106,16,55086,1107
949,12,1108,16,295518,1109
950,17,1110,11,30771,1111
951,15,1112,27,7745,1113
952,20,1114,13,227430,1115
953,9,1116,7,30658,1117
954,5,1118,1,54543,1119
955,7,1120,10,297534,1121
956,28,1122,21,18127,1123
957,6,1124,8,27142,1125
958,10,903,9,26148,1126
959,12,1127,8,282805,1128
960,6,1129,5,25534,1130
961,14,1131,8,13079,1132
962,9,1000,18,244338,1133
963,17,1134,21,309856,1135
964,11,1136,10,30142,1137
965,11,1138,14,54019,1139
966,10,1116,12,30658,1140
967,33,1141,15,76527,1142
968,24,1143,11,307871,1144
969,21,1134,19,309856,1145
970,27,964,7,13092,1146
971,11,1147,7,23590,1148
972,21,1149,10,26561,1150
973,16,1151,7,274309,1152
974,26,1106,19,55086,1153
975,26,1154,22,272950,1155
976,11,1156,6,214718,1157
977,5,1158,9,14272,1159
978,10,1160,11,21616,1161
979,10,1162,13,165854,1163
980,9,1164,10,26780,1165
981,15,1166,10,52174,1167
982,6,1168,8,307580,1169
983,33,1170,17,193907,1171
984,18,1172,8,41305,1173
985,22,866,13,170117,1174
986,6,870,7,41658,1175
987,30,768,18,12396,1176
988,8,1177,8,27003,1178
989,30,1179,13,30770,1180
990,15,1181,6,83000,1182
991,16,1183,17,3420,1184
992,9,864,14,42476,1185
993,9,1186,9,30681,1187
994,31,1188,16,211225,1189
995,10,1190,19,68050,1191
996,23,1192,15,310610,1193
997,8,1194,10,23559,1195
998,26,1196,13,141176,1197
999,14,1198,10,289122,1199
1000,20,1200,14,45708,1201
1001,13,1002,10,30125,1202
1002,6,1203,9,27095,1204
1003,13,1205,9,222477,1206
1004,17,1207,9,60916,1208
1005,12,1209,8,38021,1210
1006,9,1211,11,28186,1212
1007,4,984,11,30683,1213
1008,9,1214,14,283043,1215
1009,4,1216,1,74511,1217
1010,5,982,6,26097,1218
1011,5,1219,8,30206,1220
1012,4,1221,5,27115,1222
1013,28,1223,11,299582,1224
1014,12,1225,10,25667,1226
1015,48,1227,14,509,1228
1016,6,1229,6,259660,1230
1017,6,1231,7,23594,1232
1018,49,1233,23,266543,1234
1019,7,1235,1,109806,1236
1020,25,1237,14,158783,1238
1021,13,846,11,242610,1239
1022,23,1240,1,132617,1241
1023,34,1242,15,287145,1243
1024,14,1244,7,41292,1245
1025,20,1246,16,28156,1247
1026,30,1047,16,18571,1248
1027,37,1249,16,3060,1250
1028,6,1168,7,307580,1251
