ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
478,82,478,21,382153,479
479,94,480,16,78133,481
480,18,482,8,182564,483
481,19,484,8,470344,485
482,59,486,12,11041,487
483,21,488,7,442617,489
484,18,490,14,344154,491
485,27,492,12,184202,493
486,18,494,5,397473,495
487,84,496,12,301062,497
488,47,498,8,370563,499
489,19,500,7,435103,501
490,28,502,9,57501,503
491,48,504,6,391525,505
492,55,506,22,480825,507
493,25,508,7,320923,509
494,12,510,12,450199,511
495,8,512,5,46281,513
496,20,514,5,383136,515
497,40,516,8,245674,517
498,22,518,7,183475,519
499,15,520,6,109922,521
500,100,522,28,20588,523
501,22,524,7,31621,525
502,21,526,7,74653,527
503,22,528,5,325551,529
504,18,530,5,363443,531
505,79,532,19,169765,533
506,92,534,18,41179,535
507,30,536,7,45921,537
508,29,538,16,1869,539
509,26,540,7,44889,541
510,26,542,5,46773,543
511,26,544,7,115362,545
512,40,546,7,107164,547
513,14,548,7,99913,549
514,15,550,9,28162,551
515,20,552,5,64161,553
516,19,554,21,110237,555
517,18,556,9,432926,557
518,29,558,13,114,559
519,40,560,17,79121,561
520,21,562,17,20599,563
521,55,564,24,75927,565
522,69,566,23,185260,567
523,30,568,6,74655,569
524,28,570,12,43264,571
525,16,572,8,388175,573
526,19,574,5,314452,575
527,20,576,12,58631,577
528,17,578,15,38409,579
529,38,580,8,35156,581
530,17,582,19,26247,583
531,28,584,10,376897,585
532,55,586,15,461561,587
533,50,588,8,328930,589
534,15,590,6,116715,591
535,18,592,6,291839,593
536,31,594,15,441127,595
537,18,596,6,22012,597
538,50,598,0,362139,599
539,30,600,10,401028,601
540,24,602,10,371620,603
541,41,604,30,435093,605
542,37,606,14,118751,607
543,12,608,16,37617,609
544,18,610,6,353895,611
545,24,612,5,363374,613
546,29,614,8,315181,615
547,39,616,7,43850,617
548,59,618,12,185292,619
549,25,620,10,375795,621
550,30,622,10,342210,623
551,17,500,7,435103,624
552,17,625,9,113031,626
553,26,627,8,73691,628
554,33,629,7,370359,630
555,19,631,5,383962,632
556,40,633,18,442670,634
557,24,635,6,365727,636
558,53,637,18,247921,638
559,65,639,18,167143,640
560,19,641,7,283264,642
561,11,643,8,100220,644
562,25,645,12,322527,646
563,86,562,21,20599,647
564,10,648,5,116749,649
565,30,639,16,167143,650
566,49,651,6,358214,652
567,13,653,7,457767,654
568,18,655,18,201769,656
569,35,657,7,267590,658
570,15,659,5,54431,660
571,52,558,14,114,661
572,13,662,7,123168,663
573,33,664,5,315388,665
574,47,666,9,123476,667
575,20,668,12,54803,669
576,13,670,7,97237,671
577,10,598,0,362139,672
578,26,673,10,123672,674
579,68,675,7,449018,676
580,31,677,10,69613,678
581,44,679,11,43814,680
582,20,681,10,470103,682
583,39,683,12,40679,684
584,42,685,16,449618,686
585,21,687,9,398144,688
586,20,689,8,4144,690
587,39,691,11,115549,692
588,49,538,15,1869,693
589,35,670,7,97237,694
590,28,695,19,373386,696
591,32,666,8,123476,697
592,43,698,16,117549,699
593,15,700,9,475219,701
594,57,702,19,244878,703
595,55,645,15,322527,704
596,40,705,7,84491,706
597,29,707,5,305429,708
598,39,709,6,111779,710
599,33,711,13,454067,712
600,48,534,17,41179,713
601,32,714,10,456650,715
602,52,502,12,57501,716
603,31,717,22,429277,718
604,57,719,17,425277,720
605,35,532,15,169765,721
606,40,685,15,449618,722
607,41,723,17,452473,724
608,33,725,4,32280,726
609,63,727,6,444236,728
610,32,729,9,32975,730
611,72,562,20,20599,731
612,63,732,16,365408,733
613,51,734,12,479382,735
614,15,736,14,101414,737
615,69,738,8,478317,739
616,34,740,11,65561,741
617,66,742,19,37735,743
618,18,744,14,335370,745
619,8,746,14,397627,747
620,24,748,15,61464,749
621,26,494,5,397473,750
622,10,751,5,297737,752
623,31,753,6,202315,754
624,37,755,22,47106,756
625,28,504,5,391525,611
626,33,520,7,109922,521
627,15,757,5,13695,758
628,38,759,11,460237,760
629,59,761,7,35528,762
630,27,763,15,53516,764
631,18,765,6,338454,766
632,47,767,11,482150,768
633,24,769,10,36908,770
634,23,771,11,77877,772
635,39,773,13,467700,774
636,21,775,6,369859,776
637,18,777,5,301912,778
638,18,779,5,121722,780
639,90,781,16,31412,782
640,18,783,6,46532,784
641,62,566,22,185260,785
642,29,786,20,469496,787
643,20,788,7,111036,789
644,34,790,8,432966,791
645,28,792,11,461151,793
646,21,794,7,84417,795
647,30,796,5,425198,797
648,20,670,7,97237,798
649,10,799,7,115669,800
650,24,801,7,51220,802
651,100,803,21,374838,804
652,15,805,7,478343,806
653,26,659,5,54431,807
654,29,808,20,14746,809
655,27,810,5,371449,811
656,100,812,25,249252,813
657,13,814,6,51436,815
658,19,816,7,440488,817
659,25,564,22,75927,818
660,29,819,15,476662,820
661,39,685,18,449618,821
662,40,822,12,42531,823
663,39,824,14,374456,825
664,23,748,14,61464,826
665,27,786,20,469496,827
666,18,828,8,3188,829
667,22,705,7,84491,830
668,16,831,9,45888,832
669,39,833,16,456700,834
670,49,835,9,325103,836
671,31,837,14,47087,838
672,12,839,5,72456,840
673,11,841,6,348919,842
674,22,843,7,36957,844
675,43,845,22,455971,846
676,13,847,5,99778,848
677,68,532,16,169765,849
678,21,850,15,47505,851
679,21,852,7,61017,853
680,54,854,11,483018,855
681,31,856,24,477013,857
682,13,622,7,342210,858
683,38,859,13,281054,860
684,39,534,18,41179,861
685,23,651,5,358214,862
686,39,863,11,303489,864
687,27,865,6,54739,866
688,24,867,10,275643,868
689,28,812,19,249252,869
690,51,582,22,26247,870
691,17,871,12,292166,710
692,29,872,6,16633,873
693,20,874,5,343115,875
694,63,876,14,446120,716
695,11,877,5,348954,878
696,36,879,8,1667,880
