ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
398,36,398,15,92921,399
399,22,400,6,41533,401
400,100,402,18,29022,403
401,51,404,16,26925,405
402,56,406,9,48072,407
403,37,408,20,78810,409
404,11,410,5,21640,411
405,15,412,5,27302,413
406,12,414,6,1892,415
407,28,416,19,51636,417
408,74,418,10,15108,419
409,32,420,12,121385,421
410,34,400,6,41533,422
411,48,423,26,29903,424
412,10,425,5,71563,426
413,11,427,13,52962,428
414,42,429,11,103448,430
415,21,431,19,15105,432
416,45,433,10,105913,434
417,48,435,13,2056,436
418,26,437,19,14323,438
419,32,425,6,71563,439
420,40,427,17,52962,440
421,60,441,18,44275,442
422,29,443,8,3047,444
423,27,445,15,76966,446
424,62,447,14,46005,448
425,33,449,20,3787,450
426,28,441,14,44275,451
427,70,435,11,2056,452
428,21,400,6,41533,453
429,71,454,9,28130,455
430,15,456,9,116089,457
431,60,425,8,71563,458
432,100,459,14,7373,460
433,13,461,11,16900,462
434,22,463,22,73816,464
435,88,465,21,26393,466
436,35,467,12,123577,411
437,72,443,11,3047,468
438,39,437,21,14323,469
439,22,425,5,71563,470
440,68,418,12,15108,471
441,25,472,14,119864,473
442,23,474,13,41513,475
443,28,476,26,77601,477
444,45,459,10,7373,478
445,13,410,6,21640,479
446,48,480,12,6422,481
447,23,482,27,115127,483
448,90,484,15,1891,485
449,19,486,15,89737,487
450,31,488,20,11057,489
451,49,490,16,116905,491
452,16,492,28,98306,493
453,26,486,16,89737,494
454,43,495,23,46764,496
455,39,497,10,123294,498
456,12,499,7,77381,500
457,53,484,11,1891,501
458,68,445,15,76966,502
459,23,503,12,127989,504
460,16,400,6,41533,505
461,40,474,14,41513,506
462,67,507,17,98287,508
463,20,465,16,26393,509
464,53,482,29,115127,510
465,65,467,12,123577,511
466,17,512,5,79838,513
467,14,514,5,91210,515
468,52,516,10,1922,517
469,24,518,18,73680,519
470,10,520,8,83204,521
471,41,522,9,2047,523
472,71,441,18,44275,524
473,11,410,5,21640,525
474,55,526,12,119310,527
475,51,528,13,4705,529
476,78,530,18,130092,531
477,26,522,11,2047,532
478,28,528,12,4705,533
479,37,534,10,105474,535
480,61,484,9,1891,536
481,100,537,18,130090,538
482,51,431,19,15105,539
483,43,459,10,7373,540
484,25,541,5,29400,542
485,36,543,17,130102,544
486,13,400,6,41533,545
487,30,546,13,108926,547
488,50,459,11,7373,548
489,34,549,17,130041,550
490,65,433,12,105913,551
491,51,516,12,1922,552
492,44,435,14,2056,553
493,23,443,8,3047,554
494,37,555,16,128929,556
495,54,484,12,1891,557
496,39,435,13,2056,558
497,52,559,17,105564,560
498,54,406,9,48072,561
499,38,562,17,125979,563
500,16,400,6,41533,564
501,82,565,30,33547,566
502,33,567,5,93656,568
503,35,400,6,41533,569
504,24,570,15,90772,571
505,31,461,11,16900,572
506,57,467,12,123577,573
507,27,574,12,5416,575
508,29,576,16,102231,577
509,56,578,15,16903,579
510,20,580,11,113191,581
511,23,526,10,119310,582
512,31,583,9,6435,584
513,20,585,22,96001,586
514,23,587,14,93096,588
515,38,456,11,116089,589
516,23,590,12,50239,591
517,31,592,17,10673,593
518,34,594,10,3240,595
519,22,400,6,41533,596
520,100,597,14,31229,598
521,34,599,9,6826,600
522,50,601,17,9317,602
523,26,603,12,40888,604
524,31,459,10,7373,605
525,49,443,9,3047,606
526,16,607,5,109507,608
527,15,601,17,9317,609
528,87,482,31,115127,610
529,37,611,25,3859,612
530,19,486,15,89737,613
531,18,425,5,71563,614
532,60,437,21,14323,615
533,27,616,8,31789,617
534,38,618,23,83813,619
535,32,484,8,1891,620
536,48,621,15,16017,622
537,13,623,5,59350,624
538,25,516,10,1922,625
539,62,626,11,6545,627
540,55,516,11,1922,628
541,66,629,32,127954,630
542,100,406,14,48072,631
543,25,431,18,15105,632
544,30,431,18,15105,633
545,52,507,15,98287,634
546,20,400,6,41533,635
547,22,636,18,108612,637
548,42,456,11,116089,638
549,23,639,8,115799,640
550,19,400,6,41533,641
551,71,642,24,19790,643
552,37,530,18,130092,644
553,15,645,5,30298,646
554,51,467,13,123577,647
555,19,639,8,115799,648
556,34,649,33,49419,650
557,91,522,10,2047,651
558,52,649,36,49419,652
559,15,461,10,16900,653
560,45,516,10,1922,654
561,100,488,25,11057,655
562,20,656,12,17840,657
563,28,658,14,117133,659
564,28,590,13,50239,660
565,48,484,9,1891,661
566,28,447,11,46005,662
567,39,530,18,130092,663
568,39,443,9,3047,664
569,33,522,10,2047,665
570,18,543,14,130102,666
571,29,435,12,2056,667
572,13,410,5,21640,668
573,34,587,16,93096,669
574,27,484,8,1891,670
575,45,530,18,130092,671
576,78,467,15,123577,672
577,66,467,14,123577,673
578,100,599,16,6826,674
579,24,459,9,7373,675
580,65,516,13,1922,676
581,36,482,27,115127,677
582,48,459,9,7373,678
583,19,679,13,91780,680
584,13,410,5,21640,681
585,16,435,8,2056,682
586,14,683,5,9832,684
587,47,549,19,130041,685
588,48,435,13,2056,686
589,40,526,11,119310,687
590,54,402,14,29022,688
591,18,400,6,41533,689
592,15,690,9,65087,691
593,20,692,14,12032,693
594,24,694,23,20399,695
595,31,400,6,41533,696
596,41,697,18,37741,698
597,15,594,7,3240,699
598,100,700,12,27550,701
599,9,623,5,59350,702
600,32,703,13,124650,704
601,11,603,12,40888,705
602,51,706,17,100427,707
603,24,465,16,26393,708
604,55,467,12,123577,709
605,27,414,7,1892,710
606,14,711,5,51101,712
607,14,410,7,21640,713
608,17,431,15,15105,714
609,26,480,11,6422,715
610,46,406,10,48072,716
611,29,616,8,31789,717
612,44,406,8,48072,718
613,23,418,9,15108,719
614,19,720,17,56170,721
615,31,603,13,40888,722
616,28,723,5,59413,724
617,57,725,18,26103,726
618,16,414,6,1892,727
619,33,435,13,2056,728
