ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
523,9,523,6,41627,524
524,20,525,11,3369,526
525,16,527,11,37870,528
526,7,529,6,21374,530
527,41,531,18,35063,532
528,15,533,23,566247,534
529,8,535,12,8469,536
530,15,537,26,38437,538
531,16,539,10,33509,540
532,15,541,10,40435,542
533,20,543,6,90664,544
534,1,545,8,543308,546
535,26,547,15,377881,548
536,15,549,22,319978,550
537,12,551,12,458149,552
538,22,553,9,155084,554
539,12,555,8,80381,556
540,8,557,9,34576,558
541,15,539,12,33509,559
542,25,560,16,362206,561
543,12,562,13,112878,563
544,28,564,11,96982,565
545,8,566,15,67764,567
546,18,568,15,74372,569
547,5,570,8,593274,571
548,51,572,18,447630,573
549,10,574,6,143821,575
550,6,576,10,156450,577
551,47,578,21,526466,579
552,32,580,28,55603,581
553,25,582,11,79779,583
554,28,584,15,374044,585
555,9,586,6,35758,587
556,7,588,9,314596,589
557,6,590,7,39216,591
558,27,592,13,109850,593
559,2,594,1,485591,595
560,14,596,14,114639,597
561,17,539,11,33509,598
562,10,599,9,43428,600
563,15,601,13,535377,602
564,25,603,17,499041,604
565,30,605,11,205371,606
566,15,607,9,588035,608
567,25,547,16,377881,609
568,12,610,8,74132,611
569,10,612,7,611079,613
570,14,614,14,416656,615
571,15,603,12,499041,616
572,34,617,11,489005,618
573,9,619,13,590145,620
574,8,621,7,417760,622
575,41,623,15,78739,624
576,16,625,11,47651,626
577,9,627,10,484071,628
578,16,629,12,556638,630
579,15,631,8,441623,632
580,6,633,6,38933,634
581,23,635,10,627893,636
582,15,637,20,377808,638
583,6,639,5,54031,640
584,9,641,10,620731,642
585,27,643,9,11008,644
586,100,645,34,445787,646
587,55,647,40,143101,648
588,8,649,6,40863,650
589,34,651,7,90666,652
590,7,653,8,57299,654
591,100,655,34,374049,656
592,15,657,10,627422,658
593,13,659,12,152683,660
594,9,661,11,87308,662
595,25,523,9,41627,663
596,26,664,11,510167,665
597,4,666,9,137968,667
598,22,668,11,472732,669
599,25,670,11,517858,671
600,4,672,8,33279,673
601,8,674,8,143348,675
602,16,676,9,580129,677
603,8,678,12,119797,679
604,5,680,7,487169,681
605,32,682,11,583802,683
606,20,684,9,459388,685
607,22,686,8,527037,687
608,19,688,9,506047,689
609,16,596,16,114639,690
610,27,691,15,576683,692
611,13,693,9,374991,694
612,34,580,26,55603,695
613,9,696,12,89069,697
614,16,564,10,96982,698
615,16,614,15,416656,699
616,10,631,7,441623,700
617,29,701,13,74611,702
618,18,703,12,354220,704
619,5,705,10,92293,706
620,19,707,21,566671,708
621,100,592,33,109850,593
622,8,709,8,58428,710
623,16,711,9,468927,712
624,8,523,7,41627,713
625,32,714,18,168361,715
626,5,716,5,322074,717
627,39,718,16,475752,719
628,11,720,6,73019,721
629,17,607,10,588035,722
630,5,723,6,451879,724
631,17,603,15,499041,725
632,15,726,16,37865,727
633,100,617,22,489005,728
634,27,729,13,543307,730
635,14,625,11,47651,731
636,5,732,6,10527,733
637,28,734,14,540739,735
638,7,736,5,136592,737
639,8,525,11,3369,738
640,36,547,19,377881,739
641,10,740,8,555197,741
642,7,523,7,41627,742
643,12,743,14,622047,744
644,18,670,10,517858,745
645,43,746,13,147298,747
646,11,748,10,492834,749
647,27,711,10,468927,750
648,9,751,11,576874,752
649,9,753,8,23174,754
650,18,564,9,96982,755
651,29,756,6,356918,757
652,48,564,12,96982,758
653,31,759,10,31914,760
654,12,761,5,491565,762
655,39,763,7,121051,764
656,14,765,12,393371,766
657,23,767,15,622033,768
658,9,769,6,113639,770
659,35,580,24,55603,771
660,30,772,13,548762,773
661,19,774,14,105880,775
662,88,543,6,90664,776
663,14,661,13,87308,777
664,20,778,11,32051,779
665,16,780,12,78213,781
666,2,782,6,341897,783
667,6,784,8,596996,785
668,14,786,8,294910,787
669,64,547,22,377881,788
670,7,789,7,106098,790
671,14,791,9,139796,792
672,20,793,7,40255,794
673,8,795,11,33534,796
674,3,797,1,485591,798
675,2,799,1,485591,800
676,10,791,10,139796,801
677,17,539,11,33509,802
678,9,651,5,90666,803
679,22,804,12,17716,805
680,100,655,34,374049,656
681,13,806,10,33142,807
682,20,808,12,574252,809
683,18,637,20,377808,810
684,10,811,10,525125,812
685,13,813,14,135872,814
686,16,815,9,34065,816
687,15,817,14,487749,818
688,17,539,12,33509,819
689,15,820,15,33915,821
690,32,539,12,33509,822
691,25,714,17,168361,823
692,15,824,19,490481,825
693,28,826,11,548050,827
694,21,578,14,526466,828
695,16,829,12,17714,830
696,17,588,11,314596,831
697,9,832,8,102601,833
698,13,834,9,54321,835
699,19,746,9,147298,836
700,17,837,13,548934,838
701,22,839,15,137528,840
702,6,841,10,123228,842
703,47,843,4,96980,844
704,100,645,34,445787,646
705,41,547,16,377881,845
706,13,557,10,34576,846
707,20,808,11,574252,847
708,20,848,12,214443,849
709,20,668,11,472732,850
710,28,851,13,38918,852
