ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
505,21,505,6,51241,506
506,6,507,5,386863,508
507,60,509,9,82555,510
508,70,511,8,436486,512
509,15,513,5,443370,514
510,33,515,14,68864,516
511,34,517,14,210023,518
512,20,519,5,37272,520
513,9,521,5,375340,522
514,21,523,6,412155,524
515,19,525,6,333437,526
516,16,527,15,37241,528
517,17,529,20,3356,530
518,27,531,7,249308,532
519,32,533,13,330966,534
520,16,535,6,56951,536
521,38,537,21,16763,538
522,35,539,9,300923,540
523,28,541,6,273128,542
524,19,543,12,13322,544
525,12,545,5,369301,546
526,20,547,6,84093,548
527,100,549,6,437641,550
528,26,551,6,40819,552
529,25,553,5,100803,554
530,14,555,11,369285,556
531,23,557,14,389349,558
532,32,559,14,120249,560
533,36,561,7,291895,562
534,37,563,15,64595,564
535,35,565,5,385340,566
536,23,567,17,12355,568
537,43,569,9,21564,570
538,46,571,28,436784,572
539,22,573,7,84410,574
540,78,575,15,369418,576
541,19,577,22,460102,578
542,31,579,7,260983,580
543,23,581,12,284203,582
544,19,583,6,366553,584
545,18,585,8,389518,586
546,79,587,11,373029,588
547,22,589,7,19236,590
548,12,591,11,356638,592
549,100,593,11,77384,594
550,22,595,5,315355,596
551,23,597,9,59158,598
552,37,599,10,37260,600
553,25,601,8,73152,602
554,37,603,11,458408,604
555,26,605,5,428549,606
556,21,607,10,476142,608
557,21,609,7,116579,610
558,53,611,14,44998,612
559,42,613,10,247923,614
560,16,615,20,395530,616
561,20,617,5,168598,618
562,21,619,6,319863,620
563,22,621,11,60409,622
564,25,623,6,30478,624
565,18,625,5,270405,626
566,73,627,11,109711,628
567,11,629,5,249903,630
568,33,631,17,169875,632
569,24,633,9,337056,634
570,19,635,8,100524,636
571,15,637,10,436232,638
572,24,639,7,276373,640
573,83,641,0,435413,642
574,11,643,5,358808,644
575,12,645,5,371628,646
576,21,647,10,371468,648
577,19,649,9,268962,650
578,26,651,7,21203,652
579,17,653,5,121316,654
580,27,655,5,272459,656
581,56,657,15,74833,658
582,22,659,20,355516,660
583,19,661,5,245784,662
584,19,663,8,40581,664
585,26,665,7,251635,666
586,25,667,8,12264,668
587,24,669,6,78290,670
588,29,671,7,38027,672
589,71,673,16,465823,674
590,53,575,14,369418,675
591,33,676,9,374707,677
592,73,678,7,33936,679
593,18,680,5,76800,681
594,85,682,18,292907,683
595,47,623,7,30478,684
596,24,685,14,55707,686
597,45,687,7,29654,688
598,10,689,5,78851,690
599,22,691,5,74662,692
600,38,693,6,441373,694
601,7,695,5,168688,696
602,22,697,8,280323,698
603,11,699,5,57593,700
604,27,701,16,44505,702
605,14,703,17,446472,704
606,30,705,15,267581,706
607,27,707,7,315691,708
608,15,709,6,52372,710
609,16,711,14,378292,712
610,33,713,7,450432,714
611,16,715,6,478422,716
612,36,717,13,252518,718
613,33,719,7,98647,720
614,18,537,19,16763,721
615,21,722,8,120978,723
616,34,724,6,81444,725
617,37,573,7,84410,726
618,29,547,6,84093,727
619,32,728,11,478790,729
620,43,730,12,444815,731
621,6,732,5,387413,733
622,100,734,26,34558,735
623,100,736,20,43930,737
624,30,653,5,121316,738
625,16,739,4,108579,740
626,18,741,6,74551,742
627,4,743,5,124608,744
628,27,745,9,199746,746
629,21,747,15,4757,748
630,32,749,11,365783,750
631,21,751,12,44808,752
632,15,543,9,13322,753
633,14,754,11,427692,755
634,16,756,7,29576,757
635,12,758,5,21946,759
636,24,511,6,436486,760
637,8,761,5,383456,762
638,34,763,7,370264,764
639,7,765,6,345974,766
640,12,767,5,112719,768
641,30,769,11,387389,770
642,39,771,5,251642,772
643,22,601,7,16936,773
644,25,575,12,369418,774
645,9,775,8,246492,776
646,50,777,20,73574,778
647,20,779,6,383065,780
648,49,781,16,367208,782
649,24,567,17,12355,783
650,20,784,5,118292,785
651,22,786,7,431790,787
652,43,523,7,412155,788
653,20,697,8,280323,789
654,15,790,6,393151,791
655,84,792,0,381490,793
656,9,794,12,251966,795
657,86,796,14,71162,797
658,26,798,12,29458,799
659,22,800,9,468445,801
660,22,802,10,58928,803
661,15,804,7,115408,805
662,43,806,6,285429,807
663,19,808,7,41389,809
664,19,810,6,479390,811
665,13,812,8,462252,813
666,18,814,5,476397,815
667,77,816,21,131917,817
668,59,818,9,124035,819
669,30,756,7,29576,820
670,100,821,15,371648,822
671,49,823,10,110734,824
672,20,825,11,23508,826
673,8,827,8,479730,828
674,19,829,11,287933,830
675,26,831,10,427035,832
676,35,833,7,103491,834
677,14,835,5,326871,836
678,75,667,11,12264,837
679,57,703,19,446472,838
680,59,804,7,115408,839
681,40,840,7,293178,841
682,16,842,7,290216,801
683,50,843,7,438426,844
684,25,845,11,406557,846
685,18,847,7,357703,848
686,87,849,8,363945,760
687,61,850,16,202393,851
688,35,852,8,371605,853
689,21,854,15,40577,855
690,27,804,7,115408,856
691,44,857,25,34291,858
692,16,859,9,460052,860
693,16,861,8,441017,862
694,28,537,21,16763,863
695,31,794,15,251966,864
696,25,865,8,39789,866
697,18,867,5,348360,868
698,8,869,5,166746,870
699,20,871,5,265235,872
700,20,873,9,466349,874
701,72,875,10,32201,876
702,29,545,5,369301,877
703,26,878,14,44171,879
704,21,880,5,37956,881
705,33,882,6,100605,883
706,36,884,13,39675,885
707,19,886,9,471193,887
708,13,888,7,358462,889
709,15,890,7,84439,891
710,38,769,11,387389,892
711,15,893,7,257201,894
712,50,895,7,16932,896
713,21,897,7,166910,898
714,20,899,7,29733,900
715,19,901,5,332005,902
716,26,719,7,98647,903
717,22,713,5,450432,904
718,52,905,16,4102,906
719,14,907,9,294589,908
720,21,909,5,323562,910
721,28,911,12,376490,912
722,12,913,5,316440,914
723,24,915,18,304652,916
724,36,917,10,386789,918
725,21,732,5,387413,919
726,11,513,5,443370,920
727,15,921,7,304579,922
728,23,543,13,13322,923
729,26,924,7,79736,925
730,39,926,6,393403,927
731,24,928,6,210180,929
732,51,930,5,418806,931
733,18,932,5,110732,933
734,21,934,5,117281,935
735,12,936,5,61063,937
736,56,938,12,426828,939
737,32,940,7,249498,941
738,25,942,14,56947,943
739,20,944,6,131117,945
740,49,946,7,431964,947
741,23,948,10,347753,949
742,100,950,5,418776,951
743,18,952,6,253578,953
744,16,954,5,107100,955
745,45,956,5,341671,957
746,21,741,6,74551,958
747,20,959,5,116298,960
748,33,703,17,446472,961
749,21,962,12,80191,963
750,25,964,14,83010,696
751,44,965,7,290383,966
752,16,967,7,84479,968
753,22,969,8,401040,970
754,12,971,5,438024,972
