ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
598,28,598,5,390060,599
599,30,600,6,60997,601
600,25,602,7,248911,603
601,23,604,7,205198,605
602,11,606,5,17742,607
603,33,608,10,333347,609
604,15,610,7,285618,611
605,33,612,9,475129,613
606,16,614,7,84412,615
607,93,616,26,461437,617
608,31,618,7,167010,619
609,35,620,10,124940,621
610,44,622,18,84538,623
611,42,624,18,113829,625
612,19,626,5,42961,627
613,8,628,5,43086,629
614,21,630,8,400211,631
615,57,632,7,31707,633
616,19,634,6,69013,635
617,44,636,13,281580,637
618,31,638,9,394877,639
619,21,640,5,394678,641
620,8,642,16,131068,643
621,18,644,19,327650,645
622,52,646,13,344934,647
623,23,648,13,77408,649
624,100,650,12,437657,651
625,38,652,14,366045,653
626,22,654,6,366770,655
627,38,656,12,466291,657
628,23,658,6,42645,659
629,21,660,10,169449,661
630,23,662,6,186494,663
631,83,664,6,441427,665
632,61,666,18,45617,667
633,42,662,7,186494,668
634,47,669,10,456751,670
635,20,671,11,272967,672
636,11,673,5,62175,674
637,17,675,20,104553,676
638,40,677,11,348382,678
639,23,679,7,84459,680
640,48,681,13,75096,682
641,23,683,10,41903,684
642,39,685,13,448677,686
643,37,687,23,98803,688
644,9,689,5,120160,690
645,39,691,8,357746,692
646,23,693,7,29570,694
647,12,695,12,79443,696
648,43,697,7,74718,698
649,23,699,7,325877,700
650,85,614,7,84412,701
651,24,702,5,362457,703
652,35,704,22,39873,705
653,24,604,7,205198,706
654,22,707,7,9471,708
655,27,648,13,77408,709
656,28,710,8,483258,711
657,53,712,8,378265,713
658,30,714,9,109399,715
659,22,716,7,29591,717
660,50,718,9,28841,719
661,21,720,5,98216,721
662,11,722,9,79226,723
663,41,724,8,396114,725
664,22,726,11,472759,727
665,26,728,22,328152,729
666,21,730,5,84596,731
667,40,732,15,44783,733
668,12,734,6,22121,735
669,28,642,19,131068,736
670,18,737,6,426340,615
671,33,738,7,447174,739
672,17,737,7,426340,740
673,12,741,5,333465,742
674,39,743,13,288807,744
675,13,745,8,329244,746
676,20,693,7,29570,747
677,44,748,11,368891,749
678,46,750,18,77638,751
679,20,616,23,461437,752
680,24,753,17,39943,754
681,44,679,7,84459,755
682,8,756,7,120065,757
683,30,758,9,371580,759
684,12,760,19,440849,761
685,17,762,6,318659,763
686,32,764,20,98254,765
687,26,766,9,296871,767
688,22,768,13,290091,769
689,23,720,7,98216,770
690,31,650,8,437657,771
691,17,772,10,480337,773
692,18,774,6,209768,775
693,41,776,9,430327,777
694,23,778,8,390159,779
695,36,780,9,443865,781
696,65,782,12,39743,783
697,33,784,10,117060,785
698,61,786,6,16638,787
699,73,693,7,29570,788
700,20,789,6,74135,790
701,67,604,7,205198,791
702,33,792,15,470530,793
703,33,794,15,392024,795
704,49,796,10,337733,797
705,26,798,5,361182,799
706,18,693,7,29570,800
707,38,801,9,201814,802
708,28,803,5,372199,804
709,33,805,11,185885,806
710,23,807,10,479262,808
711,33,809,9,442135,810
712,18,697,7,74718,811
713,37,812,12,70521,813
714,20,814,8,298070,815
715,19,816,7,103753,817
716,21,818,12,69606,819
717,31,820,14,108408,821
718,35,822,14,97513,823
719,17,824,8,130675,825
720,17,826,5,371214,827
721,22,786,5,16638,828
722,15,829,5,104445,830
723,8,831,15,42003,832
724,48,636,12,281580,833
725,57,834,15,41332,835
726,82,836,13,389086,837
727,14,838,6,372534,839
728,45,671,8,272967,840
729,21,778,7,390159,841
730,61,842,7,84368,843
731,9,844,17,202408,845
732,18,846,13,23896,847
733,62,848,20,297622,849
734,43,850,10,101350,851
735,54,693,7,29570,852
736,14,853,5,447767,854
737,95,656,15,466291,855
738,22,856,5,108839,857
739,49,858,13,14212,859
740,18,860,6,41296,861
741,21,862,11,425925,863
742,25,636,12,281580,864
743,13,865,6,305726,866
744,25,867,7,202171,868
745,26,869,14,430893,870
746,56,871,24,79127,872
747,14,873,14,55029,874
748,7,875,5,298319,876
749,33,734,10,22121,877
750,46,878,0,361764,879
751,45,658,6,42645,880
752,54,881,11,172244,882
753,100,883,23,43928,884
754,41,885,6,440040,886
755,31,887,12,108174,888
756,70,889,7,29558,890
757,18,891,6,312059,892
758,27,893,6,447361,894
759,28,895,6,201876,839
760,53,896,7,29633,897
761,23,898,5,331626,899
762,41,900,6,333499,901
763,39,902,5,248939,903
764,21,904,6,108328,905
765,59,906,7,110527,907
766,31,908,11,315483,909
767,33,910,6,356587,911
768,18,912,19,106640,913
769,45,914,10,395571,915
770,24,902,5,248939,916
771,44,917,7,84438,918
772,100,919,15,436504,920
773,18,921,15,37748,922
774,18,923,5,124827,924
775,13,925,7,84421,926
776,60,927,7,44508,928
777,33,929,7,457586,930
778,28,931,11,393373,932
779,33,917,7,84438,933
780,21,934,5,369765,935
781,18,848,16,297622,936
782,21,937,25,354371,938
783,15,939,5,380903,940
784,22,941,6,44701,942
785,49,943,8,377952,944
786,12,945,6,436204,946
787,25,947,7,182683,948
788,20,949,8,338148,950
789,34,951,10,433273,601
790,21,887,12,108174,952
791,33,953,14,293823,954
792,30,724,7,396114,955
793,38,956,7,72489,957
794,9,958,6,116513,959
795,67,745,11,483103,960
796,18,961,8,61444,962
797,39,963,9,101562,964
798,53,704,23,39873,965
799,13,966,8,339660,967
800,30,968,24,281880,969
801,20,846,13,23896,970
802,14,971,6,427982,972
803,20,973,10,475097,974
804,21,975,5,100649,976
805,16,977,14,168318,978
806,35,979,10,472148,980
807,38,981,8,367958,982
