ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
739,29,739,27,47144,740
740,56,739,28,47144,741
741,60,742,15,58089,743
742,25,744,25,52239,745
743,34,746,14,18014,747
744,19,748,16,8036,749
745,1,750,10,71447,751
746,48,752,21,57785,753
747,46,754,14,31263,755
748,56,756,33,36673,757
749,41,758,20,9041,759
750,17,760,12,3408,761
751,39,762,12,2353,763
752,64,764,24,62477,765
753,25,766,24,3899,767
754,47,768,19,4543,769
755,34,770,12,211,771
756,20,772,39,71105,773
757,28,774,14,72417,775
758,62,776,11,1050,777
759,46,778,19,14528,779
760,13,780,8,2391,781
761,23,782,9,70990,783
762,8,784,11,24919,785
763,33,786,20,36962,787
764,82,788,27,11487,789
765,17,790,5,47479,791
766,16,792,11,14541,793
767,29,794,26,75002,795
768,34,796,28,32952,797
769,32,798,26,529,799
770,12,800,18,24419,801
771,29,802,15,62613,803
772,47,804,6,13208,805
773,1,806,8,36402,807
774,23,808,31,14324,809
775,27,810,8,41361,811
776,9,812,12,26117,813
777,100,814,23,10079,815
778,13,816,12,3980,817
779,73,818,15,21813,819
780,27,820,21,29937,821
781,21,822,18,25542,823
782,13,824,32,35609,825
783,16,826,5,342,827
784,27,828,26,45363,829
785,25,762,13,2353,830
786,13,831,17,5693,832
787,16,833,24,60482,834
788,1,835,8,36402,836
789,35,837,10,3307,838
790,20,839,13,24031,840
791,28,841,11,13496,842
792,19,843,5,59926,844
793,18,845,15,3610,846
794,27,739,31,47144,847
795,19,848,20,61015,849
796,17,850,8,35515,851
797,20,852,18,58609,853
798,29,854,22,6852,855
799,17,856,16,57161,857
800,17,858,9,62126,859
801,37,860,25,66889,861
802,75,862,5,32009,863
803,24,862,5,32009,864
804,43,865,5,697,866
805,24,867,9,25456,868
806,41,869,27,10626,870
807,11,871,11,60733,872
808,18,873,16,21281,874
809,35,875,21,22474,876
810,14,756,29,36673,877
811,22,878,12,25301,879
812,18,880,11,31124,881
813,25,882,15,24190,883
814,21,884,13,24477,885
815,37,886,23,20952,887
816,16,888,28,23599,889
817,1,890,13,62744,891
818,21,892,29,10686,893
819,8,822,14,25542,894
820,22,895,31,14357,896
821,40,897,15,46047,898
822,16,824,41,35609,899
823,1,900,14,50834,901
824,48,902,27,52437,903
825,15,904,10,251,905
826,1,906,10,73632,907
827,44,908,23,61302,909
828,29,910,36,445,911
829,1,912,10,73632,913
830,44,914,60,26248,915
831,11,916,19,66086,917
832,1,918,5,10749,919
833,33,920,26,39350,921
834,15,922,7,74144,923
835,49,924,12,24079,925
836,92,926,22,64883,927
837,38,928,18,4133,929
838,19,924,10,24079,930
839,23,931,15,3763,932
840,14,933,20,71107,934
841,100,935,28,22939,936
842,37,937,23,40428,938
843,30,939,23,15059,940
844,38,941,26,45941,942
845,26,943,13,36229,944
846,22,945,22,25137,946
847,26,824,41,35609,947
848,8,948,14,43085,949
849,26,950,15,74812,951
850,15,941,25,45941,952
851,15,953,37,65759,954
852,33,955,23,10712,956
853,18,957,10,57513,958
854,28,959,26,3241,960
855,49,824,42,35609,961
856,29,962,30,6590,963
857,1,964,8,36402,965
858,28,966,10,5095,967
