ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
958,94,956,19,211335,957
959,7,958,5,12889,959
960,13,960,19,201013,961
961,8,962,9,11243,963
962,6,964,13,160069,965
963,50,966,5,72441,967
964,4,968,24,28220,969
965,10,970,7,139585,971
966,8,972,5,165549,973
967,8,974,7,212222,975
968,87,976,29,162919,977
969,13,978,18,208029,979
970,8,980,6,15187,981
971,6,982,12,210625,983
972,8,984,7,9498,985
973,5,986,12,19634,987
974,81,988,8,72440,989
975,8,990,19,198289,991
976,14,992,22,6587,993
977,15,994,6,1140,995
978,12,996,19,13792,997
979,45,998,12,162986,999
980,20,966,5,72441,1000
981,20,1001,26,164554,1002
982,8,992,18,6587,1003
983,10,1004,14,188780,1005
984,21,1006,12,189431,1007
985,18,1008,8,63492,1009
986,8,1010,5,162933,1011
987,17,1012,10,68944,1013
988,6,1014,25,32018,1015
989,10,1016,7,198316,1017
990,9,1018,20,16731,1019
991,10,998,12,162986,1020
992,19,1021,5,17963,1022
993,7,1014,26,32018,1023
994,6,964,13,160069,1024
995,9,1008,10,63492,1025
996,16,1026,21,60012,1027
997,13,1028,22,211219,1029
998,10,1030,20,201844,1031
999,7,1032,6,160671,1033
1000,12,1034,9,15656,1035
1001,19,1036,15,74161,1037
1002,30,1038,8,59191,1039
1003,6,1040,6,210891,1041
1004,10,1042,14,594,1043
1005,17,1044,14,169416,1045
1006,37,1046,15,65276,1047
1007,19,1048,19,16751,1049
1008,4,1050,7,158041,1051
1009,15,1008,9,63492,1052
1010,28,1053,16,25403,1054
1011,17,1055,12,211379,1056
1012,5,1057,15,18310,1058
1013,5,1059,6,202881,1060
1014,7,966,6,72441,1061
1015,16,1048,17,16751,1062
1016,14,1063,15,156682,1064
1017,12,1065,13,75582,1066
1018,8,1067,20,208065,1068
1019,25,1008,9,63492,1069
1020,17,1070,10,139491,1071
1021,9,1072,15,16393,1073
1022,4,1074,14,10763,1075
1023,13,1076,15,188669,1077
1024,1,1078,6,189534,1079
1025,27,988,8,72440,1080
1026,14,1008,8,63492,1081
1027,22,1082,19,207334,1083
1028,6,1084,9,15606,1085
1029,13,1014,32,32018,1086
1030,18,1008,10,63492,1087
1031,7,1088,9,201062,1089
1032,16,1090,24,197249,1091
1033,11,1092,25,187365,1093
1034,4,1094,5,45299,1095
1035,3,1096,6,2080,1097
1036,4,1098,1,192116,1099
1037,19,1100,17,18593,1101
1038,26,966,7,72441,1102
1039,41,968,34,28220,1103
1040,1,1104,5,205009,1105
1041,24,1106,10,16931,1107
1042,10,1108,6,22593,1109
1043,3,1110,7,55482,1111
1044,4,1104,5,205009,1112
1045,13,1113,11,18474,1114
1046,5,1115,16,16630,1116
1047,18,1117,19,12208,1118
1048,5,1119,11,172397,1120
1049,11,1121,13,44749,1122
1050,13,968,28,28220,1123
