ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
970,47,970,7,146604,971
971,44,972,22,542440,973
972,67,974,6,90660,975
973,14,976,12,10547,977
974,11,978,10,128917,979
975,91,980,3,96987,981
976,22,982,14,73446,983
977,54,984,41,67094,985
978,14,986,14,453219,987
979,50,988,12,90701,989
980,12,990,8,29003,991
981,26,992,29,159599,993
982,20,994,11,526748,995
983,26,996,15,595188,997
984,9,998,11,56595,999
985,33,1000,15,422402,1001
986,13,1002,8,10939,1003
987,23,1004,13,573417,1005
988,5,1006,7,99726,1007
989,9,1008,5,413345,1009
990,9,1010,10,41741,1011
991,5,1012,8,161150,1013
992,12,1014,15,57430,1015
993,41,1016,4,90665,1017
994,4,1018,7,58041,1019
995,11,1020,9,63220,1021
996,13,1022,9,7499,1023
997,22,1024,17,101492,1025
998,35,1026,16,36552,1027
999,8,1028,10,153937,1029
1000,9,1030,7,594221,1031
1001,2,1032,1,485591,1033
1002,5,1034,1,485591,1035
1003,16,1036,16,140587,1037
1004,6,1038,9,131800,1039
1005,29,1040,17,72786,1041
1006,27,1042,12,92185,1043
1007,5,1044,8,374246,1045
1008,28,1046,29,554195,1047
1009,15,1048,6,48212,1049
1010,7,1050,7,585523,1051
1011,12,1052,10,108899,1053
1012,14,1054,13,12885,1055
1013,12,1056,6,72924,1057
1014,16,1058,10,23532,1059
1015,7,1060,9,502685,1061
1016,12,1062,13,54702,1063
1017,11,1064,1,485591,1065
1018,17,1066,9,29027,1067
1019,12,1068,9,4628,1069
1020,16,1070,10,121964,1071
1021,15,1072,6,57532,1073
1022,17,1074,14,24253,1075
1023,25,1076,10,423993,1077
1024,32,1078,22,555090,1079
1025,30,1080,11,164042,1081
1026,16,1082,11,415762,1083
1027,15,1084,5,455770,1085
1028,21,1086,7,127767,1087
1029,4,1088,4,139221,1089
1030,15,1090,9,29942,1091
1031,13,1092,9,56155,1093
1032,15,1094,15,12559,1095
1033,11,1096,9,55435,1097
1034,11,1098,14,78971,1099
1035,15,1100,6,115619,1101
1036,42,1102,15,68632,1103
1037,100,980,3,96987,1104
1038,30,1105,12,41155,1106
1039,100,980,5,96987,1107
1040,42,1108,36,487421,1109
1041,7,1110,14,114364,1111
1042,13,1112,8,441263,1113
1043,15,1114,11,1802,1115
1044,41,1116,15,260256,1117
1045,20,1118,10,107786,1119
1046,16,1120,10,34747,1121
1047,24,1122,13,34991,1123
1048,7,1124,6,611124,1125
1049,29,1126,18,442627,1127
1050,7,1128,8,71062,1129
1051,82,1130,35,429785,1131
1052,100,1132,32,47730,1133
1053,15,1134,15,114935,1135
1054,15,1136,13,595904,1137
1055,25,1138,7,40905,1139
1056,11,1140,13,589936,1141
1057,10,1142,9,31949,1143
1058,26,1144,13,39562,1145
1059,9,1146,3,303160,1147
1060,19,1148,11,500180,1149
1061,65,1150,40,108285,1151
1062,20,980,3,96987,1152
1063,20,1153,12,2774,1154
1064,12,1155,13,37278,1156
1065,16,1157,14,115469,1158
1066,16,1159,19,89055,1160
1067,16,1161,5,40497,1162
1068,1,1163,8,580990,1164
1069,29,1146,3,303160,1165
1070,13,1048,6,48212,1166
1071,8,1167,9,68646,1168
1072,11,1169,9,134910,1170
1073,18,1171,9,29987,1172
1074,59,1173,3,109493,1174
1075,11,1175,6,514659,1176
1076,10,1177,12,101385,1178
1077,19,1179,8,583794,1180
1078,3,1181,8,626226,1182
1079,32,1183,13,10559,1184
1080,5,1185,8,34204,1186
1081,15,1022,11,7499,1187
1082,49,1188,25,68299,1189
1083,3,1190,1,485591,1191
1084,12,1192,10,396367,1193
1085,18,1194,12,68888,1195
1086,18,1196,5,412701,1197
1087,17,1198,13,8669,1199
1088,10,1200,9,598681,1201
1089,10,1202,16,141266,1203
1090,13,1204,10,434883,1205
1091,19,1206,14,462597,1207
1092,13,1208,11,88839,1209
1093,14,1210,12,56998,1211
1094,24,1000,10,422402,1212
1095,18,1016,3,90665,1213
1096,23,1214,9,612762,1215
1097,11,1216,8,2756,1217
1098,30,1218,10,29054,1219
1099,13,1220,11,311392,1221
1100,33,1222,18,34520,1223
1101,13,1224,11,516515,1225
1102,6,1226,9,89994,1227
1103,25,1228,25,55569,1229
1104,100,1230,58,67093,1231
1105,5,1232,9,35677,1233
1106,1,1234,8,194231,1235
1107,75,1236,28,7417,1237
1108,18,1238,8,72514,1239
1109,15,1240,9,109029,1241
1110,3,1242,8,237384,1243
1111,13,1244,10,596823,1245
1112,13,1246,6,55551,1247
1113,25,1248,23,511184,1249
1114,22,1250,11,465303,1251
1115,15,1252,12,27472,1253
1116,21,1254,9,64028,1255
1117,6,1256,7,157677,1257
1118,32,1258,20,34890,1259
1119,8,1260,9,307346,1261
1120,25,1262,35,113468,1263
1121,13,1264,13,122757,1265
1122,21,1266,11,405071,1267
1123,100,1016,4,90665,1268
1124,15,988,7,488460,1269
1125,70,1270,24,72415,1271
1126,6,1272,6,487415,1273
1127,9,1274,24,428493,1275
1128,6,1159,13,89055,1276
1129,13,1277,14,565153,1278
1130,6,1279,9,71069,1280
1131,23,1026,12,36552,1281
1132,13,1282,13,32820,1283
1133,5,1284,14,31959,1285
1134,17,1286,17,9973,1287
1135,21,1288,12,97542,1289
1136,14,1282,12,32820,1290
1137,13,1291,16,138568,1292
1138,45,1016,4,90665,1293
1139,12,1294,15,553154,1295
1140,9,1296,8,113816,1297
1141,100,1046,35,554195,1298
1142,6,1299,12,34378,1300
1143,5,1301,6,376178,1302
1144,8,1303,12,126712,1304
1145,17,1305,9,310523,1306
1146,100,1016,4,90665,1268
1147,14,1307,13,165606,1308
1148,9,1309,5,308358,1310
