ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
915,9,915,6,22593,916
916,12,917,30,207204,918
917,23,919,5,162933,920
918,7,921,15,185187,922
919,13,923,7,185754,924
920,8,925,9,11243,926
921,6,927,13,160069,928
922,50,929,5,72441,930
923,6,931,6,150218,932
924,5,931,6,150218,933
925,10,934,20,6587,935
926,18,936,14,187798,937
927,7,938,6,12026,939
928,13,940,12,176522,941
929,13,942,18,208029,943
930,8,944,6,15187,945
931,15,946,16,10489,947
932,14,934,22,6587,948
933,20,949,13,42732,950
934,20,929,5,72441,951
935,9,952,16,16516,953
936,13,942,20,208029,954
937,3,955,12,71165,956
938,8,919,5,162933,957
939,8,958,11,150949,959
940,30,960,8,59191,961
941,44,962,25,16854,963
942,14,936,25,197249,964
943,5,965,19,208763,966
944,9,967,20,16731,968
945,10,969,12,162986,970
946,20,971,18,180373,972
947,9,973,10,63492,974
948,24,975,16,140167,976
949,7,977,6,5927,978
950,6,979,13,67137,980
951,10,981,20,201844,982
952,6,983,8,17024,984
953,14,985,19,17291,986
954,12,987,9,15656,988
955,6,989,24,169415,990
956,4,991,7,158041,992
957,11,981,20,201844,993
958,27,994,27,211219,995
959,17,996,12,211379,997
960,7,998,5,4865,999
961,4,1000,7,141610,1001
962,34,971,22,180373,1002
963,28,1003,14,208620,1004
964,5,1005,10,3136,1006
965,30,929,5,72441,1007
966,45,1008,14,8016,1009
967,6,1010,7,139491,1011
968,25,973,9,63492,1012
969,17,1010,10,139491,1013
970,27,1014,22,190645,1015
971,19,929,6,72441,1016
972,9,1017,15,16393,1018
973,5,1019,23,187365,1020
974,15,1021,17,18593,1022
975,13,1023,15,188669,1024
976,16,1025,23,60012,1026
977,14,1027,12,71164,1028
978,14,1029,15,44749,1030
979,14,973,8,63492,1031
980,88,973,13,63492,1032
981,5,1033,7,22952,1034
982,22,1035,19,207334,1036
983,6,1037,9,15606,1038
984,13,1039,32,32018,1040
985,9,1041,5,789,1042
986,19,942,21,208029,1043
987,28,1044,26,183503,1045
988,6,1046,13,192952,1047
989,16,936,24,197249,1048
990,11,1019,25,187365,1049
991,4,1050,1,192116,1051
992,19,1021,17,18593,1052
993,5,1053,5,163568,1054
994,41,1055,34,28220,1056
995,24,1057,10,16931,1058
996,10,915,6,22593,1059
997,3,1060,7,55482,1061
998,13,1062,11,18474,1063
999,5,1064,16,16630,1065
1000,5,1066,11,172397,1067
1001,11,1029,13,44749,1068
1002,44,1069,10,162829,1070
1003,57,1071,30,149196,1072
1004,9,1073,15,187686,1074
1005,5,996,10,211379,1075
1006,16,1076,6,26506,1077
1007,5,1078,8,17226,1079
1008,4,1080,15,211839,1081
1009,4,981,18,201844,1082
1010,6,1083,10,74161,1084
1011,28,1085,13,186001,1086
1012,9,969,14,162986,1087
1013,10,1088,14,15400,1089
1014,7,1090,9,158245,1091
1015,8,1092,22,44479,1093
1016,23,1094,16,59184,1095
1017,22,1096,26,208179,1097
1018,7,1098,11,10172,1099
1019,5,1100,11,16332,1101
1020,10,1008,7,8016,1102
1021,26,1103,16,198370,1104
1022,42,1105,15,16191,1106
1023,29,936,28,197249,1107
1024,9,1080,21,211839,1108
1025,12,1109,20,196376,1110
1026,17,1111,20,202394,1112
1027,13,1113,6,30046,1114
1028,6,1115,14,185177,1116
1029,100,1117,33,205236,1118
1030,19,1119,23,196824,1120
1031,3,1121,19,164974,1122
1032,15,1027,13,71164,1123
1033,6,1124,16,44100,1125
1034,12,1000,10,141610,1126
1035,6,1127,20,16422,1128
1036,30,1129,29,210873,1130
1037,15,1131,13,10735,1132
1038,6,1133,6,156338,1134
1039,37,1135,5,17132,1136
1040,29,1137,18,209930,1138
1041,5,1139,8,10417,1140
1042,15,929,5,72441,1141
1043,15,1142,5,167420,1143
1044,6,1144,16,157092,1145
1045,10,1119,20,196824,1146
1046,6,1147,14,194972,1148
1047,3,1149,5,211211,1150
1048,6,1151,10,205099,1152
1049,14,1153,8,68893,1154
1050,16,1155,8,9498,1156
1051,16,1157,21,175432,1158
1052,11,1129,25,210873,1159
1053,16,1160,5,189347,1161
1054,22,1162,15,66743,1163
1055,11,1164,6,72440,1165
1056,8,1166,14,197717,1167
1057,9,977,8,5927,1168
1058,14,1037,18,15606,1169
1059,53,1170,26,209818,1171
1060,34,1172,18,6524,1173
1061,13,1174,18,214114,1175
1062,20,1144,20,157092,1176
1063,8,944,6,15187,1177
1064,7,1178,11,25403,1179
1065,7,1180,14,12208,1181
1066,14,1037,18,15606,1182
1067,5,1029,12,44749,1183
1068,14,1164,8,72440,1184
1069,9,1185,14,182233,1186
1070,2,1187,10,150446,1188
1071,23,1189,18,12917,1190
1072,2,1164,8,72440,1191
1073,8,1164,9,72440,1192
1074,10,1193,7,15392,1194
1075,4,1195,11,15977,1196
1076,12,1197,9,67689,1198
1077,20,1199,7,198316,1200
1078,11,1201,7,21572,1202
1079,75,1203,32,25313,1204
1080,35,973,8,63492,1205
1081,11,952,16,16516,1206
1082,14,1207,10,197842,1208
1083,14,969,12,162986,1209
1084,4,1129,23,210873,1210
1085,4,1197,7,67689,1211
1086,12,1212,15,155994,1213
1087,8,1214,5,4084,1215
1088,12,967,23,16731,1216
1089,6,1217,8,205915,1218
1090,17,1219,18,193288,1220
1091,10,1221,16,213592,1222
1092,12,934,21,6587,1223
1093,22,1224,17,67942,1225
1094,28,1226,21,18310,1227
1095,54,1228,16,160670,1229
1096,15,1230,17,157441,1231
1097,42,1232,23,164739,1233
1098,2,1234,6,26067,1235
1099,7,1236,12,17350,1237
1100,51,1238,24,15875,1239
1101,6,1240,6,194707,1241
1102,100,971,32,180373,1242
1103,9,1243,9,21680,1244
1104,14,1029,14,44749,1245
1105,17,1246,15,194641,1247
1106,19,1248,19,175472,1249
1107,7,1139,9,10417,1250
1108,6,1201,7,21572,1251
1109,12,1252,12,207968,1253
1110,4,1254,10,80193,1255
1111,24,1256,19,196124,1257
1112,16,965,21,208763,1258
1113,19,1035,18,207334,1259
1114,27,1021,20,18593,1260
1115,26,925,13,11243,1261
1116,7,1037,11,15606,1262
1117,14,1263,19,10763,1264
1118,45,1071,29,149196,1265
1119,23,971,20,180373,1266
1120,25,1267,21,71052,1268
1121,20,1269,6,16043,1270
1122,15,1178,13,25403,1271
1123,3,1272,6,16135,1273
1124,7,969,12,162986,1274
1125,5,1029,12,44749,1275
1126,6,1276,11,177205,1277
1127,20,1278,5,211909,1279
1128,6,1240,6,194707,1280
1129,9,1226,18,18310,1281
1130,15,1008,9,8016,1282
1131,6,1283,11,50746,1284
1132,15,1285,9,17740,1286
1133,16,1000,11,141610,1287
1134,7,1288,18,44481,1289
1135,24,1203,23,25313,1290
1136,6,1291,11,17472,1292
1137,3,1293,5,4233,1294
1138,11,929,5,72441,1295
1139,5,942,17,208029,1296
1140,11,1297,6,189534,1298
1141,4,1010,6,139491,1299
1142,19,1300,39,199333,1301
1143,18,952,18,16516,1302
1144,14,1303,17,176524,1304
1145,18,1105,12,16191,1305
1146,23,929,5,72441,1306
1147,7,1272,10,16135,1307
1148,24,1308,18,16266,1309
1149,7,1310,6,205260,1311
1150,2,1166,9,197717,1312
1151,13,1313,6,59188,1314
1152,9,1037,14,15606,1315
1153,4,1316,13,16613,1317
1154,10,1318,7,185486,1319
1155,6,1320,21,196458,1321
1156,3,1066,10,172397,1322
1157,22,1323,17,17107,1324
1158,7,1325,10,184151,1326
1159,3,1327,5,45476,1328
1160,5,1329,14,40993,1330
1161,13,1331,6,163715,1332
1162,13,936,31,197249,1333
1163,6,1334,9,18643,1335
1164,4,1187,11,150446,1336
1165,53,1337,13,185828,1338
1166,11,1003,10,208620,1339
1167,7,1340,8,24156,1341
1168,9,917,28,207204,1342
1169,44,1055,34,28220,1343
1170,16,1344,13,17145,1345
1171,9,1098,13,10172,1346
1172,7,1071,16,149196,1347
1173,5,1348,9,15535,1287
1174,12,1124,17,44100,1349
1175,8,1350,7,160667,1351
1176,23,1164,6,72440,1352
1177,32,1353,22,210987,1354
1178,12,1355,11,48204,1356
1179,9,1357,11,162869,1358
1180,13,1359,8,210154,1360
1181,12,1361,8,203372,1362
1182,9,1276,11,177205,1363
1183,9,1119,22,196824,1364
1184,10,973,8,63492,1365
1185,38,1366,28,16827,1367
1186,7,1368,15,10830,1369
1187,4,1035,14,207334,1370
1188,46,1371,20,169359,1372
1189,9,1373,13,141440,1374
1190,72,973,10,63492,1375
1191,6,1376,8,15549,1377
1192,37,1105,15,16191,1378
1193,22,942,21,208029,1379
1194,20,1121,24,164974,1380
1195,9,1008,8,8016,1381
1196,9,1382,11,78165,1383
1197,4,1384,18,192416,1385
1198,10,1174,17,214114,1386
1199,51,929,5,72441,1387
1200,14,1283,14,50746,1388
1201,5,1323,14,17107,1389
1202,31,1390,9,209221,1391
1203,6,1392,9,122,1393
1204,11,934,21,6587,1394
1205,14,1395,5,199457,1396
1206,3,969,14,162986,1397
1207,16,944,7,15187,1398
1208,10,921,17,185187,1399
1209,10,1400,14,168192,1401
1210,12,1402,21,208065,1403
1211,13,1404,9,17031,1405
1212,32,1406,20,77609,1407
1213,12,1408,9,17179,1409
1214,6,1037,16,15606,1410
1215,8,1411,10,48845,1412
1216,7,1272,8,16135,1413
1217,8,1414,6,48037,1415
1218,22,1340,10,24156,1416
1219,16,1228,11,160670,1417
1220,92,929,7,72441,1418
1221,20,1044,24,183503,1419
1222,19,1420,31,209940,1421
1223,7,1144,16,157092,1422
1224,15,1423,7,214108,1424
1225,33,1105,14,16191,1425
1226,100,1164,7,72440,1426
1227,33,1139,16,10417,1427
1228,56,1025,14,60012,1428
1229,16,929,6,72441,1429
1230,7,1430,7,170970,1431
1231,39,1432,24,45050,1433
1232,9,1434,8,210741,1435
1233,10,1436,9,202,1437
1234,29,1037,16,15606,1438
1235,7,1121,21,164974,1439
1236,6,1440,27,185448,1441
1237,22,1037,14,15606,1442
1238,22,1055,30,28220,1443
1239,5,1444,5,177067,1445
1240,28,1144,21,157092,1446
1241,18,1276,15,177205,1447
1242,4,1382,9,78165,1448
1243,8,1449,7,15365,1450
1244,8,1451,6,15555,1452
1245,12,1453,24,80565,1454
1246,13,942,20,208029,1455
1247,14,1456,8,202361,1457
1248,11,1458,31,205719,1459
1249,44,1164,9,72440,1460
1250,21,1214,6,4084,1461
1251,11,1100,13,16332,1462
1252,45,969,12,162986,1463
1253,14,1464,10,205287,1465
1254,8,973,10,63492,1466
1255,41,1085,13,186001,1467
1256,19,1468,17,44475,1469
1257,56,1464,15,205287,1004
1258,9,1402,20,208065,1470
1259,7,929,5,72441,1471
1260,21,1472,19,31674,1473
1261,8,987,9,15656,1474
1262,58,1055,34,28220,1475
1263,5,1228,9,160670,1476
1264,35,1477,19,15629,1478
1265,13,1479,10,60955,1480
1266,6,1444,5,177067,1481
1267,6,1482,7,30478,1483
1268,12,1164,11,72440,1481
1269,32,1094,17,59184,1484
1270,13,1164,7,72440,1485
1271,3,1486,10,81422,1487
1272,8,1488,20,17319,1489
1273,7,917,26,207204,1490
1274,32,929,5,72441,1491
1275,46,1492,24,190275,1493
1276,10,1494,17,24106,1495
1277,21,1224,19,67942,1496
1278,3,1497,5,16723,1498
1279,6,967,20,16731,1499
1280,15,1500,13,73013,1501
1281,14,1037,18,15606,1502
1282,3,1297,6,189534,1503
1283,5,1019,21,187365,1504
1284,10,1505,12,174466,1506
1285,11,989,26,169415,1507
1286,14,929,5,72441,1508
1287,27,1340,12,24156,1509
1288,100,1164,7,72440,1426
1289,6,969,12,162986,1510
1290,3,1511,9,74837,1512
1291,100,973,10,63492,1032
1292,51,1453,31,80565,1513
1293,11,1514,10,208400,1515
1294,9,1516,6,77440,1517
1295,32,1518,22,30667,1519
1296,5,1005,8,3136,1520
1297,8,944,7,15187,1521
1298,13,1085,7,186001,1522
1299,7,1523,15,192489,1524
1300,6,1420,29,209940,1525
1301,10,1131,13,10735,1526
1302,7,994,20,211219,1527
1303,25,987,11,15656,1528
1304,4,1488,18,17319,1529
1305,61,1164,11,72440,1530
1306,19,994,27,211219,1531
1307,12,1532,18,202348,1533
1308,11,942,18,208029,1534
1309,32,981,24,201844,1535
1310,10,936,16,187989,1536
1311,8,1537,15,34204,1538
1312,6,1420,28,209940,1539
1313,7,1071,20,149196,1540
1314,10,1193,7,15392,1541
1315,100,1542,32,17535,1543
1316,5,1069,6,162829,1544
1317,6,938,6,12026,1545
1318,15,1546,8,56885,1547
1319,27,1548,20,21499,1549
1320,63,1550,21,193146,1551
1321,11,991,8,158041,1552
1322,12,1553,16,16237,1554
1323,28,1199,8,198316,1555
1324,19,1556,5,5112,1557
1325,10,1558,6,209125,1559
1326,38,1560,15,55143,1561
1327,10,1562,5,204317,1391
1328,5,1456,7,202361,1563
1329,36,1564,27,19681,1565
1330,41,1566,10,212128,1567
1331,9,1568,11,210769,1569
1332,3,1570,18,204733,1571
1333,7,917,28,207204,1572
1334,7,1573,9,150449,1574
1335,26,1575,20,16254,1576
1336,20,1037,16,15606,1577
1337,7,1071,21,149196,1578
1338,13,1579,10,160150,1580
1339,5,929,6,72441,1581
1340,4,1582,15,200783,1583
1341,6,1584,14,40165,1585
1342,14,1228,11,160670,1022
1343,13,1586,24,70669,1587
1344,7,1164,11,72440,1588
1345,60,1092,30,44479,1589
1346,5,1135,5,17132,1590
1347,6,1023,11,188669,1591
1348,5,973,9,63492,1592
1349,11,1137,14,209930,1593
1350,10,1121,23,164974,1594
1351,1,1005,7,3136,1595
1352,23,1596,23,65423,1597
1353,19,936,26,197249,1598
1354,8,1599,16,44104,1600
1355,19,1224,17,67942,1601
1356,13,1602,8,45369,1603
1357,7,1604,10,207609,1605
1358,22,1606,6,161777,1607
1359,12,1172,14,6524,1608
1360,26,1575,20,16254,1609
1361,10,969,13,162986,1610
1362,2,1611,1,192116,1612
1363,7,1613,28,202875,1614
1364,18,1615,18,212608,1616
1365,2,1350,6,160667,1617
1366,11,1238,16,15875,1618
1367,9,1149,5,211211,1619
1368,6,1620,8,201062,1621
1369,19,1164,10,72440,1622
1370,18,955,16,71165,1623
1371,2,1121,18,164974,1624
1372,41,1584,22,40165,1625
1373,5,1626,7,65488,1627
1374,5,1234,7,26067,1628
1375,7,1037,11,15606,1629
1376,6,1164,8,72440,1630
1377,13,1164,7,72440,1631
1378,14,1632,8,16607,1633
1379,100,1105,20,16191,1634
1380,4,1420,26,209940,1635
1381,13,994,23,211219,1636
1382,4,1637,9,17583,1638
1383,9,967,22,16731,1639
1384,8,1640,16,25854,1641
1385,43,973,9,63492,1642
1386,7,1071,20,149196,1643
1387,14,996,13,211379,1644
1388,5,1119,18,196824,1645
1389,5,1646,7,208057,1647
1390,30,1117,26,205236,1648
1391,2,975,10,140167,1649
1392,17,1518,18,30667,1650
1393,10,1027,12,71164,1651
1394,23,936,26,197249,1652
1395,7,1653,23,12608,954
1396,6,1357,10,162869,1654
1397,11,987,8,15656,1655
1398,9,1057,7,16931,1656
1399,22,1127,23,16422,1657
1400,15,1658,7,207403,1659
1401,14,1660,14,488,1661
1402,7,1662,16,155542,1663
1403,13,965,20,208763,1664
1404,24,965,22,208763,1665
1405,6,1666,8,41585,1667
1406,8,1174,15,214114,1668
1407,6,1201,6,21572,1669
1408,8,919,5,162933,1670
1409,6,960,5,59191,1671
1410,6,1672,11,16097,1673
1411,48,1395,7,199457,1674
1412,21,1053,5,163568,1675
1413,31,971,20,180373,1676
1414,12,967,22,16731,1677
1415,6,921,15,185187,1678
1416,6,1679,6,211403,1680
1417,21,1637,15,17583,1681
1418,8,1062,9,18474,1682
1419,10,1683,14,74011,1684
1420,4,969,15,162986,1685
1421,32,917,34,207204,1686
1422,3,1687,5,150244,1688
1423,12,1164,7,72440,1689
1424,6,1690,17,211876,1691
1425,14,1402,23,208065,1692
1426,6,1693,9,79179,1694
1427,15,1044,24,183503,1695
1428,2,1696,7,80274,1697
1429,6,1064,18,16630,1698
1430,7,1699,18,40376,1700
1431,22,1518,20,30667,1701
1432,15,1702,15,19634,1703
1433,9,1121,21,164974,1704
1434,7,1705,7,192193,1706
1435,26,1707,17,72233,1708
1436,5,1133,6,156338,1709
1437,22,1710,15,44612,1711
1438,15,1558,7,209125,1712
1439,9,1713,12,174506,1714
1440,16,1658,9,207403,1715
1441,6,929,5,72441,1716
1442,32,1602,12,45369,1717
1443,9,1185,14,182233,1718
1444,9,1719,17,79542,1720
1445,23,955,16,71165,1721
1446,7,1329,15,40993,1722
1447,23,1404,11,17031,1723
1448,14,1121,24,164974,1724
1449,32,1357,16,162869,1725
1450,15,1098,15,10172,1726
1451,6,1121,20,164974,1727
1452,13,1232,19,164739,1728
1453,18,1586,25,70669,1729
1454,6,1060,8,55482,1061
1455,31,1730,18,30176,1731
1456,9,1699,19,40376,1700
1457,18,969,14,162986,1732
1458,9,1733,14,153134,1734
1459,12,1735,18,13792,1736
1460,11,1737,9,65276,1738
1461,19,965,22,208763,1739
1462,19,1111,20,202394,1740
1463,6,1599,16,44104,1741
1464,14,929,5,72441,1742
1465,10,1083,12,74161,1743
1466,20,1105,13,16191,1744
1467,7,1436,9,202,1745
1468,10,1023,12,188669,1746
1469,5,1228,9,160670,1747
1470,21,1602,11,45369,1748
1471,14,1080,23,211839,1749
1472,7,1750,7,188964,1751
1473,13,1752,12,164800,1753
1474,7,1071,20,149196,1754
1475,12,1755,14,10346,1628
1476,20,973,10,63492,1756
1477,15,1164,8,72440,1757
1478,7,1758,10,50240,1759
1479,16,1228,10,160670,1760
1480,14,929,6,72441,1761
1481,5,929,6,72441,1762
1482,20,1119,26,196824,1763
1483,4,1037,7,15606,1764
1484,7,1765,13,18683,1766
1485,37,929,5,72441,1767
1486,21,965,21,208763,1768
1487,22,1420,31,209940,1769
1488,50,973,10,63492,1770
1489,22,1771,20,205275,1772
1490,5,1773,7,188767,1774
1491,13,1071,21,149196,1775
1492,20,1037,16,15606,1776
1493,2,1142,5,167420,1777
1494,3,1778,5,582,1779
1495,9,936,23,197249,1780
1496,8,1320,23,196458,1781
1497,20,1782,7,2123,1783
1498,2,1784,10,199867,1470
1499,4,1272,10,16135,1785
1500,21,975,15,140167,1786
1501,26,1787,12,214912,1788
1502,10,1789,8,48721,1790
1503,36,1337,7,185828,1791
1504,12,1071,22,149196,1792
1505,12,1789,9,48721,1793
1506,4,1243,8,21680,1794
1507,11,1037,14,15606,1795
1508,13,969,16,162986,1796
1509,2,1797,5,42078,1798
1510,100,1105,26,16191,1799
1511,10,1800,5,206222,1801
1512,18,1310,8,205260,1802
1513,3,1523,13,192489,1803
1514,7,1318,6,185486,1804
1515,10,1805,26,171984,1806
1516,100,973,10,63492,1032
1517,54,1276,21,177205,1807
1518,9,1453,24,80565,1808
1519,7,973,10,63492,1809
1520,7,1368,15,10830,1810
1521,17,1811,9,10040,1812
1522,8,1164,10,72440,1813
1523,7,1584,14,40165,1814
1524,18,1348,13,15535,1815
1525,19,1238,20,15875,1816
1526,11,1444,5,177067,1817
1527,25,1055,29,28220,1818
1528,11,994,23,211219,1819
1529,24,969,14,162986,1820
1530,11,915,6,22593,1821
1531,23,1025,21,60012,1822
1532,10,967,20,16731,1823
1533,11,936,24,197249,1824
1534,10,1014,16,190645,1825
1535,11,1826,15,10175,1827
1536,17,969,16,162986,1828
1537,19,973,11,63492,1829
1538,27,1830,19,46012,1831
1539,13,1402,22,208065,1832
1540,26,1404,12,17031,1833
1541,24,1834,24,61481,1835
1542,15,1098,15,10172,1836
1543,33,1238,23,15875,1837
1544,22,1228,13,160670,1838
1545,12,1066,15,172397,1839
1546,12,1037,12,15606,1840
1547,8,1841,5,4082,1842
1548,44,936,20,187798,1843
1549,9,1844,6,22690,1845
1550,6,1083,10,74161,1846
1551,12,1212,15,155994,1847
1552,23,1735,21,13792,1848
1553,9,1849,8,204589,1850
1554,10,1085,9,186001,1851
1555,9,1037,13,15606,1852
1556,13,1129,26,210873,1853
1557,17,1854,10,184506,1855
1558,30,1021,20,18593,1856
1559,5,1497,5,16723,1857
1560,9,1858,12,198892,1859
1561,28,1860,8,160671,1861
1562,7,955,12,71165,1862
1563,28,987,12,15656,1863
1564,12,1864,5,210127,1865
1565,9,952,16,16516,1866
1566,18,1784,16,199867,1867
1567,8,1868,7,10132,1869
1568,16,1870,8,162622,1871
1569,5,1758,10,50240,1872
1570,15,973,11,63492,1873
1571,11,1874,12,164975,1802
1572,16,1870,8,162622,1875
1573,20,1037,14,15606,1876
1574,5,994,20,211219,1877
1575,9,1878,11,190916,1879
1576,17,973,9,63492,1880
1577,9,1221,15,213592,1881
1578,25,1037,21,15606,1882
1579,7,1195,13,15977,1883
1580,33,1564,27,19681,1884
1581,24,969,13,162986,1885
1582,11,1432,19,45050,1886
1583,17,936,14,187798,1887
1584,25,1464,11,205287,1888
1585,8,1127,20,16422,1889
1586,7,1890,10,29604,1891
1587,12,1236,13,17350,1892
1588,3,1893,6,17407,1894
1589,13,936,26,197249,1895
1590,9,1896,6,203778,1897
1591,12,973,11,63492,1898
1592,5,1025,22,60012,1899
1593,9,1092,22,44479,1900
1594,16,1844,9,22690,1901
1595,8,1560,9,55143,1902
1596,9,1217,9,205915,1013
1597,9,1903,7,208802,1904
1598,13,1575,17,16254,1905
1599,25,969,14,162986,1906
1600,28,1105,13,16191,1907
1601,6,1908,7,209868,1909
1602,16,1350,8,160667,1910
1603,5,1911,7,15374,1912
1604,3,1913,10,65479,1914
1605,32,1337,10,185828,1915
1606,9,1129,22,210873,1678
1607,17,925,11,11243,1916
1608,11,994,23,211219,1917
1609,19,1918,21,196040,1919
1610,37,942,23,208029,1920
1611,3,1187,8,150446,1921
1612,11,915,6,22593,1922
1613,20,973,10,63492,1923
1614,22,1844,10,22690,1788
1615,28,1924,5,201441,1925
1616,6,1094,11,59184,1926
1617,18,989,28,169415,1927
1618,8,1080,18,211839,1928
