ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
472,28,472,14,1889,473
473,21,474,26,2003,475
474,21,476,13,29550,477
475,30,478,8,28203,479
476,29,480,8,32564,481
477,2,482,9,26164,483
478,20,484,16,2305,485
479,21,474,25,2003,486
480,23,487,21,32038,488
481,19,489,15,32477,490
482,31,491,16,36607,492
483,43,493,4,30873,494
484,15,495,11,209,496
485,21,497,12,830,498
486,30,499,7,3792,500
487,41,501,8,28350,502
488,15,503,10,39742,504
489,8,505,10,35650,506
490,10,507,7,38173,508
491,8,509,13,34734,510
492,13,511,9,174,512
493,18,476,10,29550,513
494,42,514,7,3304,515
495,22,516,11,40210,517
496,27,518,19,40075,519
497,25,520,10,39851,521
498,12,522,14,37916,523
499,13,524,14,28921,525
500,9,476,10,29550,526
501,21,527,16,38324,528
502,31,529,14,40131,530
503,8,531,12,507,532
504,50,533,15,1224,534
505,7,535,15,37226,536
506,12,537,12,845,538
507,26,539,16,35935,540
508,10,541,13,29421,542
509,17,543,18,38343,544
510,16,545,19,37470,546
511,14,547,15,37252,548
512,16,549,18,38157,550
513,38,551,8,190,552
514,100,553,25,35398,554
515,11,555,10,31474,556
516,15,557,5,26736,558
517,13,559,12,38693,560
518,21,497,13,830,561
519,22,562,29,3535,563
520,16,564,12,35863,565
521,36,566,17,2366,567
522,18,568,9,31861,569
523,19,570,18,29818,571
524,7,572,12,38811,573
525,10,574,12,33762,575
526,14,576,10,39483,577
527,69,578,7,39426,579
528,7,580,26,33300,581
529,22,582,29,33238,583
530,17,584,13,36687,585
531,16,555,14,31474,586
532,7,587,19,37635,588
533,17,587,21,37635,589
534,17,570,18,29818,590
535,14,591,11,30587,592
536,19,593,8,40271,594
537,20,595,18,1871,596
538,13,597,18,37265,598
539,78,599,24,32147,600
540,15,601,10,39799,602
541,6,603,9,26602,604
542,12,605,4,29078,606
543,15,607,13,38990,608
544,100,609,32,39444,610
545,11,611,10,38877,612
546,9,613,6,27296,614
547,8,603,10,26602,615
548,30,616,16,33850,617
549,8,618,15,38326,619
550,8,620,18,38986,621
551,15,622,14,37228,623
552,21,624,5,3181,625
553,26,626,6,175,627
554,8,628,9,33378,629
555,22,630,15,33680,631
556,100,553,36,35398,632
557,34,633,23,28490,634
558,8,511,9,174,635
559,10,636,21,30972,637
560,100,501,17,28350,638
561,8,639,10,38214,640
562,7,535,14,37226,641
563,21,476,12,29550,642
564,24,643,6,148,644
565,14,645,7,38762,646
566,26,647,9,166,648
567,37,649,18,39335,650
568,12,651,19,35065,652
569,36,653,8,39355,654
570,22,493,4,30873,655
571,9,656,13,36740,657
572,12,658,7,304,659
573,16,497,12,830,660
574,7,661,10,34190,662
575,7,663,7,27089,664
576,9,665,12,39111,666
577,3,667,15,38672,668
578,9,529,12,40131,669
579,10,670,11,31585,671
580,11,672,9,35237,673
581,31,674,6,39883,675
582,7,676,13,26294,677
583,54,499,7,3792,678
584,100,679,30,34199,680
585,9,681,9,39341,682
586,99,553,25,35398,683
587,8,622,12,37205,684
588,10,685,11,35455,686
589,34,687,7,37131,688
590,19,689,17,27683,690
591,26,570,18,29818,691
592,11,692,19,35480,693
593,100,694,9,39,695
594,10,696,7,35871,697
595,15,698,14,39630,699
596,9,582,27,33238,700
597,7,593,8,40271,701
598,18,702,21,33657,703
599,20,476,12,29550,704
600,22,705,11,35812,706
601,36,643,7,148,707
602,8,708,16,34629,709
603,14,527,14,38324,710
604,10,711,6,3381,712
605,8,713,7,37922,714
606,18,493,4,30873,715
607,7,716,20,39059,717
608,22,685,13,35455,718
609,100,553,25,35398,719
610,12,720,18,38726,721
611,54,501,8,28350,722
612,7,723,9,1084,724
613,9,535,14,37226,725
614,20,726,12,39377,727
615,37,587,24,37635,728
616,17,729,6,36290,730
617,9,731,11,33848,732
618,8,733,9,40176,734
619,19,735,16,38,736
620,17,476,11,29550,737
621,12,738,5,38688,739
622,36,740,13,36653,741
623,8,742,21,27052,743
624,19,733,12,40176,744
625,17,487,18,32038,745
626,100,584,28,36687,746
627,11,747,8,3079,748
628,9,749,9,33734,750
629,8,751,11,36686,752
630,19,661,13,34190,753
631,9,754,7,1979,755
632,8,756,19,2801,757
633,16,758,7,394,759
634,22,555,13,31474,760
635,7,761,7,38265,762
636,12,763,10,38048,764
637,12,559,11,38693,765
638,15,527,16,38324,766
639,75,767,30,1153,768
640,18,769,13,39912,770
641,35,633,22,28490,771
642,18,772,8,3308,773
643,8,774,7,40174,775
644,60,661,20,34190,776
645,7,777,15,39474,778
646,55,779,23,34973,780
647,7,781,9,577,782
648,25,501,8,28350,783
649,27,685,19,35455,784
650,27,626,6,175,785
651,19,595,14,1871,786
652,15,620,19,38986,787
653,17,630,15,33680,788
654,13,789,13,35992,790
655,9,791,8,39422,792
656,29,570,18,29818,793
657,16,535,15,37226,794
658,10,696,7,35871,795
659,13,796,16,37774,797
660,9,798,8,3590,799
661,38,692,21,35480,800
662,10,801,7,36736,802
663,18,570,18,29818,803
664,20,804,13,33177,805
665,39,647,8,166,806
666,54,807,17,318,808
667,32,809,14,39039,810
668,10,811,18,38744,812
669,40,813,22,37788,814
670,55,551,8,190,815
671,14,816,9,680,817
672,14,818,6,32918,819
673,20,820,15,307,821
674,19,576,9,39483,822
675,18,811,21,38744,823
676,9,824,7,27350,825
677,10,516,8,40210,826
678,12,827,15,33655,828
679,100,829,39,39473,830
680,15,831,13,40193,832
681,28,833,15,2517,834
682,33,835,23,3051,836
683,17,837,10,30514,838
684,20,839,20,37541,840
685,8,574,13,33762,841
686,20,842,5,2510,843
687,8,844,10,39877,845
688,20,696,9,35871,846
689,20,772,8,3308,847
690,13,848,25,33385,849
691,13,850,17,3549,851
692,17,772,8,3308,852
693,9,595,15,1871,853
694,12,611,9,38876,854
695,19,576,10,39483,855
696,16,856,5,33698,857
697,23,476,15,29550,858
698,12,595,17,1871,859
699,11,860,6,2142,861
700,15,729,6,36290,862
701,14,848,24,33385,863
702,10,827,15,33655,864
703,28,772,8,3308,865
704,7,535,17,37226,866
705,11,867,13,187,868
706,14,869,7,26473,870
707,16,487,22,32038,871
708,36,872,22,30607,873
709,16,779,15,34973,874
710,26,875,5,27887,876
711,16,611,11,38877,877
712,27,878,14,30784,879
713,8,599,10,32147,880
714,14,881,6,31820,882
715,8,696,11,35871,883
716,8,884,10,34549,885
717,19,886,15,553,887
718,36,694,6,39,888
719,13,568,7,31861,889
720,5,890,16,2134,891
721,42,474,28,2003,892
722,7,761,8,38265,893
723,22,894,14,35938,895
724,24,747,9,3079,896
725,38,897,19,38329,898
726,21,611,12,38876,899
727,10,672,9,35237,900
728,22,535,16,37226,901
729,9,601,7,39799,902
730,33,493,4,30873,903
731,15,904,11,35730,905
732,56,555,19,31474,906
733,10,907,6,2302,908
