ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
445,42,445,10,6111,446
446,19,447,11,30487,448
447,19,449,9,39630,450
448,5,451,6,2290,452
449,5,453,6,1111,454
450,89,455,6,4279,456
451,9,457,13,1289,458
452,6,459,4,30066,460
453,25,461,20,30030,462
454,21,463,12,39872,464
455,26,465,6,6126,466
456,7,467,8,40197,468
457,3,469,7,5908,470
458,5,471,9,36150,472
459,12,473,6,1580,474
460,9,475,7,40583,476
461,5,477,14,41070,478
462,12,479,11,6405,480
463,7,481,6,7886,482
464,29,455,6,4279,483
465,32,445,12,6111,484
466,8,485,10,1050,486
467,16,487,7,689,488
468,3,489,4,3737,490
469,13,491,15,2773,492
470,11,445,11,6111,493
471,1,489,4,3737,494
472,8,467,9,40197,495
473,87,496,6,4280,497
474,13,498,11,5929,499
475,3,500,5,2220,501
476,1,502,4,34072,503
477,2,504,7,866,505
478,7,506,8,3970,507
479,6,508,10,2309,509
480,4,506,7,3970,510
481,9,511,11,40152,512
482,100,513,25,40449,514
483,6,515,4,1806,516
484,100,517,25,5918,518
485,16,519,11,41119,520
486,1,521,8,30973,522
487,27,445,11,6111,523
488,7,524,17,29997,525
489,1,526,5,37465,527
490,15,473,7,1580,528
491,9,529,4,38244,530
492,20,445,9,6111,531
493,5,532,14,4166,533
494,30,534,9,32027,535
495,31,445,8,6111,536
496,20,537,5,3045,538
497,16,539,4,1804,540
498,3,532,14,4166,541
499,70,496,11,4280,542
500,7,471,9,36150,543
501,81,544,4,6091,545
502,1,546,5,648,547
503,100,445,14,6111,548
504,8,544,8,6091,549
505,5,511,10,40152,550
506,20,544,8,6091,551
507,5,524,8,29997,552
508,9,553,9,5958,554
509,6,524,9,29997,555
510,19,556,20,555,557
511,7,558,8,851,559
512,8,558,10,851,560
513,7,529,4,38244,561
514,8,463,9,39872,562
515,7,563,7,31628,564
516,10,565,4,31531,566
517,6,567,8,712,568
518,10,569,9,1337,570
519,10,571,6,30080,572
520,9,504,9,866,573
521,1,574,15,27108,575
522,3,576,4,38216,577
523,5,578,7,33497,579
524,7,463,8,39872,580
525,26,581,7,2948,582
526,7,571,6,30080,583
527,7,463,11,39872,584
528,36,544,9,6091,585
529,13,586,5,33179,587
530,1,576,4,38216,588
531,11,445,14,6111,589
532,18,590,16,35927,591
533,9,592,6,652,593
534,1,567,6,712,594
535,10,595,5,37436,596
536,1,597,6,40535,598
537,2,599,7,846,600
538,84,601,9,37239,602
539,5,524,10,29997,603
540,91,604,5,34194,605
541,4,606,6,1294,607
542,10,608,8,21198,609
543,10,610,11,41052,611
544,40,544,7,6091,612
545,59,613,8,39866,614
546,1,615,4,6489,616
547,1,617,11,634,618
548,93,455,6,4279,619
549,1,574,15,27108,620
550,5,477,14,41070,621
551,10,622,4,33577,623
552,6,558,7,851,624
553,3,625,8,37889,626
554,4,627,6,41219,628
555,9,524,11,29997,629
556,100,630,7,37661,631
557,3,632,7,492,633
558,29,634,5,31715,635
559,7,636,8,40506,637
560,11,638,12,120,639
561,70,640,13,1809,641
562,10,642,12,41155,643
563,2,644,5,6527,645
564,1,599,6,846,646
565,1,574,15,27108,647
566,23,648,8,34311,649
567,3,459,4,30066,650
568,30,544,5,6091,651
569,18,652,9,39632,653
570,22,654,12,36722,655
571,6,656,9,37666,657
572,30,496,7,4280,658
573,5,659,6,1451,660
574,6,661,6,534,662
575,1,663,4,6454,664
576,10,665,6,40801,666
577,33,491,17,2773,667
578,6,632,8,492,668
579,1,526,5,37465,669
580,3,670,7,38183,671
581,3,471,10,36150,672
582,3,673,6,36642,674
583,12,675,22,36367,676
584,43,496,13,4280,677
585,4,506,6,3970,678
586,1,679,6,34552,680
587,1,599,7,846,681
588,10,682,6,7929,683
589,4,599,7,846,684
590,7,469,8,5908,685
591,18,686,12,34298,687
592,17,688,7,36448,689
593,9,690,13,229,691
594,5,692,5,6107,693
595,7,694,11,380,695
596,1,696,9,40224,697
597,12,581,5,2948,698
598,11,537,4,3045,699
599,8,700,12,7591,701
600,21,702,5,40073,703
601,100,455,5,4279,704
602,8,705,7,36231,706
603,1,707,4,31056,708
604,11,709,13,31634,710
605,8,496,7,4280,711
606,1,712,4,37228,713
607,30,714,4,31131,715
608,1,716,5,30069,717
609,9,553,10,5958,718
610,100,496,6,4280,719
611,11,720,7,2562,721
612,12,722,6,410,723
613,71,445,15,6111,724
614,1,725,8,1001,726
615,23,727,16,1811,728
616,8,729,9,2574,730
617,46,731,7,36811,732
618,10,733,6,34120,734
619,2,508,7,2309,735
620,7,736,6,30221,737
621,6,738,8,32607,739
622,8,740,8,37912,741
623,13,445,12,6111,742
624,86,743,25,5956,744
625,7,745,11,31469,746
626,5,709,13,31634,747
627,1,663,4,6454,748
628,8,567,7,712,749
629,1,453,5,1111,750
630,13,751,4,30894,752
631,18,558,11,851,753
632,1,754,5,35792,755
633,1,756,11,268,757
634,17,758,8,280,759
635,2,636,6,40506,760
636,3,761,5,6025,762
637,28,763,13,2740,764
638,27,705,8,36231,765
639,31,709,13,31634,766
640,9,632,7,492,767
641,8,471,10,36150,768
642,1,673,6,36642,769
643,6,770,11,37148,771
644,6,524,12,29997,772
645,35,544,5,6091,598
646,8,477,15,41070,773
647,20,774,9,4395,775
648,2,776,6,30605,777
649,17,702,5,40073,778
650,5,779,9,31220,780
651,12,781,5,2844,782
652,17,463,11,39872,783
653,13,781,5,2844,784
654,12,785,19,1861,786
655,3,459,4,30066,787
656,23,788,17,704,789
657,100,604,5,34194,605
658,6,500,7,2220,790
659,1,791,14,7663,792
660,1,793,4,30072,794
661,13,795,10,33943,796
662,4,467,7,40197,797
663,17,774,10,4395,798
664,6,799,9,40902,800
665,6,801,9,6592,802
666,1,803,5,35347,804
667,3,805,7,30620,806
668,1,807,4,855,808
669,5,809,9,800,810
670,5,811,5,39987,812
671,13,463,11,39872,813
672,100,496,9,4280,814
673,8,592,7,652,815
674,4,816,8,1074,817
675,22,496,5,4280,818
676,6,644,6,6527,819
677,2,532,14,4166,820
678,1,821,8,5172,822
679,29,823,7,37398,824
680,4,825,9,391,826
681,7,827,13,661,828
682,6,829,10,37985,830
683,100,831,5,40075,832
684,18,833,5,34375,834
685,13,471,12,36150,835
686,30,455,6,4279,836
687,1,599,6,846,837
688,1,838,5,687,839
689,100,544,5,6091,840
690,1,756,10,268,841
691,1,807,4,855,842
692,41,455,6,4279,843
693,15,844,10,38738,845
694,1,679,5,34552,846
695,63,445,13,6111,847
696,3,761,5,6025,848
697,12,463,10,39872,849
698,23,544,6,6091,850
699,5,565,4,31531,851
700,5,805,7,30620,852
701,7,853,8,30240,854
702,14,825,12,391,855
703,1,856,11,33769,857
704,1,574,15,27108,858
705,12,756,14,268,859
706,3,860,4,2454,861
707,100,604,7,34194,862
708,3,853,7,30240,863
709,3,692,5,6107,864
