ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
538,18,538,9,572889,539
539,8,540,25,63336,541
540,22,542,14,31999,543
541,11,544,10,148133,545
542,27,546,18,11326,547
543,14,548,12,109191,549
544,39,550,15,66128,551
545,21,552,17,557265,553
546,7,554,6,90546,555
547,13,556,19,138030,557
548,12,558,23,452958,559
549,22,560,18,421702,561
550,13,562,14,8682,563
551,29,564,14,28962,565
552,5,566,6,35962,567
553,7,568,9,26967,569
554,24,570,8,57854,571
555,15,572,11,12013,573
556,22,562,15,8682,574
557,9,575,6,517351,576
558,31,577,26,445020,578
559,32,579,13,533422,580
560,4,581,14,580131,582
561,39,583,15,572544,584
562,13,585,8,557157,586
563,47,587,22,33141,588
564,7,589,8,550478,590
565,16,591,14,115257,592
566,9,593,30,345001,594
567,17,562,13,8682,595
568,7,575,6,517351,596
569,25,597,13,483267,598
570,32,599,13,264225,600
571,16,601,10,23279,602
572,6,603,10,407380,604
573,15,605,16,384254,606
574,19,607,36,150423,608
575,8,609,13,34625,610
576,15,611,12,96863,612
577,18,613,15,5559,614
578,23,587,16,33141,615
579,9,616,12,579187,617
580,17,618,17,416818,619
581,16,620,6,109484,621
582,45,607,40,150423,622
583,7,623,14,157188,624
584,22,625,14,5176,626
585,25,627,16,32318,628
586,16,566,8,35962,629
587,17,630,11,131700,631
588,16,632,8,89328,633
589,15,634,11,108722,635
590,25,593,30,345001,636
591,21,637,13,15953,638
592,10,639,6,587041,640
593,20,641,12,23216,642
594,95,620,6,109484,643
595,4,644,9,558004,645
596,15,646,9,144376,647
597,6,648,11,584208,649
598,13,650,12,433285,651
599,5,646,8,144376,652
600,16,653,11,613857,654
601,97,655,34,16410,656
602,17,657,11,36884,658
603,11,659,12,71594,660
604,24,661,13,27255,662
605,18,616,13,579187,663
606,21,664,14,35320,665
607,9,666,12,107940,667
608,3,668,12,174517,669
609,19,670,14,127521,671
610,30,672,13,616871,673
611,33,674,14,28776,675
612,17,676,20,52214,677
613,17,678,13,31874,679
614,17,680,11,5843,681
615,4,682,9,144514,683
616,16,684,12,71113,685
617,12,686,8,34307,687
618,10,688,4,304235,689
619,14,690,14,369722,691
620,8,692,9,374572,693
621,3,694,8,377513,695
622,12,696,9,490884,697
623,16,698,14,115611,699
624,7,700,13,485023,701
625,6,702,6,34773,703
626,11,704,10,9183,705
627,3,706,9,486569,707
628,11,708,10,64703,709
629,8,710,9,35490,711
630,12,712,11,374579,713
631,14,616,11,579187,714
632,8,661,12,27255,715
633,25,716,15,581974,717
634,5,718,8,84476,719
635,27,720,16,62763,721
636,5,544,7,148133,722
637,11,723,10,565953,724
638,45,625,21,5176,725
639,22,726,15,34359,727
640,4,728,6,608897,729
641,14,558,25,452958,730
642,23,731,26,88268,732
643,24,698,17,115611,733
644,20,734,15,6545,735
645,12,736,9,41550,737
646,8,738,13,71292,739
647,13,690,13,369722,740
648,6,741,9,547491,742
649,7,743,11,624482,744
650,7,745,9,374206,746
651,8,690,11,369722,747
652,7,748,12,374578,749
653,25,678,14,31874,750
654,5,751,10,363605,752
655,15,591,14,115257,753
656,23,751,14,363605,754
657,14,743,14,624482,755
658,28,756,21,53062,757
659,15,758,10,88359,759
660,12,760,12,55868,761
661,28,762,17,579947,763
662,12,764,9,521902,765
663,12,766,5,431148,767
664,30,768,20,586390,769
665,28,554,9,90546,770
666,27,771,20,42317,772
667,11,773,6,33249,774
668,5,775,12,70795,776
669,7,777,8,339550,778
670,32,728,10,608897,779
671,8,780,7,89854,781
672,15,782,11,524971,783
673,21,751,15,363605,784
674,12,785,19,31904,786
675,23,787,20,557420,788
676,21,789,16,37541,790
677,22,546,13,11326,791
678,8,575,6,517351,792
679,14,793,8,133392,794
680,22,795,8,15527,796
681,25,797,16,40038,798
682,7,799,12,103712,800
683,16,686,8,34307,801
684,15,802,13,42954,803
685,5,648,10,584208,804
686,15,805,5,590174,806
687,27,807,18,558238,808
688,12,684,11,71113,809
689,22,810,9,14620,811
690,16,812,9,520102,813
691,1,814,8,468985,815
692,6,816,6,615604,817
693,21,818,20,15879,819
694,11,820,10,605229,821
695,9,822,8,630082,823
696,15,824,10,405051,825
697,11,826,10,158104,827
698,22,828,17,579371,829
699,13,830,11,15955,831
700,20,832,9,392045,833
701,6,834,10,615384,835
702,18,836,11,151754,837
703,20,838,10,113815,839
704,6,840,10,621899,841
705,18,704,11,9183,842
706,5,820,7,605229,843
707,15,844,14,87916,845
708,20,846,12,500529,847
709,7,848,12,101191,849
710,5,793,7,133392,850
711,14,731,22,88268,851
712,37,852,5,109481,853
713,18,854,9,557169,855
714,9,558,25,452958,856
715,30,852,4,109481,857
716,8,858,12,109066,859
717,10,860,7,56898,861
718,24,862,11,607445,863
719,13,864,12,550459,865
720,21,866,14,32105,867
721,9,768,14,586390,868
722,26,568,12,26967,869
723,22,648,13,584208,870
724,21,871,11,7342,872
725,26,873,13,578357,874
726,32,661,17,27255,875
727,5,876,9,604127,877
